"Cropland Soil Moisture Anomaly (2022)"
"Average soil moisture content in cropland top soil decreased by 2.2% across OECD countries over the past five years. "
"Category","Series 1","% of change","Series 3"
0,,-3.53,
"Afghanistan",,-6.45,
"Angola",,-6.74,
"Albania",,-0.21,
"Andorra",,-0.64,
"United Arab Emirates",,-37.11,
"Argentina",,-19.89,
"Armenia",,-9.02,
8,,20.73,
9,,15.52,
10,,14.58,
11,,11.26,
12,,5.01,
13,,6.8,
14,,2.63,
15,,20.9,
"Australia",,14.7,
"Austria",,-1.03,
"Azerbaijan",,-13.23,
"Burundi",,0.15,
"Belgium",,-7.96,
"Benin",,-7.39,
"Burkina Faso",,-2.08,
"Bangladesh",,0.54,
"Bulgaria",,-8.98,
"Bosnia and Herzegovina",,-4.93,
"Belarus",,-1.53,
"Belize",,3.57,
"Bolivia",,-10.66,
"Brazil",,-6.12,
"Barbados",,1.73,
"Brunei",,4.55,
"Bhutan",,-0.47,
"Botswana",,3.88,
"Central African Republic",,-15.36,
"Canada",,-4.91,
"Switzerland",,-4.15,
"Chile",,-2.06,
"China",,-3.78,
"Ivory Coast",,-5.93,
"Cameroon",,-6.21,
"Democratic Republic of the Congo",,-8.71,
"Republic of Congo",,-4.57,
"Colombia",,-1.47,
"Comoros",,-9.13,
"Cape Verde",,3.85,
"Costa Rica",,1.19,
"Cuba",,-4.37,
"Cyprus",,0.7,
"Czech Republic",,0.12,
"Germany",,-6,
"Denmark",,-2.79,
"Dominican Republic",,-7.58,
"Algeria",,-12.28,
54,,-4.67,
"Ecuador",,-4.87,
"Egypt",,4.29,
57,,-3.1,
"Eritrea",,-10.9,
"Spain",,-4.37,
"Estonia",,-4.95,
"Ethiopia",,-7.33,
62,,-4.95,
"Finland",,0.3,
"Fiji",,3.28,
"France",,-5.86,
66,,-3.25,
67,,-6.05,
"Gabon",,-3.06,
"United Kingdom",,-3.42,
"Georgia",,-5.91,
"Ghana",,-5.6,
"Guinea",,-4.18,
"Guadeloupe",,-6.03,
"Gambia",,4.2,
"Guinea Bissau",,0.7,
"Equatorial Guinea",,-4.75,
"Greece",,2.42,
"Guatemala",,1.96,
"French Guiana",,7.98,
"Guyana",,7.86,
81,,4.95,
"Honduras",,3.77,
"Croatia",,-5.38,
"Haiti",,-8.11,
"Hungary",,-7.1,
"Indonesia",,4.7,
87,,-2.34,
"India",,6.06,
89,,-3.15,
"Ireland",,-1.63,
"Iran",,-8.2,
"Iraq",,-11.18,
"Israel",,-3.33,
"Italy",,-5.05,
"Jamaica",,-3.36,
"Jordan",,-9.26,
"Japan",,0.2,
"Kazakhstan",,-5.12,
"Kenya",,-13.5,
"Kyrgyzstan",,-4.14,
"Cambodia",,8.25,
"South Korea",,-7.27,
"Kuwait",,-7.31,
"Laos",,2.91,
"Lebanon",,-3.77,
"Liberia",,-3.71,
"Libya",,-4.27,
"Liechtenstein",,0.51,
"Sri Lanka",,6.53,
"Lesotho",,11.01,
"Lithuania",,-2.75,
"Luxembourg",,-6.31,
"Latvia",,-2.94,
"Morocco",,-13.62,
"Moldova",,-11.47,
"Madagascar",,-2.29,
"Mexico",,-6.15,
"North Macedonia",,2.22,
"Mali",,-2.7,
"Malta",,-10.53,
"Myanmar",,-0.08,
"Montenegro",,-2.19,
"Mongolia",,-4.55,
"Northern Mariana Islands",,-0.41,
"Mozambique",,1.3,
"Mauritania",,0.22,
"Martinique",,-1.06,
"Mauritius",,8.86,
"Malawi",,2.42,
"Malaysia",,2.66,
"Namibia",,-4.89,
132,,19.04,
"Niger",,0.94,
"Nigeria",,-4.39,
"Nicaragua",,7.37,
"Netherlands",,-6.39,
"Norway",,0.55,
"Nepal",,4.4,
"New Zealand",,3.7,
140,,-3.63,
141,,-6.03,
142,,-4.36,
143,,10.09,
"Oman",,31.05,
"Pakistan",,2.48,
"Panama",,1.78,
"Peru",,-5,
"Philippines",,7.04,
"Papua New Guinea",,1.1,
"Poland",,-3.57,
"Puerto Rico",,0.53,
"North Korea",,0.89,
"Portugal",,-6.34,
"Paraguay",,-13.38,
"West Bank and Gaza Strip",,-3.95,
156,,-4.61,
"Qatar",,-61.16,
158,,6.23,
"Romania",,-9.13,
"Russia",,-4.37,
"Rwanda",,1.09,
"Saudi Arabia",,-14.76,
"Sudan",,-11.24,
"Senegal",,4.41,
"Singapore",,1.09,
"Solomon Islands",,-0.95,
"Sierra Leone",,-4.73,
"El Salvador",,4.91,
"San Marino",,-5.81,
"Somalia",,-17.54,
"Republic of Serbia",,-2.94,
"South Sudan",,-14.03,
"Sao Tome and Principe",,-2.99,
"Suriname",,8.3,
"Slovakia",,-6.86,
"Slovenia",,-3.56,
"Sweden",,-2.09,
"Eswatini",,7.81,
"Syria",,-7.96,
"Chad",,-7.94,
"Togo",,-7.81,
"Thailand",,4.6,
"Tajikistan",,-7.52,
"Turkmenistan",,-12.32,
"East Timor",,8.89,
"Trinidad and Tobago",,3.11,
"Tunisia",,-15.38,
"Turkey",,-4.58,
"Taiwan",,0.4,
"United Republic of Tanzania",,-5.08,
"Uganda",,-9.99,
"Ukraine",,-2.72,
"Uruguay",,-7.78,
"United States of America",,-7.01,
"Uzbekistan",,-3.18,
"Venezuela",,-2.25,
"Vietnam",,4.14,
"Vanuatu",,4.54,
"Samoa",,-0.97,
200,,1.95,
"Yemen",,-24.61,
"South Africa",,7.6,
"Zambia",,5.16,
"Zimbabwe",,5.88,
