Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","2221.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","2320.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2021","2021","kg/ha","9629.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2022","2022","kg/ha","10413.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2021","2021","kg/ha","10955.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2022","2022","kg/ha","14478.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2021","2021","kg/ha","4312.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2022","2022","kg/ha","6493.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2021","2021","kg/ha","1000.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2022","2022","kg/ha","994.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","871.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","619.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2021","2021","kg/ha","19082.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2022","2022","kg/ha","22774.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2021","2021","kg/ha","18643.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","17703.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2021","2021","kg/ha","25363.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2022","2022","kg/ha","25019.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2021","2021","kg/ha","918.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2022","2022","kg/ha","917.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2021","2021","kg/ha","26172.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2022","2022","kg/ha","24306.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2021","2021","kg/ha","2944.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2022","2022","kg/ha","3035.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01703","Chick peas, dry","2021","2021","kg/ha","265","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01703","Chick peas, dry","2022","2022","kg/ha","366.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","kg/ha","2251.9","A","Official figure",""
