Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01341","Apples","2021","2021","kg/ha","22546.5","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01341","Apples","2022","2022","kg/ha","25083","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01341","Apples","2023","2023","kg/ha","20530.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0115","Barley","2021","2021","kg/ha","4791.4","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0115","Barley","2022","2022","kg/ha","4102.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0115","Barley","2023","2023","kg/ha","4252.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","634.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","634.8","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","634.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01702","Broad beans and horse beans, dry","2021","2021","kg/ha","1984.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01702","Broad beans and horse beans, dry","2022","2022","kg/ha","1983.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01702","Broad beans and horse beans, dry","2023","2023","kg/ha","1995.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01212","Cabbages","2021","2021","kg/ha","9593","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01212","Cabbages","2022","2022","kg/ha","9621.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01212","Cabbages","2023","2023","kg/ha","9568.8","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01195","Canary seed","2021","2021","kg/ha","1084.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01195","Canary seed","2022","2022","kg/ha","1099.3","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01195","Canary seed","2023","2023","kg/ha","1085.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01229","Cantaloupes and other melons","2021","2021","kg/ha","20505.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","20757.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","20587","E","Estimated value",""
