a_receive,i_receive,combined_shocks
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",28.312053962346
Afghanistan,Apples and products,-87.70243611262413
Afghanistan,Asses,0.0
Afghanistan,Bananas,-0.7058811138558667
Afghanistan,Barley and products,62.995392231678125
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,-2045.4639807711355
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",-69.11123918092926
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,-12.100847512738255
Afghanistan,Cassava and products,-246.57993131897956
Afghanistan,Cattle,-180.0459217268508
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",-4346.009492694029
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,-1.4305775060593078
Afghanistan,Coffee and products,-1901.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,-4364.00000000004
Afghanistan,Cottonseed,-8.003553375601768e-11
Afghanistan,Cottonseed Cake,-13.86521099428137
Afghanistan,Cottonseed Oil,-562.5096105882694
Afghanistan,Dates,0.0
Afghanistan,Eggs,-1252.1947694557675
Afghanistan,"Fats, Animals, Raw",-1.3464206002918218
Afghanistan,"Fish, Seafood",-2331.7865912418874
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",-34.55864536954323
Afghanistan,Goats,-109.95423305407166
Afghanistan,Grapefruit and products,-3.0701685081771757
Afghanistan,Grapes and products (excl wine),-0.3222735975869
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,-305.3230926406468
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,-9.971034379923367
Afghanistan,Honey,0.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",-2.590002869169666
Afghanistan,Maize Germ Oil,-113.97678983940727
Afghanistan,Maize and products,1150.9229388337699
Afghanistan,"Meat, Other",-6.229129843408373
Afghanistan,Milk - Excluding Butter,-4240.769706825726
Afghanistan,Millet and products,-0.06072730951200356
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,-4.195273831603117
Afghanistan,Nuts and products,-1171.0359138157364
Afghanistan,Oats,-0.6448056648812326
Afghanistan,"Offals, Edible",-133.58264305995544
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",-6351.852612729079
Afghanistan,"Oilcrops, Other",-23397.64478653705
Afghanistan,"Oilseed Cakes, Other",-11132.73771159487
Afghanistan,Olive Oil,0.0
Afghanistan,Olives (including preserved),0.0
Afghanistan,Onions,0.0
Afghanistan,"Oranges, Mandarines",-8.148684603133006
