a_receive,i_receive,combined_shocks
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",4.718382821264868
Afghanistan,Apples and products,0.0
Afghanistan,Asses,0.0
Afghanistan,Bananas,0.0
Afghanistan,Barley and products,-826.3897360718693
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,-6.97449990453606
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",-6.553782726245117
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,-2.0196518558259413
Afghanistan,Cassava and products,0.0
Afghanistan,Cattle,-48.66002588428091
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",0.0
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,0.0
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,0.0
Afghanistan,Cottonseed,0.0
Afghanistan,Cottonseed Cake,0.0
Afghanistan,Cottonseed Oil,0.0
Afghanistan,Dates,0.0
Afghanistan,Eggs,219.57045416961773
Afghanistan,"Fats, Animals, Raw",-0.44582908572374436
Afghanistan,"Fish, Seafood",0.0
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",0.0
Afghanistan,Goats,-33.74891670700163
Afghanistan,Grapefruit and products,0.0
Afghanistan,Grapes and products (excl wine),0.0
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,0.0
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,-2.2250043456733692
Afghanistan,Honey,0.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",0.0
Afghanistan,Maize Germ Oil,0.5085780521644665
Afghanistan,Maize and products,-6668.565200071025
