area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Israel,Poultry Birds,96894089.92705284,425111648.73375046,0.814381178690424,48944.45316391147
Belarus,Poultry Birds,84831489.47109556,324647916.74302316,0.7928308770020616,33603.81308096963
Netherlands,Poultry Birds,150606303.5503534,520231533.166873,0.7754952161205578,29894.45192527811
Brunei Darussalam,Poultry Birds,2978490.8418848696,13044272.676116694,0.8141087934962944,29653.28540376113
Mauritius,Poultry Birds,10234671.049257193,37186016.17176595,0.7841728652823102,28671.675434682606
Poland,Poultry Birds,227538872.43310177,1058070557.5561467,0.823010887190673,27498.089622412648
Belgium,Poultry Birds,67613332.32250416,269223170.54970884,0.7992695810995434,23326.99092636565
United States of America,Poultry Birds,1359570647.0744526,7585845019.906444,0.8480148158913545,22618.100936224375
Panama,Poultry Birds,22746345.57752369,93506995.3063443,0.8043381342455672,21921.48552934887
Brazil,Poultry Birds,1831169426.5771296,4235516719.7436047,0.6981598549172221,19925.75454528097
Jordan,Poultry Birds,44092318.57416855,213834789.9721712,0.8290512431102339,19768.25994417634
Jamaica,Poultry Birds,20188658.67001818,50625951.97968513,0.714908286795717,17987.719896295017
Portugal,Poultry Birds,36471595.94092894,184766682.34515965,0.8351478947338099,17941.301589223687
El Salvador,Poultry Birds,21359238.33344532,111542307.60298984,0.8392852529822254,17758.906670547705
Barbados,Poultry Birds,2712359.289281765,4916375.849525091,0.6444549142250099,17531.74925925496
Australia,Poultry Birds,87644285.95581858,438417160.9931701,0.8333953448515734,17163.094613186437
Peru,Poultry Birds,137238767.98507908,554293397.2390336,0.8015439123636389,16750.94258761458
Canada,Poultry Birds,113292018.59528925,624346759.9478323,0.846412604799537,16535.381210323416
Ireland,Poultry Birds,17250545.992304396,81413285.60585546,0.8251583613480289,16530.3679915988
Malaysia,Poultry Birds,125288341.91402304,543170910.581352,0.8125714597466958,16457.910203152514
Iran (Islamic Republic of),Poultry Birds,360464305.9007252,1392444069.001367,0.794362152031558,16006.914310624772
Czech Republic,Poultry Birds,49274939.07457303,167250927.7547613,0.7724293185099611,15871.355124821353
Republic of Korea,Poultry Birds,208684544.48670697,813195022.0225924,0.7957836213522057,15681.148807041249
Colombia,Poultry Birds,239199694.32003975,778642091.4620321,0.7649932458449349,15383.00690949362
Saudi Arabia,Poultry Birds,100027723.62001672,541003023.6613104,0.8439579941457662,14932.47148138316
Slovenia,Poultry Birds,8894370.635643972,31005075.073108494,0.7770803459133551,14650.937163016735
Trinidad and Tobago,Poultry Birds,6206339.365934498,22053484.27473621,0.7803829406421873,14567.332237754283
Hungary,Poultry Birds,36088797.61493364,138857318.63585788,0.7937147826522821,14212.44760922669
Argentina,Poultry Birds,122330169.45520304,633377904.7254341,0.838125099314524,14103.760687783262
South Africa,Poultry Birds,205684896.0259261,776832033.0112995,0.7906551124493315,13286.869855794994
Costa Rica,Poultry Birds,17948358.719252694,67675383.84830706,0.7903810534199566,13255.75416896384
Denmark,Poultry Birds,79715679.00673078,75226505.62492736,0.48551339200336086,12946.029881872506
Finland,Poultry Birds,16134818.882320922,71383450.94836709,0.8156405638098744,12919.578866771175
Libya,Poultry Birds,18336721.860640146,84443676.31440175,0.8215932007831739,12771.221827010071
"China, Taiwan Province of",Poultry Birds,66612691.80043068,301559708.9542478,0.8190720117426287,12670.0990145181
Spain,Poultry Birds,119022209.1889434,596184572.9378272,0.8335835003759141,12596.34803232277
Russian Federation,Poultry Birds,559099536.4381897,1753325913.7309687,0.7582194330211638,12028.717823636307
New Zealand,Poultry Birds,50214224.69104323,59031407.80898434,0.540354854085077,11744.04750525701
Mexico,Poultry Birds,367862767.7950365,1434202030.934617,0.7958659599508533,11417.8550059984
Lithuania,Poultry Birds,21150599.29382689,32284713.874746237,0.6041831133822908,11384.292067684417
United Kingdom,Poultry Birds,170710906.15674767,749348007.5215001,0.814456548793954,11192.45507960025
Serbia,Poultry Birds,17621271.985583767,81656918.57411823,0.8225061125082953,11058.534925029517
Dominican Republic,Poultry Birds,48830989.41438299,119834777.05887705,0.7104866598870581,10954.472607814438
Morocco,Poultry Birds,143988634.86751005,398099405.0044186,0.7343814578504109,10910.167938304283
Chile,Poultry Birds,79762217.72706711,202222024.0743854,0.717139450000797,10528.729579737299
Ukraine,Poultry Birds,293540412.57103413,460682269.23977834,0.6108040507794419,10448.515046923358
Bosnia and Herzegovina,Poultry Birds,7677901.590922937,34134239.11164512,0.8163714781900328,10216.852663817534
Turkey,Poultry Birds,345043536.643265,850800115.6960268,0.7114643407034892,10151.331002369787
Iceland,Poultry Birds,1473209.9728343475,3650517.1479093377,0.7124729834128016,10019.534357768396
Indonesia,Poultry Birds,1710617239.368325,2678972206.662897,0.6103013139611604,9891.863078973529
Guatemala,Poultry Birds,58120043.68481534,169703087.82378474,0.744889628634477,9848.609707092746
Austria,Poultry Birds,24100671.80091692,84950187.30201943,0.7789960391034831,9543.778863213116
Egypt,Poultry Birds,254807498.578189,998507796.611184,0.796693218732571,9372.252698206217
France,Poultry Birds,171658339.89641398,599281987.4965105,0.7773390056310739,9297.28224338715
Croatia,Poultry Birds,9503186.196585676,37391480.931187175,0.7973503859043811,9087.426851100952
Bolivia (Plurinational State of),Poultry Birds,27831010.56983784,107772854.68598405,0.7947624094834349,9085.29010079322
Nepal,Poultry Birds,43896258.265396215,258931119.64090702,0.8550452783731529,8928.897299259288
Kuwait,Poultry Birds,6483849.525810563,39730411.71605225,0.8597002450850124,8891.495498249189
Slovakia,Poultry Birds,13113645.24995334,45997860.20709193,0.7781540979448972,8428.29536156356
Germany,Poultry Birds,151640929.47824898,690085804.7139466,0.819845416192253,8287.561415221151
Tunisia,Poultry Birds,18610274.61118404,98621622.19850248,0.8412524652621135,8146.338796255132
Greece,Poultry Birds,31946463.346956257,85626657.89460245,0.7282842965330404,8121.393141665127
Cyprus,Poultry Birds,2449228.25087325,9921568.10312327,0.802015312451409,8041.615349862998
Lebanon,Poultry Birds,8352754.265668974,44640600.6699674,0.8423811008792725,7839.218229373317
Ecuador,Poultry Birds,54820611.33698225,135687397.19599372,0.712239859315452,7759.257301827273
Italy,Poultry Birds,92073094.83719105,446823845.79496986,0.829145263416817,7492.0290070745905
Estonia,Poultry Birds,2251053.91905791,9874806.872121252,0.8143592477413714,7429.772695010896
Singapore,Poultry Birds,10010961.40184963,43540890.32080031,0.813060406319891,7387.92736916608
Norway,Poultry Birds,16921707.471455142,39623824.63869891,0.7007419182387276,7381.549330927497
Sweden,Poultry Birds,35202676.41458459,75683329.72792365,0.6825327411527213,7332.651294476091
Azerbaijan,Poultry Birds,19957200.71593788,75202648.93728632,0.790277088618102,7320.041268908433
Thailand,Poultry Birds,726857123.4631187,518795998.98841655,0.4164851270692347,7267.131926222193
Myanmar,Poultry Birds,68621213.17608279,382036066.82490295,0.8477308229084135,7177.355432633398
Honduras,Poultry Birds,24377118.831052534,69551673.43076876,0.7404723488501517,6926.222658586642
Philippines,Poultry Birds,167431260.5875774,761399550.5951397,0.8197397646893512,6841.727139729993
Burkina Faso,Poultry Birds,29690865.293122295,143020991.87353474,0.828090174118895,6736.139442372601
Latvia,Poultry Birds,9177506.242463026,12433968.733909205,0.5753410513397734,6519.33823564746
Venezuela (Bolivarian Republic of),Poultry Birds,53815538.893368766,178521824.40848756,0.7683732907674828,6235.735513362458
"China, mainland",Poultry Birds,4989225819.60941,8637421563.828632,0.6338625577357081,6065.613468966934
Viet Nam,Poultry Birds,180531547.47168827,545551417.6955498,0.7513623702353263,5670.800739780565
Republic of Moldova,Poultry Birds,7438254.817978356,16368714.532738622,0.6875597767863576,5288.719742638061
