area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Viet Nam,Soyabean Oil,311163.7025917188,-97581.7530105923,-0.4568820221089285,-1.014325431503805
Russian Federation,"Oranges, Mandarines",1637067.5763013428,-151004.7550360125,-0.10161397814086848,-1.035970308845972
Kenya,"Beverages, Fermented",293208.48826688016,-53841.200433126825,-0.2249313217373332,-1.0462685516996193
Poland,"Vegetables, Other",3593078.262307097,-41536.90777450707,-0.01169545941552852,-1.079498531042599
Ghana,Pigs,633609.471418492,-36528.589071952854,-0.061178627807332964,-1.1469216279704975
Hungary,Sesame seed,12306.758357768884,-11492.84330888717,-1.0,-1.17632570622338
Uruguay,Hides and skins,78064.96689988287,-4367.518771100746,-0.05926282228210611,-1.273971273303874
New Caledonia,Sorghum and products,368.445594178772,-368.445594178772,-1.0,-1.2899897912210743
Netherlands,Sorghum and products,35674.773435113115,-22455.44268348013,-1.0,-1.2903738219705463
United Kingdom,Soyabean Oil,320320.14156687853,-95300.64083907322,-0.42352169714550025,-1.4234349473703511
Portugal,Sesame seed,15833.639788529,-15833.639788529,-1.0,-1.5374855633899018
Niger,Soyabean Cake,38050.50655719512,-37029.25302002393,-1.0,-1.55052900443913
Guyana,Sorghum and products,1334.7397188801028,-1334.7397188801028,-1.0,-1.6856136942472144
"China, mainland",Sesame seed,4129678.845328239,-2799151.854685274,-1.0,-1.965699261752466
Lithuania,Soyabean Oil,17791.787565219533,-5591.958912372758,-0.4583637255485469,-1.9718462965452797
Indonesia,Soyabeans,1845358.702655719,-594308.6540091899,-0.4750478645136167,-2.1944310648265373
Uruguay,"Meat, Other",17151.46297162434,-8213.772472887636,-0.9190039053207997,-2.3958935781003414
Lithuania,Sesame seed,7893.395207003469,-7137.333656555582,-1.0,-2.516779031896605
Thailand,Sesame seed,217699.7967937263,-184826.66856130492,-1.0,-2.5889941066201945
Afghanistan,Milk - Excluding Butter,2264225.3445496447,-114955.55794729013,-0.053485866997188936,-2.999412330093336
New Zealand,Sesame seed,17278.145001386612,-16450.288253455466,-1.0,-3.2727148799990022
Bulgaria,Sesame seed,25245.83134516668,-23584.197617998812,-1.0,-3.3594598497057166
Fiji,Soyabeans,3853.392574597121,-3096.1281341951317,-1.0,-3.372354302781676
Egypt,Soyabean Oil,1034217.311691614,-368564.8805999587,-0.5536896785541976,-3.4594453928055837
Switzerland,Soyabean Oil,38595.175827835585,-30554.17983433828,-1.0,-3.5501568343879457
Georgia,Soyabeans,17687.214168279657,-14180.725734828487,-1.0,-3.7622810393733834
Angola,Soyabeans,165258.0383819276,-124258.03838192759,-1.0,-3.7769552178726786
