area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",196748.7758633904
Afghanistan,Apples and products,272898.8240637593
Afghanistan,Asses,
Afghanistan,Bananas,105639.23847045544
Afghanistan,Barley and products,1943.7638006788584
Afghanistan,Beans,67.88150167223411
Afghanistan,Beer,42905.66992421182
Afghanistan,"Beverages, Alcoholic",1146.9366095393098
Afghanistan,"Beverages, Fermented",14975.494929814158
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,12699.00845769547
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",27.62327729984111
Afghanistan,"Citrus, Other",2571.6891414029637
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,696.1996455941962
Afghanistan,Coconuts - Incl Copra,4198.707800957556
Afghanistan,Coffee and products,93.76369894689523
Afghanistan,Copra Cake,48.278432172457165
Afghanistan,Cotton lint,5480.562618615337
Afghanistan,Cottonseed,12351.706375345015
Afghanistan,Cottonseed Cake,3913.254766991246
Afghanistan,Cottonseed Oil,1827.715564804082
Afghanistan,Dates,683.4281679816612
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",15545.796217942061
Afghanistan,Fodder crops,0.21809770934617828
Afghanistan,"Fruits, Other",415193.7859559857
Afghanistan,Goats,
Afghanistan,Grapefruit and products,758.4537393480243
Afghanistan,Grapes and products (excl wine),993440.0316370563
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.02393587572812961
Afghanistan,Groundnut Oil,1.089809487243696
Afghanistan,Groundnuts,75.8495463433589
Afghanistan,"Hard Fibres, Other",26.74733475965899
Afghanistan,Hides and skins,
Afghanistan,Honey,2001.0782809882494
Afghanistan,Hops,0.20522375175343627
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",6201.351569010422
Afghanistan,Maize Germ Oil,57.89881605206528
Afghanistan,Maize and products,24509.3617347623
