area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,0.0
Afghanistan,"Alcohol, Non-Food",87880.3431906843,-85854.85738556948,-1.0,-2.240118898459511
Afghanistan,Apples and products,0.0001115976949168,273405.02790698956,0.9999999995918228,7.133664752336306
Afghanistan,Asses,,0.0,0.0,0.0
Afghanistan,Bananas,5.064934472527767e-07,97000.99140942203,0.9999999999947785,2.5309430432072184
Afghanistan,Barley and products,871.1654554010272,131446.5583122462,0.9934161091152777,3.4296943513671847
Afghanistan,Beans,62.55281204529694,-62.55281204529694,-1.0,-0.0016321235708907928
Afghanistan,Beer,18044.952268478384,-18044.952268478384,-1.0,-0.4708276250099804
Afghanistan,"Beverages, Alcoholic",552.8018902491739,-552.8018902491739,-1.0,-0.014423668027191387
Afghanistan,"Beverages, Fermented",3617.154837449585,-3617.154837449585,-1.0,-0.09437854952848583
Afghanistan,Bovine Meat,,0.0,0.0,0.0
Afghanistan,Buffaloes,,0.0,0.0,0.0
Afghanistan,"Butter, Ghee",,0.0,0.0,0.0
Afghanistan,"Camelids, other",0.0,0.0,0.0,0.0
Afghanistan,Camels,,0.0,0.0,0.0
Afghanistan,Cassava and products,6.828878604604677e-10,2896.508852851794,0.9999999999997642,0.07557550520046845
Afghanistan,Cattle,,0.0,0.0,0.0
Afghanistan,"Cereals, Other",61.59182149184611,-61.59182149184611,-1.0,-0.0016070494729820575
Afghanistan,"Citrus, Other",4.690447693753923,54791.264450199065,0.9999144015702893,1.429609817114596
Afghanistan,Cloves,1.104360697553e-12,-1.104360697553e-12,-1.0,-2.881490162163169e-17
Afghanistan,Cocoa Beans and products,0.0058448284057816,-0.0058448284057816,-1.0,-1.5250285154215436e-07
Afghanistan,Coconut Oil,0.0074916007797769,-0.0074916007797769,-1.0,-1.9547032046334726e-07
Afghanistan,Coconuts - Incl Copra,7.94843791318556,1993.1098552892643,0.9960278828756832,0.05200408211603212
Afghanistan,Coffee and products,5.788673061006555e-07,-5.788673061006555e-07,-1.0,-1.510376502371758e-11
Afghanistan,Copra Cake,8.70426629549197e-05,-8.70426629549197e-05,-1.0,-2.2711110378051893e-09
Afghanistan,Cotton lint,2320.6465319404747,22119.35346805949,0.9050471959107824,0.5771366144489615
Afghanistan,Cottonseed,5226.01272134127,42773.98727865865,0.8911247349720567,1.116055866647974
Afghanistan,Cottonseed Cake,1655.9932640146108,19355.141524991108,0.9211849678447104,0.5050129909106181
Afghanistan,Cottonseed Oil,775.4517172248875,17674.87047492932,0.9579708305823169,0.46117147689034715
Afghanistan,Dates,0.0005996998173756,1000.9994003001826,0.9999994008992833,0.026118005925847274
Afghanistan,Eggs,,0.0,0.0,0.0
Afghanistan,"Fats, Animals, Raw",,0.0,0.0,0.0
Afghanistan,"Fish, Seafood",86.67709773481558,12062.31334123364,0.9928654896742042,0.3147290310376716
Afghanistan,Fodder crops,1.0505479019796321e-14,-1.0505479019796321e-14,-1.0,-2.7410821945609756e-19
Afghanistan,"Fruits, Other",5.9938007374004295e-05,416138.99328965973,0.9999999998559663,10.857869334842867
Afghanistan,Goats,,0.0,0.0,0.0
Afghanistan,Grapefruit and products,0.0051236927225846,999.8916756950094,0.9999948757784546,0.026089103253384687
Afghanistan,Grapes and products (excl wine),1.2594533446008456e-09,993592.8901876531,0.9999999999999988,25.92475578508707
Afghanistan,Grazing,0.0,38066589.0,1.0,993.230761957142
Afghanistan,Groundnut Cake,0.0105021791652819,-0.0105021791652819,-1.0,-2.740221198842734e-07
Afghanistan,Groundnut Oil,0.4768942142797688,-0.4768942142797688,-1.0,-1.244309028639386e-05
Afghanistan,Groundnuts,2141.904204853241,12908.340352265088,0.8576830963294757,0.33680350828602945
Afghanistan,"Hard Fibres, Other",2.3504461442860513e-12,-2.3504461442860513e-12,-1.0,-6.132767542761611e-17
Afghanistan,Hides and skins,,0.0,0.0,0.0
Afghanistan,Honey,1.400854682000943,1998.599145317999,0.9992995726589995,0.052147308285254795
Afghanistan,Hops,0.0043257200834546,-0.0043257200834546,-1.0,-1.1286638407509863e-07
Afghanistan,Horses,,0.0,0.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,0.0
Afghanistan,Jute-Like Fibres,,0.0,0.0,0.0
Afghanistan,"Lemons, Limes and products",1.6632689552256592e-09,1996.592522563935,0.999999999999167,0.05209495162553465
Afghanistan,Maize Germ Oil,32.49503407334959,1859.3672540613632,0.9828237846501036,0.048514479574451146
Afghanistan,Maize and products,11608.168116560852,333487.0152615953,0.96636241629649,8.701319739236089
Afghanistan,"Meat, Other",,0.0,0.0,0.0
Afghanistan,Milk - Excluding Butter,,0.0,0.0,0.0
Afghanistan,Millet and products,1751438.3096977747,-1745440.838461755,-1.0,-45.541919554086704
Afghanistan,Mules,,0.0,0.0,0.0
Afghanistan,Mutton & Goat Meat,,0.0,0.0,0.0
Afghanistan,Nuts and products,2.820985933477636e-05,76101.47556216412,0.9999999996293126,1.9856343461367423
Afghanistan,Oats,185.03558272385897,1815.7062550415503,0.9075165125099189,0.047375279859859995
Afghanistan,"Offals, Edible",,0.0,0.0,0.0
Afghanistan,"Oil, palm fruit",0.0,0.0,0.0,0.0
Afghanistan,"Oilcrops Oil, Other",9131.318394338912,4517.396070686969,0.3309759378630538,0.1178675804483196
Afghanistan,"Oilcrops, Other",3124.8956822655146,30770.743013519903,0.9078083257167222,0.8028680617878785
Afghanistan,"Oilseed Cakes, Other",1438.0930008128314,16569.1692875923,0.9201381654923292,0.4323215993035829
Afghanistan,Olive Oil,0.0278369943822441,999.972163005618,0.9999721630056178,0.026091203322630284
Afghanistan,Olives (including preserved),6.2298541932163336e-12,8999.999999999995,0.9999999999999993,0.23482736679176253
Afghanistan,Onions,0.0001035559333321,346052.9998964441,0.9999999997007513,9.029190526230233
Afghanistan,"Oranges, Mandarines",2.3519523400637196e-08,144039.9853963056,0.9999999999998367,3.758281164815377
Afghanistan,Palm Oil,2.917935741549323e-09,155297.67303861276,0.9999999999999812,4.052015958727283
Afghanistan,Palm kernels,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Cake,0.0009576168149759,-0.0009576168149759,-1.0,-2.498607056181169e-08
Afghanistan,Palmkernel Oil,3.5862762261486554e-06,-3.5862762261486554e-06,-1.0,-9.357286697493209e-11
Afghanistan,Peas,5.398800923657884,27122.268090260768,0.9998009854313932,0.7076723107840206
Afghanistan,Pepper,0.0002635411676483,-0.0002635411676483,-1.0,-6.876297604452973e-09
Afghanistan,Pigmeat,,0.0,0.0,0.0
Afghanistan,Pigs,,0.0,0.0,0.0
Afghanistan,Pimento,0.7810124962466375,2994.2952587875584,0.99973923452176,0.078126941224238
Afghanistan,Pineapples and products,1.6648653354294075e-10,944.0981293717856,0.9999999999998237,0.024633341968156145
Afghanistan,Plantains,1.2197044073022364e-20,-1.2197044073022364e-20,-1.0,-3.1824441581232416e-25
Afghanistan,Potatoes and products,5706.04592570779,932496.7968671606,0.9939181105988532,24.330640816674283
Afghanistan,Poultry Birds,,0.0,0.0,0.0
Afghanistan,Poultry Meat,,0.0,0.0,0.0
Afghanistan,"Pulses, Other and products",4321.440558200159,63494.980553416164,0.9362773722445825,1.6567065653169883
Afghanistan,Rabbits and hares,,0.0,0.0,0.0
Afghanistan,Rape and Mustard Cake,672.0241279578868,222.64732572281275,0.24885931568156827,0.0058092983580795565
Afghanistan,Rape and Mustard Oil,403.2700040197216,1340.5414797279727,0.7687422019076064,0.034977313973294774
Afghanistan,Rape and Mustardseed,1577.861665593702,-1577.861665593702,-1.0,-0.041169455565892646
Afghanistan,Rice and products,3359.9624447668857,897644.3712726695,0.9962708698293335,23.421273780156486
Afghanistan,Ricebran Oil,0.0,0.0,0.0,0.0
Afghanistan,"Rodents, other",0.0,0.0,0.0,0.0
Afghanistan,"Roots, Other",1028.1156189293831,-1028.1156189293831,-1.0,-0.02682552039451893
Afghanistan,Rubber,0.0011213369205384,-0.0011213369205384,-1.0,-2.9257844037379613e-08
Afghanistan,Rye and products,62.98277840733708,-62.98277840733708,-1.0,-0.0016433422229582284
Afghanistan,Seed cotton,8079.646754486251,65982.35324551363,0.89090698665326,1.7216069185964313
Afghanistan,Sesame seed,12665.464361024451,29334.535638975336,0.6984413247375115,0.765394640017744
Afghanistan,Sesameseed Cake,854.0354362090549,2527.96456379093,0.7474762163781612,0.0659594735397679
Afghanistan,Sesameseed Oil,421.3875511400573,1578.6124488599335,0.7893062244299703,0.041189044950052704
Afghanistan,Sheep,,0.0,0.0,0.0
Afghanistan,Silk,549.0,6.998172721339984,0.012586682950930128,0.00018259583027846804
Afghanistan,Sisal,0.0,0.0,0.0,0.0
Afghanistan,"Soft-Fibres, Other",0.0267053021192408,-0.0267053021192408,-1.0,-6.967928640044219e-07
Afghanistan,Sorghum and products,305895821.262423,-305894768.2854218,-1.0,-7981.384772426889
Afghanistan,Soyabean Cake,17263225.72312332,-17241210.222206067,-1.0,-449.8564440870969
Afghanistan,Soyabean Oil,11902662.060176903,-11897436.790665146,-1.0,-310.4270836803707
Afghanistan,Soyabeans,40415204.732274,-40407446.73336488,-1.0,-1054.30825724161
Afghanistan,"Spices, Other",0.2101382655715292,19975.03818579474,0.9999894800674233,0.5211872909705653
Afghanistan,Sugar (Raw Equivalent),143768.35395320007,606847.2149373473,0.8084660645052995,15.8338148365169
Afghanistan,Sugar beet,0.0,5000.0,1.0,0.13045964821764594
Afghanistan,Sugar cane,40000.0,0.0,0.0,0.0
Afghanistan,Sugar non-centrifugal,0.0,0.0,0.0,0.0
Afghanistan,Sunflower seed,4195162.991602931,-4188604.990496818,-1.0,-109.28878671657822
Afghanistan,Sunflowerseed Cake,637052.5409171957,-632428.999276222,-1.0,-16.501292953642757
Afghanistan,Sunflowerseed Oil,2588339.762036939,-2488934.858846694,-1.0,-64.94111322435519
Afghanistan,Sweet potatoes,105.70563477350352,-105.70563477350352,-1.0,-0.0027580639854348464
Afghanistan,"Sweeteners, Other",3784.11625524731,14211.332317463246,0.7897181478995869,0.3708010829680636
