area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Israel,Poultry Birds,101375272.3540947,420630466.30670863,0.8057966324006873,48428.52041054516
Belarus,Poultry Birds,88952844.44751255,320526561.76660615,0.7827660119224684,33177.21788314039
Netherlands,Poultry Birds,149546260.9402521,521291575.7769743,0.7770753932544069,29955.365943030003
Brunei Darussalam,Poultry Birds,2946174.228699831,13076589.289301733,0.8161257123098767,29726.75011719153
Mauritius,Poultry Birds,10270289.981597962,37150397.23942518,0.7834217388345902,28644.212033852382
Poland,Poultry Birds,224904477.9068564,1060704952.0823921,0.8250600278276294,27566.554637591606
Belgium,Poultry Birds,67475502.98276603,269360999.889447,0.7996787687575403,23338.933225948902
Barbados,Poultry Birds,1262060.9315055392,6366674.207301317,0.8345648513754893,22703.499332451287
United States of America,Poultry Birds,1344572415.496574,7600843251.484322,0.8496914547571415,22662.81995102142
Denmark,Poultry Birds,26609617.83695508,128332566.79470305,0.8282609871532808,22085.264106579714
Panama,Poultry Birds,22578147.280561075,93675193.60330692,0.8057849597362052,21960.917408438207
Jordan,Poultry Birds,40278026.465706095,217649082.08063364,0.8438394991022448,20120.877579094024
Brazil,Poultry Birds,1821778536.2744248,4244907610.0463095,0.6997077988978745,19969.93347019493
Jamaica,Poultry Birds,20119344.23647487,50695266.41322844,0.7158871022252924,18012.347751507456
Portugal,Poultry Birds,36568819.40000866,184669458.8860799,0.834708443388261,17931.860951015773
El Salvador,Poultry Birds,21197751.519313544,111703794.41712162,0.840500339029524,17784.61735667496
Peru,Poultry Birds,116714840.415547,574817324.8085656,0.831222832017189,17371.182940651535
Australia,Poultry Birds,86701374.78489706,439360072.1640916,0.8351877422537973,17200.007569790818
Ireland,Poultry Birds,16980234.543856293,81683597.05430357,0.827898083129249,16585.252740223514
Canada,Poultry Birds,111867416.32406206,625771362.2190595,0.8483439054749717,16573.110791285446
Malaysia,Poultry Birds,124825667.96525516,543633584.5301199,0.8132636095629198,16471.929080367438
Iran (Islamic Republic of),Poultry Birds,369564525.1248656,1383343849.7772267,0.7891706546581435,15902.302260078868
Czech Republic,Poultry Birds,49166640.29476587,167359226.5345685,0.772929484062433,15881.632188255195
Republic of Korea,Poultry Birds,209625416.4263251,812254150.0829743,0.7948628945166236,15663.005615686212
Colombia,Poultry Birds,231264609.40496737,786577176.3771045,0.7727892363671509,15539.774013936663
Slovenia,Poultry Birds,8573418.266449653,31326027.442302816,0.7851243766885473,14802.597914758173
Saudi Arabia,Poultry Birds,107297203.17329577,533733544.1080314,0.8326176963767284,14731.82325694404
Trinidad and Tobago,Poultry Birds,6175838.473377935,22083985.167292774,0.7814622429387759,14587.479468454174
Hungary,Poultry Birds,35901267.42380617,139044848.82698536,0.7947867137996912,14231.641865912123
Argentina,Poultry Birds,120425701.38008782,635282372.8005493,0.8406452101088675,14146.168485353328
South Africa,Poultry Birds,176007091.30031475,806509837.7369108,0.8208610090079718,13794.476535538026
Costa Rica,Poultry Birds,17523772.313856892,68099970.25370285,0.7953397995885301,13338.919016998188
Finland,Poultry Birds,15885247.063254096,71633022.76743391,0.8184922177508132,12964.748479006503
Spain,Poultry Birds,114865454.41976622,600341327.7070044,0.8393954625567207,12684.17306526443
"China, Taiwan Province of",Poultry Birds,66364426.3673734,301807974.387305,0.8197463301666832,12680.529942541029
Libya,Poultry Birds,19516126.599128447,83264271.57591346,0.8101182039994516,12592.84920994186
Lithuania,Poultry Birds,18836182.4198257,34599130.74874742,0.6474956109941205,12200.405779028675
New Zealand,Poultry Birds,49331982.23440765,59913650.26561992,0.5484306227583496,11919.565889562016
Dominican Republic,Poultry Birds,41899757.49696137,126766008.97629867,0.7515811395929946,11588.078244185752
Mexico,Poultry Birds,365249628.31413954,1436815170.415514,0.7973160407041865,11438.658523954577
United Kingdom,Poultry Birds,157333825.69779876,762725087.9804491,0.8289959225884749,11392.258602970116
Russian Federation,Poultry Birds,697736616.345607,1614688833.8235514,0.6982663305774609,11077.596129124511
Serbia,Poultry Birds,17492094.271177966,81786096.28852403,0.823807281613791,11076.029049118897
Morocco,Poultry Birds,147511975.02825272,394576064.843676,0.7278818860067393,10813.608555461075
Chile,Poultry Birds,77555195.12157434,204429046.67987818,0.7249662086572142,10643.638647114909
Ukraine,Poultry Birds,292636413.9175027,461586267.8933098,0.6120026340033792,10469.018209655034
Turkey,Poultry Birds,338483231.4100144,857360420.9292774,0.7169502628977639,10229.605356910542
Bosnia and Herzegovina,Poultry Birds,7636642.629210149,34175498.0733579,0.8173582480855587,10229.202045079639
Guatemala,Poultry Birds,54303029.810055666,173520101.6985444,0.7616439145117897,10070.127655770855
Iceland,Poultry Birds,1469250.95430236,3654476.166441325,0.7132456667424738,10030.400632489776
Indonesia,Poultry Birds,1693027108.99266,2696562337.0385623,0.6143085521304541,9956.813047765523
Egypt,Poultry Birds,197094492.38380387,1056220802.8055692,0.8427414927909076,9913.961916564524
Austria,Poultry Birds,23814471.88143412,85236387.22150224,0.781620501871013,9575.932161857441
France,Poultry Birds,170300715.63810357,600639611.754821,0.7791000034801571,9318.344474812977
Bolivia (Plurinational State of),Poultry Birds,27563368.111963324,108040497.14385855,0.7967361176618087,9107.852455480437
Croatia,Poultry Birds,9419176.795441415,37475490.332331434,0.7991418348321528,9107.844049582827
Nepal,Poultry Birds,44315678.14314322,258511699.76316,0.8536602652985531,8914.43415933673
Kuwait,Poultry Birds,8067055.5519267805,38147205.68993603,0.8254422912938548,8537.180789541406
Latvia,Poultry Birds,5417885.634286047,16193589.342086185,0.7493051427443334,8490.570342382089
Slovakia,Poultry Birds,13065673.324775174,46045832.1322701,0.7789656476560279,8437.085369460538
Germany,Poultry Birds,149970879.9629059,691755854.2292897,0.8218294918399701,8307.617816657497
Greece,Poultry Birds,31847301.586057886,85725819.65550081,0.729127701554964,8130.798292638865
Sweden,Poultry Birds,27318033.053205233,83567973.089303,0.7536385879197713,8096.5624563943475
Cyprus,Poultry Birds,2517807.852052701,9852988.50194382,0.7964716433765159,7986.030308486469
Tunisia,Poultry Birds,21170816.81245201,96061079.99723452,0.819410779927748,7934.833004638226
Lebanon,Poultry Birds,8622628.096199537,44370726.83943684,0.8372885033100426,7791.826397270365
Ecuador,Poultry Birds,54990476.46676123,135517532.06621474,0.711348216328435,7749.543597564381
Italy,Poultry Birds,93165475.30943894,445731465.32272196,0.8271181959204486,7473.712737113031
Estonia,Poultry Birds,2220336.1583750425,9905524.632804118,0.8168924914600534,7452.88463861941
Norway,Poultry Birds,16802481.206818897,39743050.903335154,0.7028504184187945,7403.760073125642
Singapore,Poultry Birds,10029258.353598712,43522593.369051225,0.8127187383633122,7384.822780591905
Honduras,Poultry Birds,19887417.617017742,74041374.64480354,0.7882713368486345,7373.324342054907
Thailand,Poultry Birds,726721151.5523633,518931970.89917195,0.41659428419195577,7269.036578177194
Myanmar,Poultry Birds,67937849.9576182,382719430.0433675,0.8492471929944866,7190.193855846346
