area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
"China, Hong Kong SAR",Poultry Birds,20785997.87956546,167261.38923704252,0.007982595313278051,22.295849473612844
Kenya,Tomatoes and products,10841.59026249926,1052621.4097370051,0.9898053902556984,20.455054289167315
Ethiopia,Poultry Birds,82704151.0112648,1602817.8498715162,0.01901168873134973,13.860606894386224
Ethiopia,Sorghum and products,4137988.550679475,1127446.4069857039,0.2141221790888176,9.749761298808664
Venezuela (Bolivarian Republic of),Poultry Birds,232126516.66957632,210846.6322799921,0.0009075020448005011,7.364835291918025
Kenya,Pineapples and products,4007.933420238869,330992.0659522294,0.9880360196186667,6.4319997823605775
Jordan,Poultry Birds,257868238.1128298,58870.433509886265,0.00022824445961366902,5.442360585016291
Guinea-Bissau,Poultry Birds,3388020.619503553,9076.132936982438,0.0026717322462075366,4.55331323786822
Senegal,Poultry Birds,84100647.32166035,55836.16831895709,0.0006634802929427197,3.443389470001517
Belize,Poultry Birds,10599860.366166584,1259.907388927415,0.00011884662718808503,3.2105604341389586
South Sudan,Sorghum and products,728397.3966995113,33556.663872693665,0.04404027172910341,3.182101523558253
Rwanda,Poultry Birds,4839830.207396155,39745.660108236596,0.008145310409645057,3.06034088976685
Ethiopia,Millet and products,962619.2386215212,271380.7613784798,0.21991957972324117,2.34680569128168
Mauritius,Poultry Birds,47417771.93374561,2915.2872775271535,6.147711997384064e-05,2.24778503386932
Guatemala,Poultry Birds,227792966.44646317,30165.062136918306,0.000132405616309339,1.7506100070800934
Ethiopia,Groundnuts,34361.175626103126,171981.46537896842,0.8334751583156359,1.4872354241185055
Djibouti,Poultry Birds,80236.75182605114,1456.9605218005017,0.01783442666427948,1.3461159500126594
Guinea-Bissau,Rice and products,390451.75891083525,2674.387412556447,0.006802873422609879,1.3416863429977515
Belgium,Poultry Birds,336821268.14325136,15234.728961646557,4.52288538556056e-05,1.320021540227543
Rwanda,Rabbits and hares,1641837.6568572232,15402.16952478909,0.009293868804984173,1.1859380133446271
Costa Rica,Poultry Birds,85618264.81014003,5477.757419720292,6.397474877251064e-05,1.0729426509909081
