area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Bahrain,"Roots, Other",1500.9525264117156,-1500.9525264117156,-1.0,-1.0046314414820259
Saint Vincent and the Grenadines,"Pulses, Other and products",1105.52856836314,-105.52856836314004,-0.10552856836313995,-1.00779823098728
New Caledonia,Rape and Mustardseed,290.4158137633865,-290.4158137633865,-1.0,-1.0167944491206344
Congo,"Beverages, Fermented",5734.198872824102,-5734.198872824102,-1.0,-1.0175520528541049
Qatar,"Beverages, Alcoholic",2905.278060446138,-2905.278060446138,-1.0,-1.0270972380432004
Mozambique,Sesameseed Cake,64031.26714013415,-31825.11562498253,-0.9881688474951802,-1.0359484567624688
Kiribati,"Roots, Other",2130.5560914692232,-130.55609146922325,-0.0652780457346116,-1.0423140725332378
Morocco,"Beverages, Fermented",38232.742810928146,-38232.742810928146,-1.0,-1.0477926858609397
"China, Macao SAR","Oilcrops Oil, Other",1595.9251422479722,-706.5121936104249,-0.7943578904407678,-1.054465908594271
Australia,"Oilcrops Oil, Other",254513.5892528972,-26940.7267581746,-0.11838286192317571,-1.054671859219848
Liberia,Sesame seed,5340.252011188237,-5340.252011188237,-1.0,-1.0607964638584904
Costa Rica,Sesame seed,5582.1331818194885,-5418.1331818194885,-1.0,-1.0612638958042888
Cuba,Rape and Mustardseed,12031.04420727796,-12031.04420727796,-1.0,-1.0638246657225972
Italy,"Beverages, Fermented",129443.28283596036,-64317.81317017409,-0.9875984541876328,-1.078436002190582
Lao People's Democratic Republic,"Beverages, Alcoholic",52068.57027694394,-7868.2306995358085,-0.17801290159221872,-1.082935105700177
Puerto Rico,Sunflowerseed Oil,3579.871998055345,-3579.871998055345,-1.0,-1.0913518546801904
"China, Hong Kong SAR","Alcohol, Non-Food",9277.12163552919,-8236.150006931124,-1.0,-1.0978741814489468
United Kingdom,Sesame seed,79549.32501750776,-74496.79428223631,-1.0,-1.112703330373808
Cyprus,Sesame seed,3047.892020842548,-1387.3787823321993,-0.8355120273397043,-1.1244962889046486
Kenya,"Beverages, Alcoholic",86933.4586182867,-58196.61113799446,-1.0,-1.1309050236501064
Lesotho,Cotton lint,2535.4168534759538,-2535.4168534759538,-1.0,-1.1320826599148572
Bahamas,Beans,460.54232904579334,-460.54232904579334,-1.0,-1.1349585095477916
Jamaica,Rape and Mustardseed,3200.8796764688536,-3200.8796764688536,-1.0,-1.1372927281479885
Botswana,"Roots, Other",105898.90190050373,-2898.901900503726,-0.028144678645667165,-1.1487437297447223
Slovenia,"Oilcrops Oil, Other",6907.798887311084,-2431.195209984816,-0.543089222371566,-1.148821222607145
Sao Tome and Principe,"Oilcrops, Other",250.2469560870139,-250.2469560870139,-1.0,-1.1573612124900052
Oman,Rape and Mustardseed,5800.7691130357725,-5341.5496005534915,-1.0,-1.1639553939027938
Cyprus,Cotton lint,1437.516216649174,-1437.516216649174,-1.0,-1.1651336112729958
Eswatini,"Oilcrops Oil, Other",4158.005573913593,-1379.336765564446,-0.4964020042330748,-1.174681419326538
Brunei Darussalam,Sesame seed,518.8429381830538,-518.8429381830538,-1.0,-1.1794753228240817
Madagascar,Sugar (Raw Equivalent),266234.68152334174,-33409.9761612576,-0.1434984148666658,-1.198386569554754
Yemen,Sesameseed Cake,45750.15291508909,-38394.713944889714,-1.0,-1.2025733333206916
Belize,"Oilcrops, Other",473.080452421378,-473.080452421378,-1.0,-1.2055277999454115
Jamaica,Sesame seed,3394.7774751550455,-3394.7774751550455,-1.0,-1.206185838398537
Croatia,"Oilcrops Oil, Other",13463.762895180582,-4963.790759875752,-0.5839772979088405,-1.2063733318708523
Fiji,Rape and Mustardseed,1112.5660321537086,-1112.5660321537086,-1.0,-1.211825442307689
Democratic Republic of the Congo,Beer,531581.2163499531,-110760.9484890885,-0.263202504603959,-1.2127294828270776
Italy,Millet and products,85016.24310477047,-73068.62152218336,-1.0,-1.225163422012951
Paraguay,"Oilcrops Oil, Other",24207.290997664444,-8098.823771115038,-0.502768119226567,-1.2321277526445586
French Polynesia,Maize and products,3491.8181856880374,-371.0757495164944,-0.11890624013551143,-1.2338673996864236
"China, Macao SAR","Cereals, Other",1817.7020267654264,-832.2395981177035,-0.8445168216709431,-1.242113429794832
Barbados,Sweet potatoes,2351.7042495331607,-351.7042495331607,-0.1758521247665803,-1.2541739901406095
Lesotho,Rape and Mustardseed,2847.2588657865917,-2847.2588657865917,-1.0,-1.2713224595895487
Ecuador,"Oilcrops Oil, Other",39434.69663563387,-22922.542139029752,-1.0,-1.3108210942523812
Qatar,Sesame seed,3738.9379101972854,-3738.9379101972854,-1.0,-1.321819364921282
Trinidad and Tobago,Rape and Mustard Oil,2026.3215351062263,-2026.3215351062263,-1.0,-1.3384777958294645
Brazil,Sesame seed,398083.33173990215,-284975.0145680735,-1.0,-1.3406492212277321
Botswana,Beans,3423.570379238532,-3423.570379238532,-1.0,-1.3566533609870146
Liberia,"Beverages, Alcoholic",26832.133207554456,-6885.279881631159,-0.3451812558667047,-1.3677033472967473
Guatemala,Millet and products,24652.28359491507,-23654.126680527774,-1.0,-1.372752049630041
New Zealand,Millet and products,7981.381859973166,-6979.315992098267,-1.0,-1.388505231496905
Bahamas,"Pulses, Other and products",746.5447038113773,-564.5447038113773,-1.0,-1.391261508878915
Bahrain,Rape and Mustardseed,2085.388724818442,-2085.388724818442,-1.0,-1.3958116887769159
Bahrain,Maize and products,2086.357181957758,-2086.357181957758,-1.0,-1.3964599054758213
Finland,"Roots, Other",7733.907255858895,-7733.907255858895,-1.0,-1.3997477484331189
Netherlands,Millet and products,34366.355354749794,-24381.87951422207,-1.0,-1.4010740958911336
Cyprus,"Roots, Other",3195.2108892957767,-1781.2108892957767,-1.0,-1.4437045313628358
Bahamas,Rape and Mustard Cake,586.255060726063,-586.255060726063,-1.0,-1.4447644178877246
Mauritania,"Alcohol, Non-Food",6416.862970617279,-6416.862970617279,-1.0,-1.4449357760221284
France,Sesame seed,103455.14918071555,-93693.98332371429,-1.0,-1.4535718170118583
Estonia,"Oilcrops, Other",6525.128440171937,-1944.3916160936305,-0.42447136580147515,-1.4629539518839492
Uruguay,Peas,8043.277846790101,-5043.277846790101,-1.0,-1.4710849424651962
Zimbabwe,"Beverages, Alcoholic",74754.2216177858,-22941.046407670518,-0.4427647275936841,-1.4795686568948119
Djibouti,Rape and Mustardseed,1601.4315112948598,-1601.4315112948598,-1.0,-1.4795956842693818
Dominica,"Beverages, Alcoholic",107.30417794700674,-107.30417794700674,-1.0,-1.4952368589683789
French Polynesia,Rape and Mustardseed,457.0510165465485,-457.0510165465485,-1.0,-1.5197445536258605
Namibia,"Oilcrops Oil, Other",9168.296289762737,-3767.987132175783,-0.6977354485126275,-1.5273082810855854
Saudi Arabia,Beer,55488.762792916685,-55488.762792916685,-1.0,-1.5315706783575953
Barbados,Cotton lint,429.56956686371853,-429.56956686371853,-1.0,-1.5318409670385469
Venezuela (Bolivarian Republic of),"Beverages, Alcoholic",76634.84158362797,-44237.515166072735,-1.0,-1.5452085214678941
United Kingdom,Millet and products,130058.8482320948,-104051.78612353416,-1.0,-1.554144310053983
Solomon Islands,Rape and Mustard Oil,1063.0108515550194,-1063.0108515550194,-1.0,-1.5566195949828736
Algeria,Millet and products,72161.02393453589,-67155.53283457023,-1.0,-1.5584589147278114
Guyana,Rape and Mustardseed,1234.368808639523,-1234.368808639523,-1.0,-1.5588574597451548
Central African Republic,"Alcohol, Non-Food",8260.160271498868,-8260.160271498868,-1.0,-1.5667905035936598
Kenya,Rape and Mustardseed,81230.52299920487,-81230.52299920487,-1.0,-1.5785112695943837
Kuwait,Rape and Mustardseed,7118.865859564484,-7118.865859564484,-1.0,-1.5931716035397507
Dominican Republic,Sugar (Raw Equivalent),646061.1338737808,-17526.5045502719,-0.027884707910422746,-1.602152719926692
Nepal,"Sweeteners, Other",169544.56369236717,-46591.928014198464,-0.378942084138431,-1.606661033213005
Namibia,"Roots, Other",373021.45475690026,-4021.4547569002607,-0.010898251373713475,-1.6300483352973014
Timor-Leste,Beer,3118.951729175704,-2107.3008450048155,-1.0,-1.6338781232737527
Cabo Verde,"Roots, Other",954.9215895230363,-954.9215895230363,-1.0,-1.6466067451292414
Timor-Leste,Sesame seed,2167.858592060266,-2167.858592060266,-1.0,-1.6808310670564046
Mauritius,Sesame seed,2192.893517786707,-2192.893517786707,-1.0,-1.69079502666752
"China, Macao SAR","Roots, Other",4088.611387968601,-1141.5103619658662,-0.3873332986871305,-1.7036984950663583
Libya,Rape and Mustardseed,11300.554762967891,-11300.554762967891,-1.0,-1.7090905790126558
Mozambique,"Beverages, Fermented",67792.12382412303,-52509.29041205012,-1.0,-1.7092449563750953
Dominica,"Oilcrops Oil, Other",123.13058143321211,-123.13058143321211,-1.0,-1.7157708800124312
Suriname,"Cereals, Other",1037.1607920205822,-1037.1607920205822,-1.0,-1.71770818727997
Papua New Guinea,"Alcohol, Non-Food",28491.35327160474,-16622.077053917055,-1.0,-1.7227060406691324
Bahamas,Sweet potatoes,2705.240723339833,-705.240723339833,-0.3526203616699166,-1.737992166523731
United Republic of Tanzania,"Alcohol, Non-Food",118853.47593454164,-105811.29775586096,-1.0,-1.7411202026253512
Guinea,Sesame seed,26762.07563813494,-22762.07563813494,-1.0,-1.745345668704323
RoW,Sugar (Raw Equivalent),39285.02946062275,-25587.88007380406,-1.0,-1.7652082686338417
Costa Rica,Peas,9017.482446184322,-9017.482446184322,-1.0,-1.766277835933638
Dominica,"Alcohol, Non-Food",127.6660500020918,-127.6660500020918,-1.0,-1.7789706538388579
Jordan,"Alcohol, Non-Food",44085.85685345221,-19469.97635216653,-0.7909518552931558,-1.7999295329197091
French Polynesia,"Alcohol, Non-Food",543.4808353746748,-543.4808353746748,-1.0,-1.807133141944507
Albania,Rape and Mustardseed,5304.5564176094595,-5304.5564176094595,-1.0,-1.8469067965619452
Mexico,Sesame seed,274041.48461177165,-232061.19223054888,-1.0,-1.8474670850109283
Slovenia,Rape and Mustardseed,13098.170824168135,-3924.340605362373,-0.42777558683370076,-1.8543824673821325
"China, Taiwan Province of",Sugar (Raw Equivalent),644192.7420466968,-45009.750039972365,-0.07511853747588892,-1.8910947739098716
Syrian Arab Republic,"Beverages, Fermented",38992.94486558337,-38992.94486558337,-1.0,-1.9033907556273004
Barbados,"Oilcrops, Other",535.744295985749,-535.744295985749,-1.0,-1.9104590356340474
Slovakia,Rape and Mustard Cake,139981.66372366308,-10446.452069687031,-0.08064565561981984,-1.9141278121925418
Croatia,Sesame seed,8712.759720323415,-7883.065679423065,-1.0,-1.9158583971578222
Eswatini,Barley and products,3298.8567283709704,-2255.744700976733,-1.0,-1.9210547076930369
Mexico,Sugar (Raw Equivalent),6540424.217577213,-242057.34932308458,-0.03843176404079207,-1.927047694881755
Zimbabwe,Sugar (Raw Equivalent),457800.168060242,-30162.109654115397,-0.07053186464865702,-1.9452866829619508
