area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",196123.3476675915
Afghanistan,Apples and products,272898.7392230586
Afghanistan,Asses,
Afghanistan,Bananas,105639.36481024974
Afghanistan,Barley and products,1983.6252072345733
Afghanistan,Beans,67.69875981662214
Afghanistan,Beer,42769.5594168413
Afghanistan,"Beverages, Alcoholic",1148.9343516719402
Afghanistan,"Beverages, Fermented",14931.826139797877
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,12699.181002595582
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",35.92630345331283
Afghanistan,"Citrus, Other",2571.72118185919
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,696.1995658317652
Afghanistan,Coconuts - Incl Copra,4198.724457516181
Afghanistan,Coffee and products,93.72902823424586
Afghanistan,Copra Cake,48.278430015633965
Afghanistan,Cotton lint,5465.14729032808
Afghanistan,Cottonseed,12314.533092185053
Afghanistan,Cottonseed Cake,3901.4713235651134
Afghanistan,Cottonseed Oil,1823.8590490720671
Afghanistan,Dates,1122.176915561291
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",15545.67645844365
Afghanistan,Fodder crops,0.21810713127871129
Afghanistan,"Fruits, Other",415193.1068815141
Afghanistan,Goats,
Afghanistan,Grapefruit and products,758.4015979117696
Afghanistan,Grapes and products (excl wine),993440.0067813937
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.023856124533548115
Afghanistan,Groundnut Oil,1.0861715393308156
Afghanistan,Groundnuts,75.62035835930669
Afghanistan,"Hard Fibres, Other",26.7473489282392
Afghanistan,Hides and skins,
Afghanistan,Honey,2001.078284347992
Afghanistan,Hops,0.20522864675491762
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",6201.6197554154805
Afghanistan,Maize Germ Oil,60.0757098813132
Afghanistan,Maize and products,25821.032826220817
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
