area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,0.0
Afghanistan,"Alcohol, Non-Food",87877.32542657152,-85851.8396214567,-1.0,-2.2400401591705994
Afghanistan,Apples and products,0.0001115976355319,273405.0279069896,0.9999999995918231,7.1336647523363075
Afghanistan,Asses,,0.0,0.0,0.0
Afghanistan,Bananas,5.064933027569768e-07,97000.99140942203,0.9999999999947785,2.5309430432072184
Afghanistan,Barley and products,871.1285662748858,131446.59520137234,0.9934163879073026,3.4296953138756683
Afghanistan,Beans,62.58123708670114,-62.58123708670114,-1.0,-0.0016328652350712256
Afghanistan,Beer,18044.288733954876,-18044.288733954876,-1.0,-0.47081031211387697
Afghanistan,"Beverages, Alcoholic",552.8359550447923,-552.8359550447923,-1.0,-0.014424556843441984
Afghanistan,"Beverages, Fermented",3617.003451336159,-3617.003451336159,-1.0,-0.09437459957266531
Afghanistan,Bovine Meat,,0.0,0.0,0.0
Afghanistan,Buffaloes,,0.0,0.0,0.0
Afghanistan,"Butter, Ghee",,0.0,0.0,0.0
Afghanistan,"Camelids, other",0.0,0.0,0.0,0.0
Afghanistan,Camels,,0.0,0.0,0.0
Afghanistan,Cassava and products,6.828875534284304e-10,2896.508852851794,0.9999999999997642,0.07557550520046845
Afghanistan,Cattle,,0.0,0.0,0.0
Afghanistan,"Cereals, Other",61.59131065593,-61.59131065593,-1.0,-0.001607036144287275
Afghanistan,"Citrus, Other",4.690445747094252,54791.264452145726,0.999914401605815,1.429609817165388
Afghanistan,Cloves,1.1043604176877805e-12,-1.1043604176877805e-12,-1.0,-2.881489431940807e-17
Afghanistan,Cocoa Beans and products,0.0058448234956232,-0.0058448234956232,-1.0,-1.5250272342664687e-07
Afghanistan,Coconut Oil,0.00749129639799,-0.00749129639799,-1.0,-1.9546237855517872e-07
Afghanistan,Coconuts - Incl Copra,7.948108291498788,1993.1101849109511,0.9960280475993636,0.05200409071649799
Afghanistan,Coffee and products,5.788671200136736e-07,-5.788671200136736e-07,-1.0,-1.5103760168349137e-11
Afghanistan,Copra Cake,8.703916136186134e-05,-8.703916136186134e-05,-1.0,-2.27101967448547e-09
Afghanistan,Cotton lint,2320.1031990213933,22119.89680097857,0.9050694272086172,0.5771507910532592
Afghanistan,Cottonseed,5225.791208923206,42774.208791076715,0.8911293498140997,1.1160616463344013
Afghanistan,Cottonseed Cake,1655.9229067922406,19355.21188221348,0.9211883164131278,0.5050148266663143
Afghanistan,Cottonseed Oil,774.6994253208422,17675.622766833367,0.958011604499228,0.4611911056377789
Afghanistan,Dates,0.0005991248972401,1000.9994008751028,0.9999994014736291,0.02611800594084805
Afghanistan,Eggs,,0.0,0.0,0.0
Afghanistan,"Fats, Animals, Raw",,0.0,0.0,0.0
Afghanistan,"Fish, Seafood",86.67686679771653,12062.313572170739,0.9928655086829522,0.3147290370632661
Afghanistan,Fodder crops,1.0505476371437612e-14,-1.0505476371437612e-14,-1.0,-2.741081503553085e-19
Afghanistan,"Fruits, Other",5.99379737773522e-05,416138.99328965973,0.9999999998559664,10.857869334842867
Afghanistan,Goats,,0.0,0.0,0.0
Afghanistan,Grapefruit and products,0.0051236930682919,999.8916756946637,0.9999948757781089,0.02608910325337567
Afghanistan,Grapes and products (excl wine),1.2594529351924814e-09,993592.8901876531,0.9999999999999988,25.92475578508707
Afghanistan,Grazing,0.0,38066589.0,1.0,993.230761957142
Afghanistan,Groundnut Cake,0.0105626064298484,-0.0105626064298484,-1.0,-2.7559878381989347e-07
Afghanistan,Groundnut Oil,0.4786841005133903,-0.4786841005133903,-1.0,-1.2489791872071432e-05
Afghanistan,Groundnuts,2141.9356309903037,12908.308926128026,0.8576810082479869,0.33680268831747223
Afghanistan,"Hard Fibres, Other",2.3504455441696928e-12,-2.3504455441696928e-12,-1.0,-6.13276597694223e-17
Afghanistan,Hides and skins,,0.0,0.0,0.0
Afghanistan,Honey,1.4026415098731426,1998.597358490127,0.9992986792450634,0.05214726166346767
Afghanistan,Hops,0.0043257207612051,-0.0043257207612051,-1.0,-1.1286640175891697e-07
Afghanistan,Horses,,0.0,0.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,0.0
Afghanistan,Jute-Like Fibres,,0.0,0.0,0.0
Afghanistan,"Lemons, Limes and products",1.663317745187593e-09,1996.592522563935,0.9999999999991669,0.05209495162553465
Afghanistan,Maize Germ Oil,32.49393667336841,1859.3683514613444,0.982824364713456,0.04851450820773425
Afghanistan,Maize and products,11607.688428022817,333487.4949501333,0.9663638063145521,8.701332255235673
Afghanistan,"Meat, Other",,0.0,0.0,0.0
Afghanistan,Milk - Excluding Butter,,0.0,0.0,0.0
Afghanistan,Millet and products,1751364.2329810166,-1745366.761744997,-1.0,-45.53998674960483
Afghanistan,Mules,,0.0,0.0,0.0
Afghanistan,Mutton & Goat Meat,,0.0,0.0,0.0
Afghanistan,Nuts and products,2.8209843807367577e-05,76101.47556216414,0.9999999996293127,1.9856343461367425
Afghanistan,Oats,185.02773930505705,1815.714098460352,0.9075204327652232,0.04737548450979153
Afghanistan,"Offals, Edible",,0.0,0.0,0.0
Afghanistan,"Oil, palm fruit",0.0,0.0,0.0,0.0
Afghanistan,"Oilcrops Oil, Other",9131.292416211476,4517.422048814406,0.3309778412018263,0.11786825826779294
Afghanistan,"Oilcrops, Other",3124.8517164583045,30770.786979327117,0.9078096228100623,0.8028692089406271
Afghanistan,"Oilseed Cakes, Other",1438.0733289555528,16569.188959449577,0.9201392579325327,0.4323221125802989
Afghanistan,Olive Oil,0.0278369943798119,999.9721630056204,0.9999721630056202,0.026091203322630346
Afghanistan,Olives (including preserved),6.229852437444664e-12,8999.999999999995,0.9999999999999993,0.23482736679176253
Afghanistan,Onions,0.000103555937098,346052.9998964441,0.9999999997007513,9.029190526230233
Afghanistan,"Oranges, Mandarines",2.351951524706281e-08,144039.9853963056,0.9999999999998367,3.758281164815377
Afghanistan,Palm Oil,2.917933553310511e-09,155297.67303861276,0.9999999999999812,4.052015958727283
Afghanistan,Palm kernels,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Cake,0.0009576164602227,-0.0009576164602227,-1.0,-2.4986061305616154e-08
Afghanistan,Palmkernel Oil,3.5862743603695978e-06,-3.5862743603695978e-06,-1.0,-9.357281829315619e-11
Afghanistan,Peas,5.398671788216398,27122.268219396206,0.9998009901916788,0.7076723141534135
Afghanistan,Pepper,0.0002635409949978,-0.0002635409949978,-1.0,-6.876293099668276e-09
Afghanistan,Pigmeat,,0.0,0.0,0.0
Afghanistan,Pigs,,0.0,0.0,0.0
Afghanistan,Pimento,0.7810127428159496,2994.295258540989,0.9997392344394351,0.07812694121780452
Afghanistan,Pineapples and products,1.6747658133659278e-10,944.0981293717846,0.9999999999998226,0.02463334196815612
Afghanistan,Plantains,1.2197041075420228e-20,-1.2197041075420228e-20,-1.0,-3.1824433759910017e-25
Afghanistan,Potatoes and products,5705.811900612156,932497.0308922562,0.9939183600386171,24.33064692284061
Afghanistan,Poultry Birds,,0.0,0.0,0.0
Afghanistan,Poultry Meat,,0.0,0.0,0.0
Afghanistan,"Pulses, Other and products",4321.265133478899,63495.15597813742,0.9362799590033408,1.6567111424864733
Afghanistan,Rabbits and hares,,0.0,0.0,0.0
Afghanistan,Rape and Mustard Cake,671.9470748642299,222.72437881646965,0.2489454401391441,0.005811308821978069
Afghanistan,Rape and Mustard Oil,403.2544683410341,1340.5570154066604,0.7687511109432632,0.03497771932913006
Afghanistan,Rape and Mustardseed,1577.805665302709,-1577.805665302709,-1.0,-0.04116799441024004
Afghanistan,Rice and products,2247.848936610634,898756.4847808258,0.997505174112386,23.450290967566914
Afghanistan,Ricebran Oil,0.0,0.0,0.0,0.0
