area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Guyana,Sesame seed,792.4217072012572,-792.4217072012572,-1.0,-1.000732099587111
Bahrain,"Roots, Other",1501.0223416747751,-1501.0223416747751,-1.0,-1.0046781708802786
New Zealand,Rape and Mustardseed,7999.144599721168,-5138.274300769669,-1.0,-1.0222378175113775
Qatar,"Beverages, Alcoholic",2908.0068044157433,-2908.0068044157433,-1.0,-1.0280619255313503
Mauritania,Beer,4620.671880151105,-4620.671880151105,-1.0,-1.040473224917175
Kiribati,"Roots, Other",2130.556356477426,-130.5563564774261,-0.06527817823871307,-1.0423161882658405
"China, Macao SAR","Oilcrops Oil, Other",1607.6764362254278,-718.2634875878805,-0.807570306558002,-1.072004655969279
Mozambique,Sesameseed Oil,62171.585372034,-32951.88840233694,-1.0,-1.0726263602641284
Jordan,Millet and products,12611.961264087444,-11614.356293373807,-1.0,-1.073705613205287
Australia,"Oilcrops Oil, Other",255035.51785034055,-27462.655355617957,-0.12067631902399967,-1.0751042480409316
Sao Tome and Principe,Rape and Mustardseed,232.85460085016533,-232.85460085016533,-1.0,-1.076923721222472
Mauritius,Beer,42257.88167334635,-1406.411711479297,-0.034427444417351794,-1.08439096925063
Mauritius,Rape and Mustardseed,1411.882947489495,-1411.882947489495,-1.0,-1.0886094771538792
Eswatini,"Oilcrops, Other",2200.7773788302748,-1279.3392060020947,-1.0,-1.0895207260655095
Lao People's Democratic Republic,"Beverages, Alcoholic",52156.72360875499,-7956.384031346861,-0.1800073055414615,-1.095067990633032
Democratic Republic of the Congo,"Alcohol, Non-Food",119044.96316453676,-100264.25687177414,-1.0,-1.097800461632256
Croatia,Cotton lint,4579.143198356261,-4579.143198356261,-1.0,-1.1128906322902836
Gabon,Rape and Mustardseed,3128.04987926869,-2550.846649518059,-1.0,-1.1247144061243781
Malta,Rape and Mustard Oil,1350.2221197042593,-582.6474377589486,-0.7590758938039881,-1.143353913909965
Samoa,"Pulses, Other and products",243.6514420370395,-243.6514420370395,-1.0,-1.1435867155907025
Kenya,"Beverages, Alcoholic",87755.35077472201,-59018.50329442977,-1.0,-1.146876434191647
Botswana,"Roots, Other",105899.1099511146,-2899.109951114602,-0.028146698554510685,-1.1488261736641499
Sao Tome and Principe,"Oilcrops, Other",251.14151479235397,-251.14151479235397,-1.0,-1.1614984358314786
Slovenia,"Oilcrops Oil, Other",6938.712651626239,-2462.10897429997,-0.5499948514027289,-1.1634290123765838
Yemen,Sesameseed Oil,44205.57520218841,-37343.24376257817,-1.0,-1.169639893476741
Ukraine,Rape and Mustard Oil,186708.1327150679,-51965.766787336994,-0.3856676141133579,-1.1786107963269479
Mali,"Alcohol, Non-Food",28723.540551655264,-24723.50547924024,-1.0,-1.1836915166219362
Gabon,Rape and Mustard Cake,2705.379167016235,-2705.379167016235,-1.0,-1.192850586979352
Samoa,Rape and Mustardseed,254.7276300068977,-254.7276300068977,-1.0,-1.195573198066722
Albania,Cotton lint,3692.9602770463575,-3444.0972847275107,-1.0,-1.1991439401167463
Uruguay,"Beverages, Fermented",5163.312634660946,-4163.312634660946,-1.0,-1.214405930762459
Croatia,"Oilcrops Oil, Other",13508.543672612368,-5008.571537307538,-0.5892456419362035,-1.2172566140814634
Congo,Rape and Mustard Cake,6910.963700306507,-6910.963700306507,-1.0,-1.2263727604173038
Paraguay,"Oilcrops Oil, Other",24217.686386897924,-8109.219160348517,-0.5034134561842847,-1.2337092721264116
Mauritius,Beans,2605.6692009695435,-1604.0920016216478,-1.0,-1.236809154963644
Norway,Rape and Mustardseed,17067.68670472507,-6669.464890106126,-0.64140436788235,-1.2424591655679167
French Polynesia,Cotton lint,375.778208881186,-375.778208881186,-1.0,-1.2495035907228988
Barbados,Sweet potatoes,2351.7667758943658,-351.76677589436576,-0.17588338794718283,-1.2543969585466654
