area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",196125.21326043108
Afghanistan,Apples and products,272898.7323602362
Afghanistan,Asses,
Afghanistan,Bananas,105639.37502987702
Afghanistan,Barley and products,1983.6281087835373
Afghanistan,Beans,67.70077470270154
Afghanistan,Beer,42769.83768727182
Afghanistan,"Beverages, Alcoholic",1148.8158165198843
Afghanistan,"Beverages, Fermented",14931.852335176469
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,12699.194959870387
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",35.926364063962914
Afghanistan,"Citrus, Other",2571.7237736342463
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,696.1995645633316
Afghanistan,Coconuts - Incl Copra,4198.730744091154
Afghanistan,Coffee and products,93.7290331437396
Afghanistan,Copra Cake,48.27842992407788
Afghanistan,Cotton lint,5464.229558298556
Afghanistan,Cottonseed,12314.89209550944
Afghanistan,Cottonseed Cake,3901.699440576478
Afghanistan,Cottonseed Oil,1822.240892378507
Afghanistan,Dates,683.3820560377114
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",15545.673547937753
Afghanistan,Fodder crops,0.21810789344927745
Afghanistan,"Fruits, Other",415193.05195094884
Afghanistan,Goats,
Afghanistan,Grapefruit and products,758.3973801973117
Afghanistan,Grapes and products (excl wine),993440.0047707969
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.023994812774713103
Afghanistan,Groundnut Oil,1.0902963397541907
Afghanistan,Groundnuts,75.67489916808465
Afghanistan,"Hard Fibres, Other",26.747350074320167
Afghanistan,Hides and skins,
Afghanistan,Honey,2001.0791866204866
Afghanistan,Hops,0.2052290427221907
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",6201.5942840674625
Afghanistan,Maize Germ Oil,60.075797803113325
Afghanistan,Maize and products,25821.07062955835
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,3985065.602813458
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,73362.70591382816
Afghanistan,Oats,421.06197858333945
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",8656.252211377196
Afghanistan,"Oilcrops, Other",3230.283448246326
Afghanistan,"Oilseed Cakes, Other",1408.083382737245
Afghanistan,Olive Oil,1511.484874247769
Afghanistan,Olives (including preserved),9007.228059736713
Afghanistan,Onions,346602.59294860513
Afghanistan,"Oranges, Mandarines",211945.1313896962
Afghanistan,Palm Oil,54543.483492920845
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,7261.168871996063
Afghanistan,Palmkernel Oil,2187.8102747305907
Afghanistan,Peas,9.193386784760317
Afghanistan,Pepper,0.08754400761122752
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,393.43587964001705
Afghanistan,Pineapples and products,695.5243330151537
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,12248.858467636916
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",11203.66110356084
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,1026.3873306223536
Afghanistan,Rape and Mustard Oil,898.4631150413193
Afghanistan,Rape and Mustardseed,3034.194297784732
Afghanistan,Rice and products,4918.665645516093
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",11.244890282520398
Afghanistan,Rubber,0.6019637373074364
Afghanistan,Rye and products,142.88402415240822
Afghanistan,Seed cotton,19037.178672258353
Afghanistan,Sesame seed,4242.894038297923
Afghanistan,Sesameseed Cake,290.5535061248616
Afghanistan,Sesameseed Oil,159.7625760553339
Afghanistan,Sheep,
Afghanistan,Silk,556.0155583073815
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",30.13498792351604
Afghanistan,Sorghum and products,696328158.759407
Afghanistan,Soyabean Cake,39334898.11955213
Afghanistan,Soyabean Oil,27231167.674326017
Afghanistan,Soyabeans,93514875.71099606
Afghanistan,"Spices, Other",18875.11624130814
Afghanistan,Sugar (Raw Equivalent),174142.70107945465
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,9618865.201090124
Afghanistan,Sunflowerseed Cake,1457348.8846595767
Afghanistan,Sunflowerseed Oil,5888971.097677588
Afghanistan,Sweet potatoes,0.165949622335693
Afghanistan,"Sweeteners, Other",4515.1256367584265
Afghanistan,Tea (including mate),2829.1473916839486
Afghanistan,Tobacco,31.9542206603
Afghanistan,Tomatoes and products,19696.822431721386
Afghanistan,"Vegetables, Other",3338025.1349647585
