a_receive,i_receive,combined_shocks
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",0.0139779078633143
Afghanistan,Apples and products,-0.000320778431721679
Afghanistan,Asses,0.0
Afghanistan,Bananas,-7.277050508409715e-06
Afghanistan,Barley and products,0.00047609186764956287
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,-0.016368271686113423
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",-0.001923449198292355
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,-0.0005922527035997615
Afghanistan,Cassava and products,-0.08513004580536603
Afghanistan,Cattle,-0.00027469518039257326
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",-0.0793125970848106
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,-0.000714910460589253
Afghanistan,Coffee and products,-1.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,-0.1785597381342081
Afghanistan,Cottonseed,-1.6674069532503712e-15
Afghanistan,Cottonseed Cake,-0.0006598982460260298
Afghanistan,Cottonseed Oil,-0.030487793369129903
Afghanistan,Dates,0.0
Afghanistan,Eggs,-0.028444442845314017
Afghanistan,"Fats, Animals, Raw",-0.0001224168568063317
Afghanistan,"Fish, Seafood",-0.19193253982343858
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",-8.304591956493384e-05
Afghanistan,Goats,-3.0472940587790074e-05
Afghanistan,Grapefruit and products,-0.0030704853841487796
Afghanistan,Grapes and products (excl wine),-3.243517548983608e-07
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,-0.020286919025261807
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,-0.00022897163404179407
Afghanistan,Honey,0.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",-0.001297211544116945
Afghanistan,Maize Germ Oil,-0.060245817337890396
Afghanistan,Maize and products,0.0033350883879842094
Afghanistan,"Meat, Other",-0.0005193637523047866
Afghanistan,Milk - Excluding Butter,-0.0019731211657377326
Afghanistan,Millet and products,-1.0125485745940407e-05
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,-2.6722203430343256e-05
Afghanistan,Nuts and products,-0.015387821388891174
Afghanistan,Oats,-0.0003222832914822253
Afghanistan,"Offals, Edible",-0.0023793956289107176
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",-0.4653810165789144
Afghanistan,"Oilcrops, Other",-0.6902848179534763
Afghanistan,"Oilseed Cakes, Other",-0.6182359946388538
Afghanistan,Olive Oil,0.0
Afghanistan,Olives (including preserved),0.0
Afghanistan,Onions,0.0
Afghanistan,"Oranges, Mandarines",-5.6572378709368274e-05
Afghanistan,Palm Oil,-0.05855156776111262
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,-0.14348462879412263
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,-0.00184304635148045
Afghanistan,Pineapples and products,-0.13071742842299355
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,0.00010785915676732163
Afghanistan,Poultry Birds,-0.02385650852991409
Afghanistan,Poultry Meat,-0.08710658754386091
Afghanistan,"Pulses, Other and products",-0.28903830733758223
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,-0.8096028361466047
Afghanistan,Rape and Mustard Oil,-0.1623540073799262
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,0.474415057447171
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,-1.3753801760493657e-15
Afghanistan,Sesame seed,-4.157690065247691e-15
Afghanistan,Sesameseed Cake,-4.437215428519629e-15
Afghanistan,Sesameseed Oil,-4.320099833421429e-15
Afghanistan,Sheep,-3.058210923989939e-05
Afghanistan,Silk,-0.0018018535452312015
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,-0.0005387886564768342
Afghanistan,Soyabean Cake,-0.1982012173672901
Afghanistan,Soyabean Oil,-0.16019037992167853
Afghanistan,Soyabeans,-0.47773967496045716
Afghanistan,"Spices, Other",-0.00022599566383304915
Afghanistan,Sugar (Raw Equivalent),-0.16538448757542648
Afghanistan,Sugar beet,0.0
Afghanistan,Sugar cane,0.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,-0.1518762853348052
Afghanistan,Sunflowerseed Cake,-0.10737620585628094
Afghanistan,Sunflowerseed Oil,-0.0199210875773668
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",-0.1439546553862043
Afghanistan,Tea (including mate),-0.028827428672494947
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,-0.0001470307435569371
Afghanistan,"Vegetables, Other",-2.3645049021616774e-05
Afghanistan,Wheat and products,-0.02280590313652471
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),-8.327892531273838e-05
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",-0.7184014700866957
Albania,Apples and products,-0.00016788556782849738
Albania,Asses,0.0
Albania,Bananas,-0.001928498068873673
Albania,Barley and products,0.007037757430369027
Albania,Beans,0.007441336911691426
Albania,Beer,-0.013853817810063718
Albania,"Beverages, Alcoholic",-0.015701404868998105
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,-0.000520767523112622
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",-0.00021062797221333885
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,-0.0004947091462060318
Albania,"Cereals, Other",-0.15113923412592428
Albania,"Citrus, Other",0.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,-0.001853548130067304
Albania,Copra Cake,-0.06150997475579704
Albania,Cotton lint,-0.0005505345727644389
Albania,Cottonseed,0.0
Albania,Cottonseed Cake,0.0
Albania,Cottonseed Oil,0.0
Albania,Dates,0.0
Albania,Eggs,-0.008660382756632548
Albania,"Fats, Animals, Raw",-0.0037330153621789996
Albania,"Fish, Seafood",-0.5223704242322105
Albania,Fodder crops,-1.1831338895517269e-08
Albania,"Fruits, Other",-2.546856523746619e-05
Albania,Goats,-9.328395552559988e-06
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),-8.432253284838515e-05
Albania,Grazing,0.0
Albania,Groundnut Cake,0.0
Albania,Groundnut Oil,0.0
Albania,Groundnuts,-0.008355405552863052
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,-0.11433819404081269
Albania,Honey,0.0
Albania,Hops,-0.004037912184976856
Albania,Horses,-0.007657002426909479
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",-0.0001848552816865108
Albania,Maize Germ Oil,-0.14804005160717534
Albania,Maize and products,0.002207894851911885
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,-0.0003762672259193434
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,-0.00024682153962941823
Albania,Nuts and products,-0.00040319165562780845
Albania,Oats,0.0
Albania,"Offals, Edible",-0.021323624597678698
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",-0.6234204160053453
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",-0.5372505049320343
Albania,Olive Oil,-0.02049806522405024
Albania,Olives (including preserved),-5.746902418320078e-05
Albania,Onions,0.0
Albania,"Oranges, Mandarines",-4.669898403734412e-05
Albania,Palm Oil,-0.02914526921172705
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,0.0
Albania,Pepper,0.0
Albania,Pigmeat,-0.06202845262555853
Albania,Pigs,-0.07893359262403131
Albania,Pimento,0.0
Albania,Pineapples and products,-0.010173952674262663
Albania,Plantains,0.0
Albania,Potatoes and products,0.00026676965949495103
Albania,Poultry Birds,-0.01108851140596843
Albania,Poultry Meat,-0.04551223284799501
Albania,"Pulses, Other and products",-0.14289481310859595
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,-0.30619131036517944
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,0.0
Albania,Seed cotton,0.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,-0.00038078505194438257
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,-0.07077229930764233
Albania,Soyabean Oil,-0.048737103644260336
Albania,Soyabeans,0.0
Albania,"Spices, Other",0.0
Albania,Sugar (Raw Equivalent),-0.2885727023836212
Albania,Sugar beet,0.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,0.0
Albania,Sunflowerseed Cake,-0.06489872085263619
Albania,Sunflowerseed Oil,-0.38101074463384005
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",-0.2105069607708993
Albania,Tea (including mate),0.0
Albania,Tobacco,-0.005015027382486576
Albania,Tomatoes and products,-9.827760266337312e-07
Albania,"Vegetables, Other",-7.031247503518361e-06
Albania,Wheat and products,-0.1053898558015167
Albania,Wine,-0.007638532547887003
Albania,Wool (Clean Eq.),-0.0003741503550265251
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",-0.05441795805020806
Algeria,Apples and products,-7.208556851637624e-05
Algeria,Asses,0.0
Algeria,Bananas,-7.088343742276867e-06
Algeria,Barley and products,0.018799523004575894
Algeria,Beans,-0.2052350602482251
Algeria,Beer,0.016039146342190745
Algeria,"Beverages, Alcoholic",-0.629248603538929
Algeria,"Beverages, Fermented",0.0
Algeria,Bovine Meat,-0.007416927426749615
Algeria,Buffaloes,0.0
Algeria,"Butter, Ghee",-0.01022194836548133
Algeria,"Camelids, other",0.0
Algeria,Camels,-0.012341788294960125
Algeria,Cassava and products,-0.013451528741425554
Algeria,Cattle,-0.007959965187894776
Algeria,"Cereals, Other",-0.29120310544312894
Algeria,"Citrus, Other",0.0
Algeria,Cloves,-0.004000000000000001
Algeria,Cocoa Beans and products,-0.02942366964371677
Algeria,Coconut Oil,-0.05034264263398838
Algeria,Coconuts - Incl Copra,-0.0013781006396049057
Algeria,Coffee and products,-0.0008505510740561009
Algeria,Copra Cake,-0.06150997475579708
Algeria,Cotton lint,-0.01270259310679006
Algeria,Cottonseed,0.0
Algeria,Cottonseed Cake,-0.0039206819968926505
Algeria,Cottonseed Oil,0.0
Algeria,Dates,0.0
Algeria,Eggs,-0.04883819188430434
Algeria,"Fats, Animals, Raw",-0.004990490367872679
Algeria,"Fish, Seafood",-0.5708253612784018
Algeria,Fodder crops,-3.49670821704097e-09
Algeria,"Fruits, Other",-2.4848861073301647e-05
Algeria,Goats,-0.003704888188159343
Algeria,Grapefruit and products,0.0
Algeria,Grapes and products (excl wine),-0.00012694886757240334
Algeria,Grazing,0.0
Algeria,Groundnut Cake,-0.02383934506847012
Algeria,Groundnut Oil,-0.0238393450684702
Algeria,Groundnuts,-0.06814189000583613
Algeria,"Hard Fibres, Other",0.0
Algeria,Hides and skins,-0.006352164200517377
Algeria,Honey,0.0
Algeria,Hops,0.0
Algeria,Horses,-0.0122518068605128
Algeria,Jute,0.0
Algeria,Jute-Like Fibres,0.0
Algeria,"Lemons, Limes and products",0.0
Algeria,Maize Germ Oil,-1.0
Algeria,Maize and products,-0.000528049488508475
Algeria,"Meat, Other",-0.02620501025411778
Algeria,Milk - Excluding Butter,-0.01993190858862535
Algeria,Millet and products,-0.0019810799747189416
Algeria,Mules,0.0
Algeria,Mutton & Goat Meat,-0.003261243456012879
Algeria,Nuts and products,-0.0012513504447303518
Algeria,Oats,-0.00204068567413624
Algeria,"Offals, Edible",-0.01926292884183863
Algeria,"Oil, palm fruit",0.0
Algeria,"Oilcrops Oil, Other",-0.02379150204953124
Algeria,"Oilcrops, Other",-0.9583101893351829
Algeria,"Oilseed Cakes, Other",0.0
Algeria,Olive Oil,0.0
Algeria,Olives (including preserved),0.0
Algeria,Onions,0.0
Algeria,"Oranges, Mandarines",-7.853847410705747e-06
Algeria,Palm Oil,-0.004411789417277633
Algeria,Palm kernels,0.0
Algeria,Palmkernel Cake,-0.32761246644503617
Algeria,Palmkernel Oil,0.0
Algeria,Peas,-0.6033481976578916
Algeria,Pepper,-0.02401426609312059
Algeria,Pigmeat,-0.0452346830479913
Algeria,Pigs,-0.055914811247603176
Algeria,Pimento,-0.0008892293662869039
Algeria,Pineapples and products,-1.0
Algeria,Plantains,0.0
Algeria,Potatoes and products,-0.0031720822110416626
Algeria,Poultry Birds,-0.05600827424964333
Algeria,Poultry Meat,-0.04883819188430428
Algeria,"Pulses, Other and products",-0.23672822097519344
Algeria,Rabbits and hares,-0.04498100301497579
Algeria,Rape and Mustard Cake,-0.026214586439709045
Algeria,Rape and Mustard Oil,-0.03277732852005972
Algeria,Rape and Mustardseed,-0.036012465061542674
Algeria,Rice and products,0.006685438142305268
Algeria,Ricebran Oil,0.0
Algeria,"Rodents, other",0.0
Algeria,"Roots, Other",0.0
Algeria,Rubber,0.0
Algeria,Rye and products,0.0
Algeria,Seed cotton,0.0
Algeria,Sesame seed,-0.1794258796727852
Algeria,Sesameseed Cake,0.0
Algeria,Sesameseed Oil,0.0
Algeria,Sheep,-0.0037046375137814
Algeria,Silk,0.0
Algeria,Sisal,0.0
Algeria,"Soft-Fibres, Other",0.0
Algeria,Sorghum and products,0.0
Algeria,Soyabean Cake,-0.07687340590077452
Algeria,Soyabean Oil,-0.25014202129551616
Algeria,Soyabeans,-0.4148389627348222
Algeria,"Spices, Other",-0.014902385787545994
Algeria,Sugar (Raw Equivalent),-0.00714907429357996
Algeria,Sugar beet,0.0
Algeria,Sugar cane,0.0
Algeria,Sugar non-centrifugal,0.0
Algeria,Sunflower seed,-0.08434489540062003
Algeria,Sunflowerseed Cake,-0.5358036240159536
Algeria,Sunflowerseed Oil,-0.5694616402349868
Algeria,Sweet potatoes,0.0
Algeria,"Sweeteners, Other",-0.0703088440800457
Algeria,Tea (including mate),-0.007190137894645814
Algeria,Tobacco,-0.014927006272999062
Algeria,Tomatoes and products,-6.617253955901697e-06
Algeria,"Vegetables, Other",-6.1414937842661546e-06
Algeria,Wheat and products,-1.0
Algeria,Wine,-0.016261299024359178
Algeria,Wool (Clean Eq.),-0.003261231598787423
Algeria,Yams,0.0
Angola,Abaca,0.0
Angola,"Alcohol, Non-Food",0.007451067530511875
Angola,Apples and products,-0.021519548229604266
Angola,Asses,0.0
Angola,Bananas,0.0
Angola,Barley and products,0.0
Angola,Beans,-0.5273904457276565
Angola,Beer,-1.0
Angola,"Beverages, Alcoholic",-0.46992349777381454
Angola,"Beverages, Fermented",0.0
Angola,Bovine Meat,-0.0008569898202940375
Angola,Buffaloes,0.0
Angola,"Butter, Ghee",-0.0012382711851559292
Angola,"Camelids, other",0.0
Angola,Camels,0.0
Angola,Cassava and products,-0.044067410612616716
Angola,Cattle,-0.0005606047245789852
Angola,"Cereals, Other",0.0
Angola,"Citrus, Other",0.0
Angola,Cloves,0.0
Angola,Cocoa Beans and products,0.0
Angola,Coconut Oil,0.0
Angola,Coconuts - Incl Copra,-0.0004931663077897214
Angola,Coffee and products,-0.06024590000783687
Angola,Copra Cake,0.0
Angola,Cotton lint,-0.0018587360594795536
Angola,Cottonseed,0.0
Angola,Cottonseed Cake,0.0
Angola,Cottonseed Oil,0.0
Angola,Dates,0.0
Angola,Eggs,-0.02449641390886399
Angola,"Fats, Animals, Raw",-0.00043246894957601773
Angola,"Fish, Seafood",-0.07248621192311927
Angola,Fodder crops,0.0
Angola,"Fruits, Other",-7.605508715167375e-06
Angola,Goats,-8.461370347010908e-05
Angola,Grapefruit and products,0.0
Angola,Grapes and products (excl wine),0.0
Angola,Grazing,0.0
Angola,Groundnut Cake,0.021097046413498657
Angola,Groundnut Oil,0.021097046413498504
Angola,Groundnuts,-3.4384272269558937e-15
Angola,"Hard Fibres, Other",0.0
Angola,Hides and skins,-0.00047966337146155164
Angola,Honey,0.0
Angola,Hops,0.0
Angola,Horses,0.0
Angola,Jute,0.0
Angola,Jute-Like Fibres,0.0
Angola,"Lemons, Limes and products",-0.01210396190276021
Angola,Maize Germ Oil,0.0
Angola,Maize and products,-0.005847678559768866
Angola,"Meat, Other",-1.0
Angola,Milk - Excluding Butter,-0.0019194803548004565
Angola,Millet and products,0.0
Angola,Mules,0.0
Angola,Mutton & Goat Meat,-7.764769216705011e-05
Angola,Nuts and products,0.0
Angola,Oats,-0.0025434354644655456
Angola,"Offals, Edible",-0.04568860097466307
Angola,"Oil, palm fruit",-0.13962618743068533
Angola,"Oilcrops Oil, Other",-0.015154144774000155
Angola,"Oilcrops, Other",0.0
Angola,"Oilseed Cakes, Other",0.0
Angola,Olive Oil,-0.13422844437438056
Angola,Olives (including preserved),0.0
Angola,Onions,0.0
Angola,"Oranges, Mandarines",-0.004262351000606362
Angola,Palm Oil,-0.24278034208040697
Angola,Palm kernels,-0.08885750545555386
Angola,Palmkernel Cake,-0.07591022677571248
Angola,Palmkernel Oil,-0.07591022677571266
Angola,Peas,0.0
Angola,Pepper,0.0
Angola,Pigmeat,-0.020997739817801054
Angola,Pigs,-0.026960421256922246
Angola,Pimento,0.0
Angola,Pineapples and products,-0.06713204013633507
Angola,Plantains,0.0
Angola,Potatoes and products,-0.0640171787305728
Angola,Poultry Birds,-0.026809792422565405
Angola,Poultry Meat,-0.03670917320179487
Angola,"Pulses, Other and products",-0.015985496397151848
Angola,Rabbits and hares,0.0
Angola,Rape and Mustard Cake,-0.18922383761920883
Angola,Rape and Mustard Oil,0.0
Angola,Rape and Mustardseed,0.0
Angola,Rice and products,-0.10404140394239475
Angola,Ricebran Oil,0.0
Angola,"Rodents, other",0.0
Angola,"Roots, Other",0.0
Angola,Rubber,0.0
Angola,Rye and products,0.0
Angola,Seed cotton,0.0
Angola,Sesame seed,0.0
Angola,Sesameseed Cake,0.0
Angola,Sesameseed Oil,0.0
Angola,Sheep,-8.443413616642412e-05
Angola,Silk,0.0
Angola,Sisal,0.0
Angola,"Soft-Fibres, Other",-0.00030854315295831733
Angola,Sorghum and products,-0.9624
Angola,Soyabean Cake,-0.14532833323832856
Angola,Soyabean Oil,-1.0
Angola,Soyabeans,0.0
Angola,"Spices, Other",-0.014399386269691178
Angola,Sugar (Raw Equivalent),-1.0
Angola,Sugar beet,0.0
Angola,Sugar cane,0.0
Angola,Sugar non-centrifugal,0.0
Angola,Sunflower seed,0.0
Angola,Sunflowerseed Cake,0.0
Angola,Sunflowerseed Oil,-0.11943681328512275
Angola,Sweet potatoes,-0.10300925925925926
Angola,"Sweeteners, Other",0.004741201842250427
Angola,Tea (including mate),-1.0
Angola,Tobacco,-0.05932146059671284
Angola,Tomatoes and products,-1.5620394124791833e-05
Angola,"Vegetables, Other",-5.354091011511714e-06
Angola,Wheat and products,-0.6063711256804897
Angola,Wine,-0.011160740156686484
Angola,Wool (Clean Eq.),0.0
Angola,Yams,0.0
Antigua and Barbuda,Abaca,0.0
Antigua and Barbuda,"Alcohol, Non-Food",0.0
Antigua and Barbuda,Apples and products,0.0
Antigua and Barbuda,Asses,0.0
Antigua and Barbuda,Bananas,-1.484238915187325e-05
Antigua and Barbuda,Barley and products,0.0
Antigua and Barbuda,Beans,0.0
Antigua and Barbuda,Beer,-0.08113183133450168
Antigua and Barbuda,"Beverages, Alcoholic",-0.06039571260985904
Antigua and Barbuda,"Beverages, Fermented",0.0
Antigua and Barbuda,Bovine Meat,0.0
Antigua and Barbuda,Buffaloes,0.0
Antigua and Barbuda,"Butter, Ghee",0.0
Antigua and Barbuda,"Camelids, other",0.0
Antigua and Barbuda,Camels,0.0
Antigua and Barbuda,Cassava and products,0.0
Antigua and Barbuda,Cattle,-6.908908312614338e-05
Antigua and Barbuda,"Cereals, Other",0.0
Antigua and Barbuda,"Citrus, Other",0.0
Antigua and Barbuda,Cloves,0.0
Antigua and Barbuda,Cocoa Beans and products,0.0
Antigua and Barbuda,Coconut Oil,0.0
Antigua and Barbuda,Coconuts - Incl Copra,0.0
Antigua and Barbuda,Coffee and products,0.0
Antigua and Barbuda,Copra Cake,0.0
Antigua and Barbuda,Cotton lint,0.0
Antigua and Barbuda,Cottonseed,-0.04347826086956522
Antigua and Barbuda,Cottonseed Cake,0.0
Antigua and Barbuda,Cottonseed Oil,0.0
Antigua and Barbuda,Dates,0.0
Antigua and Barbuda,Eggs,-0.05160653453304796
Antigua and Barbuda,"Fats, Animals, Raw",0.0
