a_receive,i_receive,combined_shocks
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",0.0023295067333228836
Afghanistan,Apples and products,0.0
Afghanistan,Asses,0.0
Afghanistan,Bananas,0.0
Afghanistan,Barley and products,-0.00624549540712338
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,-5.581154710387892e-05
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",-0.00018239968317712574
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,-9.88479749608473e-05
Afghanistan,Cassava and products,0.0
Afghanistan,Cattle,-7.424036301406645e-05
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",0.0
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,0.0
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,0.0
Afghanistan,Cottonseed,0.0
Afghanistan,Cottonseed Cake,0.0
Afghanistan,Cottonseed Oil,0.0
Afghanistan,Dates,0.0
Afghanistan,Eggs,0.004987689923718341
Afghanistan,"Fats, Animals, Raw",-4.053487842892167e-05
Afghanistan,"Fish, Seafood",0.0
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",0.0
Afghanistan,Goats,-9.35324366468926e-06
Afghanistan,Grapefruit and products,0.0
Afghanistan,Grapes and products (excl wine),0.0
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,0.0
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,-5.109428584515463e-05
Afghanistan,Honey,0.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",0.0
Afghanistan,Maize Germ Oil,0.0002688240340505965
Afghanistan,Maize and products,-0.019323843163477683
Afghanistan,"Meat, Other",-8.975483723694389e-05
Afghanistan,Milk - Excluding Butter,-0.0001781624441694607
Afghanistan,Millet and products,-0.03862320981067535
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,-1.9583328838335134e-05
Afghanistan,Nuts and products,0.0
Afghanistan,Oats,-0.04366503911073227
Afghanistan,"Offals, Edible",0.0013547218521968718
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",0.0
Afghanistan,"Oilcrops, Other",0.0
Afghanistan,"Oilseed Cakes, Other",5.309537833597666e-05
Afghanistan,Olive Oil,0.0
Afghanistan,Olives (including preserved),0.0
Afghanistan,Onions,0.0
Afghanistan,"Oranges, Mandarines",0.0
Afghanistan,Palm Oil,0.0
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,0.0
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,0.0
Afghanistan,Pineapples and products,0.0
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,0.0
Afghanistan,Poultry Birds,-0.0013078062809304125
Afghanistan,Poultry Meat,0.0005140845803004446
Afghanistan,"Pulses, Other and products",2.220446049250313e-16
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,3.115517580865035e-05
Afghanistan,Rape and Mustard Oil,0.0
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,0.8538805925376574
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,0.0
Afghanistan,Sesame seed,0.0
Afghanistan,Sesameseed Cake,0.0
Afghanistan,Sesameseed Oil,0.0
Afghanistan,Sheep,-2.4065966095054847e-05
Afghanistan,Silk,0.0
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,-0.060027095319519885
Afghanistan,Soyabean Cake,-1.8508075478873565e-06
Afghanistan,Soyabean Oil,0.0
Afghanistan,Soyabeans,2.220446049250313e-16
Afghanistan,"Spices, Other",0.0
Afghanistan,Sugar (Raw Equivalent),2.432080997594177e-05
Afghanistan,Sugar beet,0.0
Afghanistan,Sugar cane,0.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,0.0
Afghanistan,Sunflowerseed Cake,0.0
Afghanistan,Sunflowerseed Oil,0.0
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",0.021780616695300847
Afghanistan,Tea (including mate),0.0
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,0.0
Afghanistan,"Vegetables, Other",0.0
Afghanistan,Wheat and products,-0.05643457489099846
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),-2.390786004036194e-05
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",0.001236648828757847
Albania,Apples and products,0.0
Albania,Asses,0.0
Albania,Bananas,0.0
Albania,Barley and products,-0.06032011460087294
Albania,Beans,0.0
Albania,Beer,-0.02684647526017825
Albania,"Beverages, Alcoholic",0.0018672369112860965
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,-0.0005914989456414776
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",-0.001006007197844605
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,-0.0006649670201006597
Albania,"Cereals, Other",-0.02797488681541882
Albania,"Citrus, Other",0.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,0.0
Albania,Copra Cake,0.0
Albania,Cotton lint,0.0
Albania,Cottonseed,0.0
Albania,Cottonseed Cake,0.0
Albania,Cottonseed Oil,0.0
Albania,Dates,0.0
Albania,Eggs,-0.016048295146227298
Albania,"Fats, Animals, Raw",-0.0003157467266701186
Albania,"Fish, Seafood",0.0
Albania,Fodder crops,0.0
Albania,"Fruits, Other",0.0
Albania,Goats,-0.00017943851755730655
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),0.0
Albania,Grazing,0.0
Albania,Groundnut Cake,0.0
Albania,Groundnut Oil,0.0
Albania,Groundnuts,0.0
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,-0.00048401464630676294
Albania,Honey,0.0
Albania,Hops,0.0
Albania,Horses,2.0126260603881008e-05
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",0.0
Albania,Maize Germ Oil,0.0010589155816420615
Albania,Maize and products,-0.029254116065254854
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,-0.0009826297545991736
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,-0.00016594130761760084
Albania,Nuts and products,0.0
Albania,Oats,0.0
Albania,"Offals, Edible",-0.0026066644169384645
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",0.0
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",0.0003417596511141596
Albania,Olive Oil,0.0
Albania,Olives (including preserved),0.0
Albania,Onions,0.0
Albania,"Oranges, Mandarines",0.0
Albania,Palm Oil,0.0
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,0.0
Albania,Pepper,0.0
Albania,Pigmeat,-0.0015259373057927572
Albania,Pigs,-0.0036983481075629765
Albania,Pimento,0.0
Albania,Pineapples and products,0.0
Albania,Plantains,0.0
Albania,Potatoes and products,0.0
Albania,Poultry Birds,-0.01754200115576987
Albania,Poultry Meat,-0.00421627180738926
Albania,"Pulses, Other and products",1.1102230246251565e-16
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,0.4940408411715793
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,0.0
Albania,Seed cotton,0.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,-0.00018142049164793228
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,-4.891958460540025e-07
Albania,Soyabean Oil,0.0
Albania,Soyabeans,0.0
Albania,"Spices, Other",0.0
Albania,Sugar (Raw Equivalent),0.0004323449930609957
Albania,Sugar beet,0.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,0.0
Albania,Sunflowerseed Cake,0.0
Albania,Sunflowerseed Oil,0.0
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",0.0323353918866538
Albania,Tea (including mate),0.0
Albania,Tobacco,0.0
Albania,Tomatoes and products,0.0
Albania,"Vegetables, Other",0.0
Albania,Wheat and products,-0.0775181115318544
Albania,Wine,0.0
Albania,Wool (Clean Eq.),-0.00016667374289758285
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",0.0037297852736680737
Algeria,Apples and products,0.0
Algeria,Asses,0.0
Algeria,Bananas,0.0
Algeria,Barley and products,-0.06000404761008271
Algeria,Beans,0.0
Algeria,Beer,-0.05120009635596423
Algeria,"Beverages, Alcoholic",0.006844827519079444
Algeria,"Beverages, Fermented",0.0
Algeria,Bovine Meat,-0.003449614912224952
Algeria,Buffaloes,0.0
Algeria,"Butter, Ghee",-0.003113449919494471
Algeria,"Camelids, other",0.0
Algeria,Camels,-0.006964596806839696
Algeria,Cassava and products,0.0
Algeria,Cattle,-0.00404437534776747
Algeria,"Cereals, Other",-0.032750506022297676
Algeria,"Citrus, Other",0.0
Algeria,Cloves,0.0
Algeria,Cocoa Beans and products,0.0
Algeria,Coconut Oil,0.0
Algeria,Coconuts - Incl Copra,0.0
Algeria,Coffee and products,0.0
Algeria,Copra Cake,0.0
Algeria,Cotton lint,0.0
Algeria,Cottonseed,0.0
Algeria,Cottonseed Cake,0.0
Algeria,Cottonseed Oil,0.0
Algeria,Dates,0.0
Algeria,Eggs,-0.03419171373886698
Algeria,"Fats, Animals, Raw",-0.0032800590756409953
Algeria,"Fish, Seafood",0.0
Algeria,Fodder crops,0.0
Algeria,"Fruits, Other",0.0
Algeria,Goats,-0.0023388155435237756
Algeria,Grapefruit and products,0.0
Algeria,Grapes and products (excl wine),0.0
Algeria,Grazing,0.0
Algeria,Groundnut Cake,0.0
Algeria,Groundnut Oil,0.0
Algeria,Groundnuts,0.0
Algeria,"Hard Fibres, Other",0.0
Algeria,Hides and skins,-0.0037405724155201714
Algeria,Honey,0.0
Algeria,Hops,0.0
Algeria,Horses,-0.006811988517093637
Algeria,Jute,0.0
Algeria,Jute-Like Fibres,0.0
Algeria,"Lemons, Limes and products",0.0
Algeria,Maize Germ Oil,4.751357052423799e-05
Algeria,Maize and products,-0.03066857183633087
Algeria,"Meat, Other",-0.01805575111016
Algeria,Milk - Excluding Butter,-0.008345421399036823
Algeria,Millet and products,-0.05413771659103839
Algeria,Mules,0.0
Algeria,Mutton & Goat Meat,-0.0023385253931920147
Algeria,Nuts and products,0.0
Algeria,Oats,-0.05146030318416561
Algeria,"Offals, Edible",-0.013343524128023976
Algeria,"Oil, palm fruit",0.0
Algeria,"Oilcrops Oil, Other",0.0
Algeria,"Oilcrops, Other",0.0
Algeria,"Oilseed Cakes, Other",0.0
Algeria,Olive Oil,0.0
Algeria,Olives (including preserved),0.0
Algeria,Onions,0.0
Algeria,"Oranges, Mandarines",0.0
Algeria,Palm Oil,0.0
Algeria,Palm kernels,0.0
Algeria,Palmkernel Cake,0.0
Algeria,Palmkernel Oil,0.0
Algeria,Peas,0.0
Algeria,Pepper,0.0
Algeria,Pigmeat,0.003926233099487919
Algeria,Pigs,-0.04672084364879403
Algeria,Pimento,0.0
Algeria,Pineapples and products,0.0
Algeria,Plantains,0.0
Algeria,Potatoes and products,0.0
Algeria,Poultry Birds,-0.03445683875622052
Algeria,Poultry Meat,-0.03419171373886676
Algeria,"Pulses, Other and products",0.0
Algeria,Rabbits and hares,-0.0277848623338115
Algeria,Rape and Mustard Cake,0.0
Algeria,Rape and Mustard Oil,0.0
Algeria,Rape and Mustardseed,0.0
Algeria,Rice and products,0.7543791530808029
Algeria,Ricebran Oil,0.0
Algeria,"Rodents, other",0.0
Algeria,"Roots, Other",0.0
Algeria,Rubber,0.0
Algeria,Rye and products,0.0
Algeria,Seed cotton,0.0
Algeria,Sesame seed,0.0
Algeria,Sesameseed Cake,0.0
Algeria,Sesameseed Oil,0.0
Algeria,Sheep,-0.0023420387313519697
Algeria,Silk,0.0
Algeria,Sisal,0.0
Algeria,"Soft-Fibres, Other",0.0
Algeria,Sorghum and products,0.0
Algeria,Soyabean Cake,-5.745340152518708e-07
Algeria,Soyabean Oil,0.0
Algeria,Soyabeans,0.0
Algeria,"Spices, Other",0.0
Algeria,Sugar (Raw Equivalent),9.009774858292907e-06
Algeria,Sugar beet,0.0
Algeria,Sugar cane,0.0
Algeria,Sugar non-centrifugal,0.0
Algeria,Sunflower seed,0.0
Algeria,Sunflowerseed Cake,0.0
Algeria,Sunflowerseed Oil,0.0
Algeria,Sweet potatoes,0.0
Algeria,"Sweeteners, Other",0.0037700641044249306
Algeria,Tea (including mate),0.0
Algeria,Tobacco,0.0
Algeria,Tomatoes and products,0.0
Algeria,"Vegetables, Other",0.0
Algeria,Wheat and products,-0.06918468967447056
Algeria,Wine,0.0
Algeria,Wool (Clean Eq.),-0.0023387019821610178
Algeria,Yams,0.0
Angola,Abaca,0.0
Angola,"Alcohol, Non-Food",0.001400920433179631
Angola,Apples and products,0.0
Angola,Asses,0.0
Angola,Bananas,0.0
Angola,Barley and products,0.0
Angola,Beans,0.0
Angola,Beer,0.0
Angola,"Beverages, Alcoholic",0.0005716866350471417
Angola,"Beverages, Fermented",0.0
Angola,Bovine Meat,0.00015315689146555567
Angola,Buffaloes,0.0
Angola,"Butter, Ghee",0.00038424961481742237
Angola,"Camelids, other",0.0
Angola,Camels,0.0
Angola,Cassava and products,0.0
Angola,Cattle,0.00016559789666514835
Angola,"Cereals, Other",0.0
Angola,"Citrus, Other",0.0
Angola,Cloves,0.0
Angola,Cocoa Beans and products,0.0
Angola,Coconut Oil,0.0
Angola,Coconuts - Incl Copra,0.0
Angola,Coffee and products,0.0
Angola,Copra Cake,0.0
Angola,Cotton lint,0.0
Angola,Cottonseed,0.0
Angola,Cottonseed Cake,0.0
Angola,Cottonseed Oil,0.0
Angola,Dates,0.0
Angola,Eggs,0.00824761926407902
Angola,"Fats, Animals, Raw",0.00013625356732516192
Angola,"Fish, Seafood",0.0
Angola,Fodder crops,0.0
Angola,"Fruits, Other",0.0
Angola,Goats,2.7472150513574434e-05
Angola,Grapefruit and products,0.0
Angola,Grapes and products (excl wine),0.0
Angola,Grazing,0.0
Angola,Groundnut Cake,0.0
Angola,Groundnut Oil,0.0
Angola,Groundnuts,0.0
Angola,"Hard Fibres, Other",0.0
Angola,Hides and skins,0.00015081830820584674
Angola,Honey,0.0
Angola,Hops,0.0
Angola,Horses,0.0
Angola,Jute,0.0
Angola,Jute-Like Fibres,0.0
Angola,"Lemons, Limes and products",0.0
Angola,Maize Germ Oil,0.0
Angola,Maize and products,0.004943042986498725
Angola,"Meat, Other",0.0
Angola,Milk - Excluding Butter,0.000329820738808162
Angola,Millet and products,0.0
Angola,Mules,0.0
Angola,Mutton & Goat Meat,2.675050634071141e-05
Angola,Nuts and products,0.0
Angola,Oats,0.010642435906151992
Angola,"Offals, Edible",0.005975060518403352
Angola,"Oil, palm fruit",0.0
Angola,"Oilcrops Oil, Other",0.0
Angola,"Oilcrops, Other",0.0
Angola,"Oilseed Cakes, Other",0.0
Angola,Olive Oil,0.0
Angola,Olives (including preserved),0.0
Angola,Onions,0.0
Angola,"Oranges, Mandarines",0.0
Angola,Palm Oil,0.0
Angola,Palm kernels,0.0
Angola,Palmkernel Cake,0.0
Angola,Palmkernel Oil,0.0
Angola,Peas,0.0
Angola,Pepper,0.0
Angola,Pigmeat,0.0057939020360786575
Angola,Pigs,0.008560721506990943
Angola,Pimento,0.0
Angola,Pineapples and products,0.0
Angola,Plantains,0.0
Angola,Potatoes and products,0.0
Angola,Poultry Birds,0.008478495405651931
Angola,Poultry Meat,0.002090169735969205
Angola,"Pulses, Other and products",0.0
Angola,Rabbits and hares,0.0
Angola,Rape and Mustard Cake,0.0003250217718805404
Angola,Rape and Mustard Oil,0.0
Angola,Rape and Mustardseed,0.0
Angola,Rice and products,0.10440899979409857
Angola,Ricebran Oil,0.0
Angola,"Rodents, other",0.0
Angola,"Roots, Other",0.0
Angola,Rubber,0.0
Angola,Rye and products,0.0
Angola,Seed cotton,0.0
Angola,Sesame seed,0.0
Angola,Sesameseed Cake,0.0
Angola,Sesameseed Oil,0.0
Angola,Sheep,2.7295968467400122e-05
Angola,Silk,0.0
Angola,Sisal,0.0
Angola,"Soft-Fibres, Other",0.0
Angola,Sorghum and products,0.0
Angola,Soyabean Cake,-3.759143158976741e-07
Angola,Soyabean Oil,0.0
Angola,Soyabeans,0.0
Angola,"Spices, Other",0.0
Angola,Sugar (Raw Equivalent),2.0045348143704622e-05
Angola,Sugar beet,0.0
Angola,Sugar cane,0.0
Angola,Sugar non-centrifugal,0.0
Angola,Sunflower seed,0.0
Angola,Sunflowerseed Cake,0.0
Angola,Sunflowerseed Oil,0.0
Angola,Sweet potatoes,0.0
Angola,"Sweeteners, Other",0.004542097501076259
Angola,Tea (including mate),0.0
Angola,Tobacco,0.0
Angola,Tomatoes and products,0.0
Angola,"Vegetables, Other",0.0
Angola,Wheat and products,0.06357573679111173
Angola,Wine,0.0
Angola,Wool (Clean Eq.),0.0
Angola,Yams,0.0
Antigua and Barbuda,Abaca,0.0
Antigua and Barbuda,"Alcohol, Non-Food",0.0
Antigua and Barbuda,Apples and products,0.0
Antigua and Barbuda,Asses,0.0
Antigua and Barbuda,Bananas,0.0
Antigua and Barbuda,Barley and products,0.0
Antigua and Barbuda,Beans,0.0
Antigua and Barbuda,Beer,0.006080228607352578
Antigua and Barbuda,"Beverages, Alcoholic",0.008284977527786341
Antigua and Barbuda,"Beverages, Fermented",0.0
Antigua and Barbuda,Bovine Meat,0.0
Antigua and Barbuda,Buffaloes,0.0
