area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Eswatini,Oats,1186.6374130434178,-1186.6374130434178,-1.0,-1.010573309854029
Egypt,Poultry Meat,1382132.8572831552,-107789.77006707992,-0.08458457627965554,-1.011742689219681
Zambia,Beer,379918.6030376665,-19163.132236901263,-0.053119450120507006,-1.027242909183587
Democratic People's Republic of Korea,Pigs,1935262.5758816928,-27076.3997739763,-0.014189600633836674,-1.04893485345196
Mongolia,Rice and products,57425.08393524894,-3428.951970351278,-0.06350365934694002,-1.0497446229610676
Norway,Pigs,1266006.331201505,-5664.616256044013,-0.004494508266188024,-1.0552652278277321
Sri Lanka,Maize and products,388165.3898312162,-22894.879212964384,-0.06267924332082764,-1.0558828649144616
Malawi,Maize and products,3737595.409458993,-20325.833430983126,-0.005467947108829696,-1.063017565349921
Russian Federation,"Oranges, Mandarines",1642134.3330669154,-156071.5118015851,-0.10502349535176148,-1.0707308670153213
Viet Nam,Maize and products,15969147.468344092,-112731.16444878653,-0.007109498280585269,-1.171797836128541
Dominican Republic,Eggs,190353.6474639421,-12856.32378572729,-0.0724310852654575,-1.1752368569830804
Fiji,Maize and products,5044.282163206553,-1106.2069888128735,-0.2809004246556033,-1.2048990664464345
Mali,Rice and products,3098909.445938024,-25242.571964594536,-0.008212526926173469,-1.2085429518600561
Malawi,"Sweeteners, Other",135217.07197618793,-23835.26938550375,-0.2139960822244522,-1.2465570043005207
New Caledonia,Wheat and products,24077.309561230813,-358.7110059161241,-0.01512361723562905,-1.255907365812933
Slovakia,Beer,365362.9127818153,-6897.136569470866,-0.01924071146302464,-1.2637784430585115
Norway,"Alcohol, Non-Food",69042.29973436853,-6834.541239803628,-0.10986638009792249,-1.2732113513998586
Jordan,Rice and products,205156.18736189915,-14090.696932873747,-0.07374799552359756,-1.3026344300658808
Eritrea,Sorghum and products,215811.42094805517,-4938.635619749926,-0.023419976229085426,-1.4015669589911168
Israel,Rice and products,172072.90942371538,-12278.503082333016,-0.07683937982222866,-1.4136630243519346
Congo,Rice and products,152520.46608637736,-7970.38060394433,-0.05513923134215615,-1.414369701059525
Eswatini,"Sweeteners, Other",43621.6708366316,-1694.2765657461932,-0.040409774926621456,-1.442892882049726
Viet Nam,Pigmeat,3719352.996452666,-141259.7918948317,-0.03947906994566064,-1.4683421331066857
North Macedonia,Potatoes and products,216337.5757331281,-3161.1757572575007,-0.014828919888014491,-1.4953357943228178
Afghanistan,Maize and products,403356.8622106599,-58261.678832503734,-0.1688278528323024,-1.5201596250115812
United Republic of Tanzania,Poultry Birds,82808566.79881702,-96303.84174597263,-0.0011643236238858545,-1.5846754364664233
Liberia,Pigs,267593.08357064915,-8046.824313901481,-0.03100343012819695,-1.5984344483356872
Australia,Wheat and products,9031170.228040468,-42726.84636208415,-0.004753531234248598,-1.6726646944528596
Dominican Republic,Poultry Meat,339425.21997113514,-19994.57735184452,-0.06259442484256206,-1.8277669911965055
Zambia,Pigs,794075.7170909079,-34994.31560560828,-0.046100873420340305,-1.8758761419164793
Croatia,Maize and products,2453458.988133197,-8032.46178206522,-0.0032846874340775045,-1.9521668321486332
Libya,Rice and products,189775.89340462573,-12984.417871430429,-0.07344481871804054,-1.9637572423211802
Sierra Leone,Maize and products,44254.14085892843,-16271.413204981589,-0.5814805978246576,-1.9988937882284827
Democratic People's Republic of Korea,Rice and products,1243970.0731074605,-52995.992058458505,-0.04449802300632766,-2.053055192987973
Malta,Oats,1052.0851915233006,-1052.0851915233006,-1.0,-2.064551637130075
Rwanda,Maize and products,352587.2182519623,-27321.48340601899,-0.08399742265799803,-2.10370270889523
Namibia,Pigs,115270.06630489006,-5317.5599310906255,-0.048362334852220856,-2.155408984434059
Montenegro,Potatoes and products,40898.19460616045,-1365.8528977424066,-0.034550265395777435,-2.1683990819705135
