area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",196679.40526739927
Afghanistan,Apples and products,272898.80491350626
Afghanistan,Asses,
Afghanistan,Bananas,105639.26698816773
Afghanistan,Barley and products,1943.0580377831134
Afghanistan,Beans,67.86363079340867
Afghanistan,Beer,42890.55488575841
Afghanistan,"Beverages, Alcoholic",1147.071381241074
Afghanistan,"Beverages, Fermented",14970.705805513857
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,12699.047404700212
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",27.61632042909983
Afghanistan,"Citrus, Other",2571.696373604988
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,696.1996350645173
Afghanistan,Coconuts - Incl Copra,4198.718682547404
Afghanistan,Coffee and products,93.76371265385559
Afghanistan,Copra Cake,48.27843180515535
Afghanistan,Cotton lint,5480.073236931594
Afghanistan,Cottonseed,12348.17165142029
Afghanistan,Cottonseed Cake,3912.2493997312527
Afghanistan,Cottonseed Oil,1828.8597223015895
Afghanistan,Dates,1122.2355272272046
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",15545.778960635105
Afghanistan,Fodder crops,0.2180998360260528
Afghanistan,"Fruits, Other",415193.63267428475
Afghanistan,Goats,
Afghanistan,Grapefruit and products,758.44196984801
Afghanistan,Grapes and products (excl wine),993440.0260266223
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.024066295728589072
Afghanistan,Groundnut Oil,1.0935505027103833
Afghanistan,Groundnuts,75.87929323428021
Afghanistan,"Hard Fibres, Other",26.74733795785513
Afghanistan,Hides and skins,
Afghanistan,Honey,2001.0791838086782
Afghanistan,Hops,0.20522485666298848
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",6201.586722624522
Afghanistan,Maize Germ Oil,57.878131441811014
Afghanistan,Maize and products,24502.32092804708
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,3996999.041870924
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,73363.24127066605
Afghanistan,Oats,381.64508381573455
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",8659.522577199923
Afghanistan,"Oilcrops, Other",3237.448819038823
Afghanistan,"Oilseed Cakes, Other",1411.2593422415782
Afghanistan,Olive Oil,1511.4858663280415
Afghanistan,Olives (including preserved),9007.227952215013
Afghanistan,Onions,346602.72666405106
Afghanistan,"Oranges, Mandarines",211944.50477438694
Afghanistan,Palm Oil,54543.48349228965
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,7261.168869503436
Afghanistan,Palmkernel Oil,2187.8102748692586
Afghanistan,Peas,8.307864737623795
Afghanistan,Pepper,0.08754337417139248
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,393.4288293973287
Afghanistan,Pineapples and products,695.560765726167
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,12276.623199854597
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",11231.669294357893
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,1027.973278668126
Afghanistan,Rape and Mustard Oil,900.902502282166
Afghanistan,Rape and Mustardseed,3043.082610337722
Afghanistan,Rice and products,7473.311416363755
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",11.247447218542975
Afghanistan,Rubber,0.601961897169109
Afghanistan,Rye and products,143.1962653234773
Afghanistan,Seed cotton,19088.64118100866
Afghanistan,Sesame seed,4254.742717624353
Afghanistan,Sesameseed Cake,291.36735583973217
Afghanistan,Sesameseed Oil,160.21192587347952
Afghanistan,Sheep,
Afghanistan,Silk,556.0155583073815
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",30.13474645835602
Afghanistan,Sorghum and products,698414440.0980098
Afghanistan,Soyabean Cake,39452746.97432992
Afghanistan,Soyabean Oil,27312753.878384
Afghanistan,Soyabeans,93794923.97057672
Afghanistan,"Spices, Other",18875.16616548448
Afghanistan,Sugar (Raw Equivalent),174202.59500871206
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,9647678.63615803
Afghanistan,Sunflowerseed Cake,1461713.893830953
Afghanistan,Sunflowerseed Oil,5906611.420996383
Afghanistan,Sweet potatoes,0.1662735691289807
Afghanistan,"Sweeteners, Other",4134.971603534181
Afghanistan,Tea (including mate),2829.1294841486265
Afghanistan,Tobacco,31.95388878929571
Afghanistan,Tomatoes and products,19696.263627048524
Afghanistan,"Vegetables, Other",3338026.57690457
Afghanistan,Wheat and products,52806.73729135051
Afghanistan,Wine,1950.8152594910412
Afghanistan,Wool (Clean Eq.),
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",28964.141344395357
Albania,Apples and products,107833.23428345473
Albania,Asses,
Albania,Bananas,5420.928415733757
Albania,Barley and products,98.05776980116849
Albania,Beans,10817.475279147307
Albania,Beer,27088.59711661359
Albania,"Beverages, Alcoholic",3631.1935377057466
Albania,"Beverages, Fermented",951.9439309540805
Albania,Bovine Meat,
Albania,Buffaloes,
Albania,"Butter, Ghee",
Albania,"Camelids, other",0.0
Albania,Camels,
Albania,Cassava and products,32601.595828412028
Albania,Cattle,
Albania,"Cereals, Other",481.0846919306805
Albania,"Citrus, Other",16.441823926280705
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.5628813884893089
Albania,Coconuts - Incl Copra,164.98909914624352
Albania,Coffee and products,2467.289283059136
Albania,Copra Cake,0.047991676289534844
Albania,Cotton lint,6519.828770190834
Albania,Cottonseed,1002.2340917283536
Albania,Cottonseed Cake,34.54727870796781
Albania,Cottonseed Oil,510.9132139649155
Albania,Dates,15002.478555813386
Albania,Eggs,
Albania,"Fats, Animals, Raw",
Albania,"Fish, Seafood",151167.5534858956
Albania,Fodder crops,6408182.302200469
Albania,"Fruits, Other",166016.37196188228
Albania,Goats,
Albania,Grapefruit and products,7.876657487359949
Albania,Grapes and products (excl wine),203523.9490506147
Albania,Grazing,9615854.0
Albania,Groundnut Cake,40.40305791166907
Albania,Groundnut Oil,101.64249934463493
Albania,Groundnuts,250.31540895762274
Albania,"Hard Fibres, Other",938.5582191622535
Albania,Hides and skins,
Albania,Honey,5010.464614729517
Albania,Hops,1809.693045926515
Albania,Horses,
Albania,Jute,0.0
