area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Israel,Poultry Birds,99595232.40370049,422410506.25710285,0.8092066331316389,48633.462058795616
Belarus,Poultry Birds,89712199.50985117,319767206.70426756,0.7809115717459543,33098.61819325816
Netherlands,Poultry Birds,151156258.57786322,519681578.13936317,0.7746754128873338,29862.849450066973
Brunei Darussalam,Poultry Birds,2957601.319013174,13065162.19898839,0.815412533818507,29700.773140259997
Mauritius,Poultry Birds,10274930.570868269,37145756.650154874,0.7833238788173222,28640.63398266321
Poland,Poultry Birds,226642398.58376455,1058967031.405484,0.8237082014981332,27521.387991389252
Belgium,Poultry Birds,67803015.98438239,269033486.8878306,0.7987064483622635,23310.555680281595
United States of America,Poultry Birds,1345415862.7234993,7599999804.257397,0.8495971665475909,22660.305112600272
Panama,Poultry Birds,22587749.589874458,93665591.29399353,0.8057023615997528,21958.666273280112
Brazil,Poultry Birds,1823664881.639686,4243021264.681048,0.6993968638470469,19961.059262578034
Jordan,Poultry Birds,54212969.324973755,203714139.22136596,0.7898128287851769,18832.642054906883
Jamaica,Poultry Birds,20122535.79427573,50692074.85542758,0.7158420330259905,18011.21377090048
Portugal,Poultry Birds,37202266.42203232,184036011.86405626,0.8318452543102638,17870.3516793296
El Salvador,Poultry Birds,21217481.08545302,111684064.85098214,0.8403518865341038,17781.476167190445
Barbados,Poultry Birds,2687200.7449055053,4941534.393901351,0.6477527799810616,17621.46438788473
Australia,Poultry Birds,86724284.90081908,439337162.0481696,0.8351441919878447,17199.110687729273
Peru,Poultry Birds,137224323.1924163,554307842.0316963,0.8015648004631216,16751.37911435978
Canada,Poultry Birds,112147821.179791,625490957.3633306,0.8479637670333855,16565.68446751772
Ireland,Poultry Birds,17604402.33663819,81059429.26152167,0.8215718764264318,16458.520067215573
Malaysia,Poultry Birds,125624278.33426516,542834974.1611099,0.8120689064212866,16447.73143376224
Iran (Islamic Republic of),Poultry Birds,369807225.3672854,1383101149.5348067,0.7890321989088901,15899.512286628535
Czech Republic,Poultry Birds,49261374.18123239,167264492.64810196,0.7724919664214521,15872.642371728321
Republic of Korea,Poultry Birds,208693193.9473648,813186372.5619346,0.7957751570860228,15680.982016202639
Colombia,Poultry Birds,238497344.80711848,779344440.9749534,0.7656832838476306,15396.882665156741
Slovenia,Poultry Birds,8976780.205968877,30922665.50278359,0.7750149144553228,14611.995878932938
Trinidad and Tobago,Poultry Birds,6177536.137843093,22082287.502827615,0.7814021695113282,14586.358083643314
Saudi Arabia,Poultry Birds,116347063.9692773,524683683.3120498,0.8185000259929553,14482.033916892064
Hungary,Poultry Birds,35928084.09273817,139018032.15805334,0.7946334284938685,14228.897102395194
Argentina,Poultry Birds,121092831.37999918,634615242.800638,0.8397624221346425,14131.313148916435
South Africa,Poultry Birds,203908077.55126005,778608851.4859655,0.7924635479298348,13317.26040977195
Costa Rica,Poultry Birds,17844066.94022943,67779675.62733032,0.7915990774854309,13276.182072079615
Denmark,Poultry Birds,78923282.67943199,76018901.95222615,0.4906275339601336,13082.396531450031
Finland,Poultry Birds,15897057.300395202,71621212.53029281,0.8183572717885135,12962.610962703318
"China, Taiwan Province of",Poultry Birds,66587692.18747777,301584708.56720066,0.8191399136627663,12671.149378880555
Libya,Poultry Birds,19520965.482925985,83259432.69211592,0.8100711241682439,12592.117379435767
Spain,Poultry Birds,119844115.22578768,595362666.900983,0.8324343137946568,12578.982580481339
New Zealand,Poultry Birds,50094154.53992163,59151477.96010594,0.5414539383081609,11767.93495112817
Mexico,Poultry Birds,365226754.30647093,1436838044.4231827,0.797328733925698,11438.840626683017
Lithuania,Poultry Birds,21294035.82364498,32141277.344928145,0.6014988111612936,11333.713228579338
United Kingdom,Poultry Birds,169911691.1896776,750147222.4885702,0.8153252050888807,11204.392360447186
