area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Ghana,Pigs,632213.1163375742,-35132.23399103503,-0.058839991414504356,-1.103078986266583
Uruguay,Hides and skins,78011.2951419849,-4313.847013202772,-0.058534550689795406,-1.258315638758655
Netherlands,Sorghum and products,35481.81189049759,-22262.48113886461,-1.0,-1.2792855290640766
New Caledonia,Sorghum and products,369.3978058458371,-369.3978058458371,-1.0,-1.293323643895669
United Kingdom,Soyabean Oil,316639.1315585059,-91619.63083070057,-0.4071630704644047,-1.368454432639233
Niger,Soyabean Cake,37618.57787483358,-36597.32433766239,-1.0,-1.5324428186473564
Guyana,Sorghum and products,1338.1892233738274,-1338.1892233738274,-1.0,-1.6899699982746905
Lithuania,Soyabean Oil,17596.849243495104,-5397.02059064833,-0.4423849501680468,-1.9031068058282485
Indonesia,Soyabeans,1824133.934678572,-573083.886032043,-0.45808230186477683,-2.1160605247400275
Uruguay,"Meat, Other",17053.32271216397,-8115.632213427265,-0.9080234110337977,-2.367266827338698
Afghanistan,Milk - Excluding Butter,2261970.19936453,-112700.41276217531,-0.05243660589503585,-2.9405712405873774
Fiji,Soyabeans,3809.0686204341537,-3051.8041800321644,-1.0,-3.324075914078413
Egypt,Soyabean Oil,1022325.4546160052,-356673.0235243499,-0.5358247140169143,-3.347825343426083
Switzerland,Soyabean Oil,38163.24691855305,-30122.250925055745,-1.0,-3.4999700718051123
Georgia,Soyabeans,17506.768887621925,-14000.280454170756,-1.0,-3.714407194920161
Angola,Soyabeans,163828.70784322463,-122828.70784322463,-1.0,-3.733509196138248
Honduras,Soyabean Oil,46527.314180575886,-43114.82090076403,-1.0,-4.293539388969898
Saudi Arabia,Soyabean Oil,284242.995043148,-186551.51408790876,-1.0,-5.149093520908842
Côte d'Ivoire,Soyabeans,137206.73028876414,-136391.37349781094,-1.0,-5.151203561844863
"China, mainland",Soyabean Cake,66427557.175027885,-7490346.856972508,-0.12709028500926256,-5.260082357581221
Saudi Arabia,Soyabean Cake,1372600.9054746523,-192006.43854353274,-0.16263538744395545,-5.299657381560569
Uruguay,Horses,55250.47976986776,-18687.40308708224,-0.5111003991598051,-5.450970208330158
Nicaragua,Soyabean Oil,49131.5406380277,-38247.90754206459,-1.0,-5.700385865260037
Dominican Republic,Soyabean Cake,213977.04400949317,-78903.60214746665,-0.5841533395444556,-7.212825605355296
United Arab Emirates,Soyabeans,77429.4180507727,-73112.36919130763,-1.0,-7.9061339696792805
Uruguay,"Butter, Ghee",51537.75158868737,-28628.933870075794,-1.0,-8.350837454237368
Uruguay,Bovine Meat,543447.4847779026,-29656.14588891063,-0.05772021372146563,-8.650467214788629
Venezuela (Bolivarian Republic of),Soyabeans,295913.4539669145,-269013.6910023714,-1.0,-9.39660028751335
Dominica,Sorghum and products,692.7338217535237,-692.7338217535237,-1.0,-9.652943282892867
Austria,Soyabeans,340163.0039613872,-89217.8023532062,-0.3555270305287943,-10.023226591527637
Guyana,Milk - Excluding Butter,74518.75375546017,-9072.006882251531,-0.13861662062175406,-11.456839725919478
Germany,Soyabeans,3525887.2899930165,-982378.8868701737,-0.3862298570211282,-11.79784499599723
Estonia,Soyabeans,17288.29867302628,-16481.8825337944,-1.0,-12.400915015126484
Mozambique,Soyabeans,466626.9604016059,-390974.5811456079,-1.0,-12.72672560702967
Kiribati,Soyabeans,2385.1263138930312,-1640.7256710821873,-1.0,-13.098978660361078
Denmark,Soyabean Oil,163003.0508416891,-82558.25345092059,-1.0,-14.207779655481689
Cuba,Soyabean Oil,280398.8361971021,-166321.11149906594,-1.0,-14.706662014928854
Costa Rica,Soyabeans,215631.51979143065,-75553.40614707346,-0.5393662448860155,-14.798842970116981
Sudan,Soyabeans,652661.641367877,-652661.641367877,-1.0,-14.891407975543823
Uruguay,Sheep,1095623.4835962988,-53187.30372245319,-0.05102211986626348,-15.514323028270864
Dominica,Soyabean Cake,1230.6386322732285,-1230.6386322732285,-1.0,-17.148411909498197
Guyana,Poultry Meat,54690.745830483495,-15671.283606887933,-0.40162736013853384,-19.790922440193793
Nicaragua,Soyabean Cake,205223.48792519636,-134752.99041692726,-1.0,-20.08329582551353
Belarus,Soyabeans,717208.5154007663,-198953.3845272219,-0.3838908149194322,-20.593362842278943
Azerbaijan,Soyabeans,244993.78912204772,-235203.1248495234,-1.0,-22.89409488634512
Uruguay,Pigmeat,127885.07399487024,-79626.50564921339,-1.0,-23.22643269718566
Gabon,Soyabean Oil,57480.41708315864,-56609.034046660265,-1.0,-24.959946581302106
Cabo Verde,Sorghum and products,14756.642638054736,-14756.642638054736,-1.0,-25.44542669248816
Egypt,Soyabean Cake,4507115.033698621,-2722546.598052889,-1.0,-25.55452725175801
Barbados,Soyabean Oil,10055.049643760784,-7692.367868648021,-1.0,-27.43091024989755
Honduras,Soyabean Cake,435184.2282735024,-275713.9585269869,-1.0,-27.45665449357006
Peru,Soyabeans,1234247.794332611,-1077556.8463785553,-1.0,-32.56414916447991
Jordan,Soyabeans,385968.7312141108,-377856.1065885218,-1.0,-34.93144280922857
Turkey,Soyabeans,5690127.0358327795,-2961645.842857065,-1.0,-35.33691017194924
Uruguay,"Offals, Edible",213917.0452999652,-130132.85587405818,-1.0,-37.95874243140585
Cabo Verde,Soyabean Cake,26634.752366956513,-24010.757319878772,-1.0,-41.40264016684474
