area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",196099.30186201562
Afghanistan,Apples and products,272898.73024715245
Afghanistan,Asses,
Afghanistan,Bananas,105639.3781765124
Afghanistan,Barley and products,1983.36760052147
Afghanistan,Beans,67.69362553713754
Afghanistan,Beer,42764.315175501535
Afghanistan,"Beverages, Alcoholic",1148.9426526533102
Afghanistan,"Beverages, Fermented",14930.116528339066
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,12699.199257335365
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",35.922742964678356
Afghanistan,"Citrus, Other",2571.7245716455254
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,696.199561672236
Afghanistan,Coconuts - Incl Copra,4198.730297119725
Afghanistan,Coffee and products,93.7290346553683
Afghanistan,Copra Cake,48.278429855896725
Afghanistan,Cotton lint,5464.634632360132
Afghanistan,Cottonseed,12313.378381814802
Afghanistan,Cottonseed Cake,3901.2200759017564
Afghanistan,Cottonseed Oil,1823.6853385831541
Afghanistan,Dates,1122.168906930948
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",15545.669381881864
Afghanistan,Fodder crops,0.218108128123417
Afghanistan,"Fruits, Other",415193.0350377377
Afghanistan,Goats,
Afghanistan,Grapefruit and products,758.396081558215
Afghanistan,Grapes and products (excl wine),993440.004151731
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.023991676343483783
Afghanistan,Groundnut Oil,1.090153565116871
Afghanistan,Groundnuts,75.66593149895634
Afghanistan,"Hard Fibres, Other",26.74735042719938
Afghanistan,Hides and skins,
Afghanistan,Honey,2001.079186702377
Afghanistan,Hops,0.20522916463839527
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",6201.3353050056285
Afghanistan,Maize Germ Oil,60.067960067838925
Afghanistan,Maize and products,25815.83726689097
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,3984542.0508891465
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,73362.69032180551
Afghanistan,Oats,421.0066321158372
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",8656.19289512342
Afghanistan,"Oilcrops, Other",3229.968635342539
Afghanistan,"Oilseed Cakes, Other",1407.9430506572003
Afghanistan,Olive Oil,1511.4848453535437
Afghanistan,Olives (including preserved),9007.228062868218
Afghanistan,Onions,346602.589054094
Afghanistan,"Oranges, Mandarines",211943.6967832057
Afghanistan,Palm Oil,54543.4834929392
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,7261.168872020924
Afghanistan,Palmkernel Oil,2187.810274726368
Afghanistan,Peas,9.192487740562163
Afghanistan,Pepper,0.08754402605972268
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,393.4360849757925
Afghanistan,Pineapples and products,695.5232719429173
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,12247.249938272176
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",11202.431849341541
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,1026.4744144704669
Afghanistan,Rape and Mustard Oil,898.3585246445755
Afghanistan,Rape and Mustardseed,3033.8063275960676
Afghanistan,Rice and products,7438.815033965959
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",11.244775554456313
Afghanistan,Rubber,0.6019637908997345
Afghanistan,Rye and products,142.86524277055784
Afghanistan,Seed cotton,19034.83819916258
Afghanistan,Sesame seed,4242.374042673104
Afghanistan,Sesameseed Cake,290.5177884429529
Afghanistan,Sesameseed Oil,159.74285557592097
Afghanistan,Sheep,
Afghanistan,Silk,556.0155583073815
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",30.134994955507047
Afghanistan,Sorghum and products,696230855.1701082
Afghanistan,Soyabean Cake,39296290.02270068
Afghanistan,Soyabean Oil,27224303.741147157
Afghanistan,Soyabeans,42546217.23291411
Afghanistan,"Spices, Other",18875.114787312956
Afghanistan,Sugar (Raw Equivalent),174140.0732820196
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,9617601.017557312
Afghanistan,Sunflowerseed Cake,1457157.3716772404
Afghanistan,Sunflowerseed Oil,5888197.12848529
Afghanistan,Sweet potatoes,0.16593539356100953
Afghanistan,"Sweeteners, Other",4515.428068987436
Afghanistan,Tea (including mate),2829.1479132426402
Afghanistan,Tobacco,31.9542303256233
Afghanistan,Tomatoes and products,19696.8387070175
Afghanistan,"Vegetables, Other",3338025.092968066
Afghanistan,Wheat and products,75753.6757384532
Afghanistan,Wine,1950.8137377651651
Afghanistan,Wool (Clean Eq.),
