area,item,ai_e_index,combined_shocks
Afghanistan,Abaca,,0.0
Afghanistan,"Alcohol, Non-Food",,
Afghanistan,Apples and products,,273405.02801858727
Afghanistan,Asses,,0.0
Afghanistan,Bananas,,
Afghanistan,Barley and products,,132317.72376764723
Afghanistan,Beans,,0.0
Afghanistan,Beer,,0.0
Afghanistan,"Beverages, Alcoholic",,0.0
Afghanistan,"Beverages, Fermented",,0.0
Afghanistan,Bovine Meat,,
Afghanistan,Buffaloes,,0.0
Afghanistan,"Butter, Ghee",,
Afghanistan,"Camelids, other",,0.0
Afghanistan,Camels,,
Afghanistan,Cassava and products,,2896.508852852477
Afghanistan,Cattle,,
Afghanistan,"Cereals, Other",,0.0
Afghanistan,"Citrus, Other",,54795.95489789282
Afghanistan,Cloves,,0.0
Afghanistan,Cocoa Beans and products,,0.0
Afghanistan,Coconut Oil,,0.0
Afghanistan,Coconuts - Incl Copra,,2001.05829320245
Afghanistan,Coffee and products,,0.0
Afghanistan,Copra Cake,,0.0
Afghanistan,Cotton lint,,24439.999999999964
Afghanistan,Cottonseed,,47999.99999999992
Afghanistan,Cottonseed Cake,,21011.134789005722
Afghanistan,Cottonseed Oil,,18450.32219215421
Afghanistan,Dates,,
Afghanistan,Eggs,,
Afghanistan,"Fats, Animals, Raw",,
Afghanistan,"Fish, Seafood",,12148.990438968454
Afghanistan,Fodder crops,,0.0
Afghanistan,"Fruits, Other",,416138.99334959773
Afghanistan,Goats,,
Afghanistan,Grapefruit and products,,999.8967993877321
Afghanistan,Grapes and products (excl wine),,993592.8901876544
Afghanistan,Grazing,,38066589.0
Afghanistan,Groundnut Cake,,0.0
Afghanistan,Groundnut Oil,,0.0
Afghanistan,Groundnuts,,15050.244557118329
Afghanistan,"Hard Fibres, Other",,0.0
Afghanistan,Hides and skins,,
Afghanistan,Honey,,2000.0
Afghanistan,Hops,,0.0
Afghanistan,Horses,,0.0
Afghanistan,Jute,,0.0
Afghanistan,Jute-Like Fibres,,0.0
Afghanistan,"Lemons, Limes and products",,1996.5925225655985
Afghanistan,Maize Germ Oil,,1891.8622881347128
Afghanistan,Maize and products,,345095.18337815616
Afghanistan,"Meat, Other",,
Afghanistan,Milk - Excluding Butter,,
Afghanistan,Millet and products,,5997.471236019551
Afghanistan,Mules,,0.0
Afghanistan,Mutton & Goat Meat,,
Afghanistan,Nuts and products,,76101.47559037399
Afghanistan,Oats,,
Afghanistan,"Offals, Edible",,
Afghanistan,"Oil, palm fruit",,0.0
Afghanistan,"Oilcrops Oil, Other",,13648.714465025882
Afghanistan,"Oilcrops, Other",,33895.63869578542
Afghanistan,"Oilseed Cakes, Other",,18007.26228840513
