area,index,code,region,color,lat,lng,population
Morocco,113.0,MAR,Africa North,gold,32.0,-5.0,36488843.0
Algeria,2.0,DZA,Africa North,gold,28.0,3.0,43090987.0
Libya,99.0,LBY,Africa North,gold,25.0,17.0,6612028.0
Tunisia,173.0,TUN,Africa North,gold,34.0,9.0,12106251.0
Sudan,163.0,SDN,Africa North,gold,15.0,30.0,43828068.0
Egypt,54.0,EGY,Africa North,gold,27.0,30.0,106538719.0
Senegal,150.0,SEN,Africa Sub-Sahara,goldenrod,14.0,-14.0,16215467.0
Ethiopia,59.0,ETH,Africa Sub-Sahara,goldenrod,8.0,38.0,115638360.0
Eswatini,58.0,SWZ,Africa Sub-Sahara,goldenrod,-26.5,31.5,1174222.0
Sierra Leone,153.0,SLE,Africa Sub-Sahara,goldenrod,8.5,-11.5,8140209.0
Eritrea,56.0,ERI,Africa Sub-Sahara,goldenrod,15.0,39.0,3523653.0
Zimbabwe,191.0,ZWE,Africa Sub-Sahara,goldenrod,-20.0,30.0,15505226.0
Malawi,103.0,MWI,Africa Sub-Sahara,goldenrod,-13.5,34.0,19120882.0
Djibouti,50.0,DJI,Africa Sub-Sahara,goldenrod,11.5,43.0,1082344.0
Somalia,158.0,SOM,Africa Sub-Sahara,goldenrod,10.0,49.0,16272861.0
Democratic Republic of the Congo,48.0,COD,Africa Sub-Sahara,goldenrod,0.0,25.0,91331950.0
Côte d'Ivoire,46.0,CIV,Africa Sub-Sahara,goldenrod,8.0,-5.0,26477574.0
South Africa,159.0,ZAF,Africa Sub-Sahara,goldenrod,-29.0,24.0,58466143.0
Sao Tome and Principe,148.0,STP,Africa Sub-Sahara,goldenrod,1.0,7.0,216222.0
Gabon,64.0,GAB,Africa Sub-Sahara,goldenrod,-1.0,11.75,2267995.0
Ghana,68.0,GHA,Africa Sub-Sahara,goldenrod,8.0,-2.0,31849246.0
Rwanda,143.0,RWA,Africa Sub-Sahara,goldenrod,-2.0,30.0,12987331.0
Madagascar,102.0,MDG,Africa Sub-Sahara,goldenrod,-20.0,47.0,27879131.0
Mauritania,108.0,MRT,Africa Sub-Sahara,goldenrod,20.0,-12.0,4440933.0
Mauritius,109.0,MUS,Africa Sub-Sahara,goldenrod,-20.2833,57.55,1296960.0
Liberia,98.0,LBR,Africa Sub-Sahara,goldenrod,6.5,-9.5,5034191.0
Lesotho,97.0,LSO,Africa Sub-Sahara,goldenrod,-29.5,28.5,2239604.0
Zambia,190.0,ZMB,Africa Sub-Sahara,goldenrod,-15.0,30.0,18654918.0
Gambia,65.0,GMB,Africa Sub-Sahara,goldenrod,13.4667,-16.5667,2541049.0
Mozambique,114.0,MOZ,Africa Sub-Sahara,goldenrod,-18.25,35.0,30720752.0
Namibia,116.0,NAM,Africa Sub-Sahara,goldenrod,-22.0,17.0,2467077.0
Niger,123.0,NER,Africa Sub-Sahara,goldenrod,16.0,8.0,23881690.0
Nigeria,124.0,NGA,Africa Sub-Sahara,goldenrod,10.0,8.0,205780595.0
Guinea-Bissau,73.0,GNB,Africa Sub-Sahara,goldenrod,12.0,-15.0,1993303.0
Guinea,72.0,GIN,Africa Sub-Sahara,goldenrod,11.0,-10.0,13041586.0
South Sudan,160.0,SSD,Africa Sub-Sahara,goldenrod,8.0,30.0,10545441.0
Kenya,90.0,KEN,Africa Sub-Sahara,goldenrod,1.0,38.0,51460211.0
Congo,39.0,COG,Africa Sub-Sahara,goldenrod,-1.0,15.0,5635288.0
Mali,106.0,MLI,Africa Sub-Sahara,goldenrod,17.0,-4.0,20886781.0
Benin,18.0,BEN,Africa Sub-Sahara,goldenrod,9.5,2.25,12466819.0
Togo,171.0,TGO,Africa Sub-Sahara,goldenrod,8.0,1.1667,8342236.0
Botswana,21.0,BWA,Africa Sub-Sahara,goldenrod,-22.0,24.0,2523541.0
Burkina Faso,25.0,BFA,Africa Sub-Sahara,goldenrod,13.0,-2.0,21231893.0
