,area_code,area,item_code,item,comm_code,comm_group,group
0,2,Afghanistan,2666,Abaca,c057,Fibre crops,Primary crops
1,2,Afghanistan,2659,"Alcohol, Non-Food",c094,Ethanol,Crop products
2,2,Afghanistan,2617,Apples and products,c040,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,2,Afghanistan,1107,Asses,c103,Live animals,Livestock
4,2,Afghanistan,2615,Bananas,c038,"Vegetables, fruit, nuts, pulses, spices",Primary crops
5,2,Afghanistan,2513,Barley and products,c003,Cereals,Primary crops
6,2,Afghanistan,2546,Beans,c017,"Vegetables, fruit, nuts, pulses, spices",Primary crops
7,2,Afghanistan,2656,Beer,c091,Alcohol,Crop products
8,2,Afghanistan,2658,"Beverages, Alcoholic",c093,Alcohol,Crop products
9,2,Afghanistan,2657,"Beverages, Fermented",c092,Alcohol,Crop products
10,2,Afghanistan,2731,Bovine Meat,c113,Meat,Livestock products
11,2,Afghanistan,946,Buffaloes,c097,Live animals,Livestock
12,2,Afghanistan,2740,"Butter, Ghee",c110,Milk,Livestock products
13,2,Afghanistan,1157,"Camelids, other",c106,Live animals,Livestock
14,2,Afghanistan,1126,Camels,c105,Live animals,Livestock
15,2,Afghanistan,2532,Cassava and products,c011,Roots and tubers,Primary crops
16,2,Afghanistan,866,Cattle,c096,Live animals,Livestock
17,2,Afghanistan,2520,"Cereals, Other",c009,Cereals,Primary crops
18,2,Afghanistan,2614,"Citrus, Other",c037,"Vegetables, fruit, nuts, pulses, spices",Primary crops
19,2,Afghanistan,2642,Cloves,c051,"Vegetables, fruit, nuts, pulses, spices",Primary crops
20,2,Afghanistan,2633,Cocoa Beans and products,c046,"Coffee, tea, cocoa",Primary crops
21,2,Afghanistan,2578,Coconut Oil,c075,Vegetable oils,Crop products
22,2,Afghanistan,2560,Coconuts - Incl Copra,c026,Oil crops,Primary crops
23,2,Afghanistan,2630,Coffee and products,c045,"Coffee, tea, cocoa",Primary crops
24,2,Afghanistan,2596,Copra Cake,c087,Oil cakes,Crop products
