,area_code,area,proc_code,proc
0,2,Afghanistan,p057,Abaca production
1,2,Afghanistan,p084,"Alcohol production, Non-Food"
2,2,Afghanistan,p040,Apples production
3,2,Afghanistan,p092,Asses husbandry
4,2,Afghanistan,p111,Asses slaughtering
5,2,Afghanistan,p038,Bananas production
6,2,Afghanistan,p003,Barley production
7,2,Afghanistan,p017,Beans production
8,2,Afghanistan,p118,Beekeeping
9,2,Afghanistan,p081,Beer production
10,2,Afghanistan,p083,"Beverages production, Alcoholic"
11,2,Afghanistan,p082,"Beverages production, Fermented"
12,2,Afghanistan,p086,Buffaloes husbandry
13,2,Afghanistan,p105,Buffaloes slaughtering
14,2,Afghanistan,p095,"Camelids husbandry, other"
15,2,Afghanistan,p114,"Camelids slaughtering, other"
16,2,Afghanistan,p094,Camels husbandry
17,2,Afghanistan,p113,Camels slaughtering
18,2,Afghanistan,p011,Cassava production
19,2,Afghanistan,p085,Cattle husbandry
20,2,Afghanistan,p104,Cattle slaughtering
21,2,Afghanistan,p009,"Cereals production, Other"
22,2,Afghanistan,p037,"Citrus production, Other"
23,2,Afghanistan,p051,Cloves production
24,2,Afghanistan,p046,Cocoa Beans production
25,2,Afghanistan,p074,Coconut Oil extraction
26,2,Afghanistan,p026,Coconuts production
27,2,Afghanistan,p045,Coffee production
28,2,Afghanistan,p063,Cotton production
29,2,Afghanistan,p071,Cottonseed Oil extraction
30,2,Afghanistan,p100,Dairy buffaloes husbandry
31,2,Afghanistan,p103,Dairy camels husbandry
32,2,Afghanistan,p099,Dairy cattle husbandry
33,2,Afghanistan,p102,Dairy goats husbandry
34,2,Afghanistan,p101,Dairy sheep husbandry
35,2,Afghanistan,p042,Dates production
36,2,Afghanistan,p120,Fishing
37,2,Afghanistan,p061,Fodder crops production
38,2,Afghanistan,p044,"Fruits production, Other"
39,2,Afghanistan,p107,Goat slaughtering
40,2,Afghanistan,p088,Goats husbandry
41,2,Afghanistan,p036,Grapefruit production
42,2,Afghanistan,p043,Grapes production
43,2,Afghanistan,p062,Grazing production
44,2,Afghanistan,p068,Groundnut Oil extraction
45,2,Afghanistan,p022,Groundnuts production
46,2,Afghanistan,p058,"Hard Fibres production, Other"
47,2,Afghanistan,p048,Hops production
48,2,Afghanistan,p091,Horses husbandry
49,2,Afghanistan,p110,Horses slaughtering
50,2,Afghanistan,p053,Jute production
51,2,Afghanistan,p054,Jute-Like Fibres production
52,2,Afghanistan,p035,"Lemons, Limes production"
53,2,Afghanistan,p078,Maize Germ Oil extraction
54,2,Afghanistan,p004,Maize production
55,2,Afghanistan,p007,Millet production
56,2,Afghanistan,p093,Mules husbandry
57,2,Afghanistan,p112,Mules slaughtering
58,2,Afghanistan,p020,Nuts production
59,2,Afghanistan,p006,Oat production
