scenario,time_step,total_prod,scaling
URU,0,114663288619.83875,0.1410739234388335
URU,1,36044446410.121254,0.45371583222340245
URU,2,,1.0
URU,3,,1.0
URU,4,,1.0
URU,5,,1.0
URU,6,,1.0
URU,7,,1.0
URU,8,,1.0
URU,9,,1.0
ALL,0,114597260734.07974,0.1411552064716104
ALL,1,35939690113.44487,0.45503831414178125
ALL,2,,1.0
ALL,3,,1.0
ALL,4,,1.0
ALL,5,,1.0
ALL,6,,1.0
ALL,7,,1.0
ALL,8,,1.0
ALL,9,,1.0
RUS,0,114610731754.12967,0.14113861548935747
RUS,1,35948530726.68555,0.4549264092137161
RUS,2,,1.0
RUS,3,,1.0
RUS,4,,1.0
RUS,5,,1.0
RUS,6,,1.0
RUS,7,,1.0
RUS,8,,1.0
RUS,9,,1.0
HOA,0,114656967713.95148,0.14108170068090595
HOA,1,36041747945.842316,0.45374980216203814
HOA,2,,1.0
HOA,3,,1.0
HOA,4,,1.0
HOA,5,,1.0
HOA,6,,1.0
HOA,7,,1.0
HOA,8,,1.0
HOA,9,,1.0
PAK,0,114661800504.5899,0.14107575433853817
PAK,1,36040176100.47458,0.45376959186902105
PAK,2,,1.0
PAK,3,,1.0
PAK,4,,1.0
PAK,5,,1.0
PAK,6,,1.0
PAK,7,,1.0
PAK,8,,1.0
PAK,9,,1.0
