area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",526.0395154831721
Afghanistan,Apples and products,273347.062878073
Afghanistan,Asses,0.0
Afghanistan,Bananas,96917.49934172437
Afghanistan,Barley and products,20053.279239547282
Afghanistan,Beans,0.0
Afghanistan,Beer,31.764226032018847
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124943.90445513488
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",37867.6372791735
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,21066.614906969215
Afghanistan,Cassava and products,2896.508852720354
Afghanistan,Cattle,670942.538182605
Afghanistan,"Cereals, Other",16.705157184958114
Afghanistan,"Citrus, Other",54795.95480638652
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,761.7757078545399
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,3469.420099947844
Afghanistan,Cottonseed,6813.918363236354
Afghanistan,Cottonseed Cake,2982.674797931952
Afghanistan,Cottonseed Oil,2627.4439250894493
Afghanistan,Dates,525.8981052372452
Afghanistan,Eggs,13591.53157555501
Afghanistan,"Fats, Animals, Raw",11001.651418257396
Afghanistan,"Fish, Seafood",11689.02896646706
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416136.7920113785
Afghanistan,Goats,3619310.4354355237
Afghanistan,Grapefruit and products,994.9998943862037
Afghanistan,Grapes and products (excl wine),993569.315712632
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,3972.7370092046253
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43564.67604845294
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1969.8902921186925
Afghanistan,Maize Germ Oil,298.7093805967786
Afghanistan,Maize and products,57273.87235709376
Afghanistan,"Meat, Other",11991.65577864893
Afghanistan,Milk - Excluding Butter,2264225.3445496447
Afghanistan,Millet and products,2735.9404843768116
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157009.3230288742
Afghanistan,Nuts and products,75942.86510563368
Afghanistan,Oats,266.7471648139698
Afghanistan,"Offals, Edible",51315.00970136438
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",5039.313466474855
Afghanistan,"Oilcrops, Other",5798.035539842809
Afghanistan,"Oilseed Cakes, Other",3033.974789110246
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,345387.2240581565
Afghanistan,"Oranges, Mandarines",137876.12423849662
Afghanistan,Palm Oil,155244.71583726702
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,2797.419804738127
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.0773984508414
Afghanistan,Pineapples and products,893.2821424425364
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,134814.95028641072
Afghanistan,Poultry Birds,19148446.048950743
Afghanistan,Poultry Meat,15338.668707139932
Afghanistan,"Pulses, Other and products",10948.36657867542
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,131.35438013976065
Afghanistan,Rape and Mustard Oil,277.607145287281
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,36519.276323685655
Afghanistan,Ricebran Oil,0.0
