area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",384.3686957969878
Afghanistan,Apples and products,273405.02717149106
Afghanistan,Asses,0.0
Afghanistan,Bananas,97000.99140984674
Afghanistan,Barley and products,18566.486361549265
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124209.00656043908
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",35235.70833982992
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20254.6459045723
Afghanistan,Cassava and products,2896.5088527201015
Afghanistan,Cattle,651658.8520478293
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",54795.95480621165
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,759.4075694583869
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,3429.3475321267088
Afghanistan,Cottonseed,6735.216102376514
Afghanistan,Cottonseed Cake,2948.223153954002
Afghanistan,Cottonseed Oil,2592.846519013714
Afghanistan,Dates,1000.9999997747374
Afghanistan,Eggs,12132.428657934812
Afghanistan,"Fats, Animals, Raw",10966.262883892023
Afghanistan,"Fish, Seafood",11688.150028574557
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99348769384
Afghanistan,Goats,3605667.242389088
Afghanistan,Grapefruit and products,999.896799373279
Afghanistan,Grapes and products (excl wine),993592.8901872534
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,3951.5690633755635
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43354.21840348409
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5825123794666
Afghanistan,Maize Germ Oil,309.67131006149566
Afghanistan,Maize and products,48424.804013421905
Afghanistan,"Meat, Other",11888.95698821618
Afghanistan,Milk - Excluding Butter,2107456.9829887887
Afghanistan,Millet and products,2734.6479862980796
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,156882.66027871365
Afghanistan,Nuts and products,76101.48227311423
Afghanistan,Oats,280.82969486913686
Afghanistan,"Offals, Edible",50768.592020064665
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",5022.333900353032
Afghanistan,"Oilcrops, Other",5744.343981791282
Afghanistan,"Oilseed Cakes, Other",3005.488489348793
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346052.9475664987
Afghanistan,"Oranges, Mandarines",144039.98548572266
Afghanistan,Palm Oil,155244.61473637537
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,3840.1359943323573
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.0762712598034
Afghanistan,Pineapples and products,902.3987686858253
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,131652.30443256404
Afghanistan,Poultry Birds,5975755.399043424
Afghanistan,Poultry Meat,13237.197547747699
Afghanistan,"Pulses, Other and products",10897.559904506608
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,131.5556674025287
Afghanistan,Rape and Mustard Oil,274.5948031127462
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,124702.95538870947
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,10392.157811962696
Afghanistan,Sesame seed,5893.31408957943
Afghanistan,Sesameseed Cake,474.5521012132771
Afghanistan,Sesameseed Oil,280.6340042656872
Afghanistan,Sheep,6915714.916348726
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,149.1884073337865
Afghanistan,Soyabean Cake,3099.5701457765144
Afghanistan,Soyabean Oil,741.1034498469417
Afghanistan,Soyabeans,1089.3855516978442
Afghanistan,"Spices, Other",19975.249628229114
Afghanistan,Sugar (Raw Equivalent),263565.035729801
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,1383.9267841384014
Afghanistan,Sunflowerseed Cake,965.7461121120785
Afghanistan,Sunflowerseed Oil,14210.956462246135
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",7075.831223982791
Afghanistan,Tea (including mate),14977.066100008049
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,16998.99988529074
Afghanistan,"Vegetables, Other",3337921.998214712
Afghanistan,Wheat and products,1055573.6867720992
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13700.527940992597
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",139.05383666750149
Albania,Apples and products,108894.11003688705
Albania,Asses,0.0
Albania,Bananas,27051.999753918502
Albania,Barley and products,3332.893454589962
Albania,Beans,3903.714194710304
Albania,Beer,18698.84651003351
Albania,"Beverages, Alcoholic",3542.2535895216774
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,33134.32372644008
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",3848.0882904611935
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,276143.7536897337
Albania,"Cereals, Other",331.84148742859287
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.150260520615
Albania,Copra Cake,2.4853159400889635
Albania,Cotton lint,246.4018556144793
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.0
