area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",113946.69664657052
Afghanistan,Apples and products,0.0001318272897891235
Afghanistan,Asses,
Afghanistan,Bananas,5.968237820058152e-07
Afghanistan,Barley and products,1129.5854539186357
Afghanistan,Beans,69.97137174736667
Afghanistan,Beer,23357.021662404917
Afghanistan,"Beverages, Alcoholic",555.0627570356551
Afghanistan,"Beverages, Fermented",4690.727591135386
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,8.027366168856823e-10
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",65.21457663474402
Afghanistan,"Citrus, Other",4.706962503029805
Afghanistan,Cloves,1.3181148973328374e-12
Afghanistan,Cocoa Beans and products,0.005502105164185342
Afghanistan,Coconut Oil,0.009692784463033732
Afghanistan,Coconuts - Incl Copra,10.306797583719346
Afghanistan,Coffee and products,6.867154664041482e-07
Afghanistan,Copra Cake,0.00011246834675672466
Afghanistan,Cotton lint,3008.638605882978
Afghanistan,Cottonseed,6778.022039066521
Afghanistan,Cottonseed Cake,2147.7778146887945
Afghanistan,Cottonseed Oil,1004.6447910785303
Afghanistan,Dates,0.0005722730104309205
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",89.48230813458808
Afghanistan,Fodder crops,1.2388653344129516e-14
Afghanistan,"Fruits, Other",7.078976533403926e-05
Afghanistan,Goats,
Afghanistan,Grapefruit and products,0.005154814553254438
Afghanistan,Grapes and products (excl wine),1.5003161512346325e-09
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.01367566476126369
Afghanistan,Groundnut Oil,0.6203288446507136
Afghanistan,Groundnuts,2151.6713294617434
Afghanistan,"Hard Fibres, Other",2.7715275429261382e-12
Afghanistan,Hides and skins,
Afghanistan,Honey,1.323019619432389
Afghanistan,Hops,0.0043672315436521
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,
Afghanistan,"Lemons, Limes and products",1.9634570716355554e-09
Afghanistan,Maize Germ Oil,40.19001503610801
Afghanistan,Maize and products,14975.272944950486
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,2270963.548227065
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,3.321536650343696e-05
Afghanistan,Oats,239.96309637586063
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",9268.87072221938
Afghanistan,"Oilcrops, Other",3427.210798140656
Afghanistan,"Oilseed Cakes, Other",1572.366512399426
Afghanistan,Olive Oil,0.02783803865035107
Afghanistan,Olives (including preserved),7.346595124002366e-12
Afghanistan,Onions,0.00010356232592899463
Afghanistan,"Oranges, Mandarines",2.776881661487101e-08
Afghanistan,Palm Oil,3.444813451008116e-09
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.001134758862052767
Afghanistan,Palmkernel Oil,4.230580910025015e-06
Afghanistan,Peas,6.307841175583684
Afghanistan,Pepper,0.0002491184891292336
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,0.7937888097006881
Afghanistan,Pineapples and products,1.974037156803771e-10
Afghanistan,Plantains,1.4381342489242668e-20
Afghanistan,Potatoes and products,7346.201259347909
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",5551.70967259017
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,733.7407558720705
Afghanistan,Rape and Mustard Oil,508.84497640094514
Afghanistan,Rape and Mustardseed,1967.6908297084221
Afghanistan,Rice and products,2887.346813649113
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",1028.2036121358663
Afghanistan,Rubber,0.0010584688413037267
Afghanistan,Rye and products,81.68641915065835
Afghanistan,Seed cotton,10479.07943798739
Afghanistan,Sesame seed,13452.559398915939
Afghanistan,Sesameseed Cake,901.8030147962475
Afghanistan,Sesameseed Oil,450.58576822514283
Afghanistan,Sheep,
Afghanistan,Silk,549.0
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.026339692428966898
Afghanistan,Sorghum and products,396747745.85958374
Afghanistan,Soyabean Cake,22390506.771267965
Afghanistan,Soyabean Oil,15437603.44144963
Afghanistan,Soyabeans,52422450.07132829
Afghanistan,"Spices, Other",0.20574407388753294
Afghanistan,Sugar (Raw Equivalent),146375.00184425866
Afghanistan,Sugar beet,0.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,5482280.354837045
Afghanistan,Sunflowerseed Cake,830508.7052240416
Afghanistan,Sunflowerseed Oil,3360833.055177967
Afghanistan,Sweet potatoes,105.78756795480969
Afghanistan,"Sweeteners, Other",3942.8432213449205
Afghanistan,Tea (including mate),5.570629022186754e-08
Afghanistan,Tobacco,0.09983760831279481
Afghanistan,Tomatoes and products,2.336028852492448e-09
Afghanistan,"Vegetables, Other",602.4544252848704
Afghanistan,Wheat and products,43211.27724672837
Afghanistan,Wine,2.1581106757149628e-05
Afghanistan,Wool (Clean Eq.),
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",22053.032924061637
Albania,Apples and products,0.0002515213512062095
Albania,Asses,
Albania,Bananas,1.578753720985751e-08
Albania,Barley and products,57.05979561562077
Albania,Beans,6122.26028420022
Albania,Beer,11127.908237201644
Albania,"Beverages, Alcoholic",5281.715825909313
Albania,"Beverages, Fermented",31.48090967743819
Albania,Bovine Meat,
Albania,Buffaloes,
Albania,"Butter, Ghee",
Albania,"Camelids, other",0.0
Albania,Camels,
Albania,Cassava and products,1.998402624831257e-08
Albania,Cattle,
Albania,"Cereals, Other",284.26148063055814
Albania,"Citrus, Other",16.094187162458038
Albania,Cloves,7.439097366182055e-13
Albania,Cocoa Beans and products,0.004176114032153008
Albania,Coconut Oil,0.0002601376002625135
Albania,Coconuts - Incl Copra,0.2627966993676215
Albania,Coffee and products,8.038325575527347e-06
Albania,Copra Cake,0.020535432638641875
Albania,Cotton lint,3692.9602770463575
Albania,Cottonseed,1001.2216472152802
Albania,Cottonseed Cake,31.154566025006478
Albania,Cottonseed Oil,313.4358101654635
Albania,Dates,0.001746249957718813
Albania,Eggs,
Albania,"Fats, Animals, Raw",
Albania,"Fish, Seafood",1836.5349278337612
Albania,Fodder crops,2.866328490698102e-14
Albania,"Fruits, Other",0.0002895570645954818
Albania,Goats,
Albania,Grapefruit and products,0.05382104260330416
Albania,Grapes and products (excl wine),5.483160078724196e-09
Albania,Grazing,0.0
Albania,Groundnut Cake,39.793530743963856
Albania,Groundnut Oil,85.23117078373465
Albania,Groundnuts,157.58226473867802
Albania,"Hard Fibres, Other",7.933157419714807e-11
Albania,Hides and skins,
Albania,Honey,1.6995935716932284
Albania,Hops,0.1873722049055276
Albania,Horses,
Albania,Jute,0.0
Albania,Jute-Like Fibres,
Albania,"Lemons, Limes and products",3.4326483394729372e-09
Albania,Maize Germ Oil,42.09228425393197
Albania,Maize and products,115753.52817689262
Albania,"Meat, Other",
Albania,Milk - Excluding Butter,
Albania,Millet and products,5343830.304493897
Albania,Mules,
Albania,Mutton & Goat Meat,
Albania,Nuts and products,5.223448278151351e-05
Albania,Oats,7143.904442112064
Albania,"Offals, Edible",
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",5862.890822758022
Albania,"Oilcrops, Other",1672.1836451674444
Albania,"Oilseed Cakes, Other",6.811759168181764
Albania,Olive Oil,3.2436613250586324
Albania,Olives (including preserved),1.501342564007805e-11
Albania,Onions,0.00041283589634015034
Albania,"Oranges, Mandarines",1.8352777656063557e-08
Albania,Palm Oil,2.7058768954336863e-10
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0033251152545775166
Albania,Palmkernel Oil,7.182135178586714e-05
Albania,Peas,348.2104463781739
Albania,Pepper,0.007470008245082952
Albania,Pigmeat,
Albania,Pigs,
Albania,Pimento,0.4126581006326455
Albania,Pineapples and products,3.701648982965174e-10
Albania,Plantains,1.2644140989426738e-20
Albania,Potatoes and products,3537.272680618511
Albania,Poultry Birds,
Albania,Poultry Meat,
Albania,"Pulses, Other and products",5990.579772630825
Albania,Rabbits and hares,
Albania,Rape and Mustard Cake,1459.9019031182522
Albania,Rape and Mustard Oil,1557.0212370831364
Albania,Rape and Mustardseed,6606.619701323365
Albania,Rice and products,3668.2589236984545
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",28949.85797485659
Albania,Rubber,3.5504487358707025e-05
Albania,Rye and products,3159.344808247598
Albania,Seed cotton,691.0
Albania,Sesame seed,8255.469487665649
