area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",526.0408849400104
Afghanistan,Apples and products,273355.2152460835
Afghanistan,Asses,0.0
Afghanistan,Bananas,96917.49934172437
Afghanistan,Barley and products,20042.085254522648
Afghanistan,Beans,0.0
Afghanistan,Beer,31.74637844387506
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124218.1358343685
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",35243.4654128793
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20256.971453598773
Afghanistan,Cassava and products,2896.5088527203416
Afghanistan,Cattle,651713.3466748776
Afghanistan,"Cereals, Other",16.69619751797131
Afghanistan,"Citrus, Other",54795.95480637805
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,761.6611066350082
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,3467.480869897128
Afghanistan,Cottonseed,6810.109728112197
Afghanistan,Cottonseed Cake,2981.006481913468
Afghanistan,Cottonseed Oil,2621.6270852981133
Afghanistan,Dates,1000.9999997751463
Afghanistan,Eggs,12029.468124771072
Afghanistan,"Fats, Animals, Raw",10966.704741107988
Afghanistan,"Fish, Seafood",11688.986432063439
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99306186644
Afghanistan,Goats,3605705.339835018
Afghanistan,Grapefruit and products,999.8967993733052
Afghanistan,Grapes and products (excl wine),993579.0447554878
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,3971.7113068390277
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43356.836023349104
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5925225535152
Afghanistan,Maize Germ Oil,298.59334115378124
Afghanistan,Maize and products,57229.341394393115
Afghanistan,"Meat, Other",11890.257590036596
Afghanistan,Milk - Excluding Butter,2107914.5962329917
Afghanistan,Millet and products,2735.1102432040243
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,156884.2381267594
Afghanistan,Nuts and products,75976.30442369576
Afghanistan,Oats,271.5799398319163
Afghanistan,"Offals, Edible",50770.44593271422
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",5038.517274080104
Afghanistan,"Oilcrops, Other",5795.4372465837405
Afghanistan,"Oilseed Cakes, Other",3032.7154986898768
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346052.99998903833
Afghanistan,"Oranges, Mandarines",138368.61122529118
Afghanistan,Palm Oil,155244.71094477037
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,2794.0192350331636
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.0762712598485
Afghanistan,Pineapples and products,935.7268476466347
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,134739.59982565988
Afghanistan,Poultry Birds,5990223.589660032
Afghanistan,Poultry Meat,13120.351390898024
Afghanistan,"Pulses, Other and products",10998.855735407404
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,132.94225627076742
Afghanistan,Rape and Mustard Oil,277.4752156184289
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,125203.63167438272
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.6675847167438048
Afghanistan,Seed cotton,10507.715555905117
Afghanistan,Sesame seed,5958.846012098152
Afghanistan,Sesameseed Cake,479.8289812599037
Afghanistan,Sesameseed Oil,283.75457200467395
Afghanistan,Sheep,6915788.030440462
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,148.37079394236432
Afghanistan,Soyabean Cake,3133.9016630129945
Afghanistan,Soyabean Oil,749.2589247354184
Afghanistan,Soyabeans,1101.488768673509
Afghanistan,"Spices, Other",19974.862222085205
Afghanistan,Sugar (Raw Equivalent),264437.9283583493
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,1393.3174836452731
Afghanistan,Sunflowerseed Cake,972.3848375210345
Afghanistan,Sunflowerseed Oil,14365.673802592626
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",7074.312249122627
Afghanistan,Tea (including mate),14977.241131045683
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,16172.784860843958
Afghanistan,"Vegetables, Other",3337921.996674232
Afghanistan,Wheat and products,972629.3554145715
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13700.656240887465
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",142.15663084106563
Albania,Apples and products,108848.35375978702
Albania,Asses,0.0
Albania,Bananas,26355.830707370093
Albania,Barley and products,3284.135764727208
Albania,Beans,3891.160503912017
Albania,Beer,18569.575120362886
Albania,"Beverages, Alcoholic",3473.0562370625967
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,33140.1720760936
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",3849.3134852067383
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,276200.46290658595
Albania,"Cereals, Other",353.6040101405421
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.150260520931
Albania,Copra Cake,2.5115813181860234
Albania,Cotton lint,246.40632246087497
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.0
Albania,Cottonseed Oil,72.0
Albania,Dates,15000.0
Albania,Eggs,17036.15389405081
Albania,"Fats, Animals, Raw",3917.8650115171654
Albania,"Fish, Seafood",19207.324987987115
Albania,Fodder crops,6408178.905014191
Albania,"Fruits, Other",166561.98975539528
Albania,Goats,743658.3505156678
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203929.33172182727
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,154.04320037853415
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,13609.615796754593
Albania,Honey,5000.0
Albania,Hops,1801.724788916337
Albania,Horses,2.6933840980503643
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9498.793421402637
Albania,Maize Germ Oil,256.94833361783236
Albania,Maize and products,73844.92650540448
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1031009.4190566817
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,23841.368354472685
Albania,Nuts and products,16828.560103256124
Albania,Oats,5117.704341744412
Albania,"Offals, Edible",10602.264128965995
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",3495.254383004095
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",123.92217019349954
Albania,Olive Oil,13816.823417548856
Albania,Olives (including preserved),139818.48950746347
Albania,Onions,106686.99995494701
Albania,"Oranges, Mandarines",63185.436361387176
Albania,Palm Oil,1971.642734790933
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,0.2393693125947197
Albania,Pepper,0.0
Albania,Pigmeat,5149.004070275066
Albania,Pigs,70335.42472543355
Albania,Pimento,0.0
Albania,Pineapples and products,986.3452574978636
Albania,Plantains,0.0
Albania,Potatoes and products,37445.71316528728
Albania,Poultry Birds,3481762.515197496
Albania,Poultry Meat,9529.997153873193
Albania,"Pulses, Other and products",542.8078292005987
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,3680.784495299144
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,3000.0224560430756
Albania,Seed cotton,691.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,1211051.9715498968
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,2935.3109421250256
Albania,Soyabean Oil,201.71623553312403
Albania,Soyabeans,441.0
Albania,"Spices, Other",343.0
Albania,Sugar (Raw Equivalent),49664.20604818724
Albania,Sugar beet,27000.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,1000.0
Albania,Sunflowerseed Cake,698.2414513068513
Albania,Sunflowerseed Oil,2726.8880477759417
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",13728.31078630625
Albania,Tea (including mate),0.0
Albania,Tobacco,4231.775905041084
Albania,Tomatoes and products,318921.72397398285
Albania,"Vegetables, Other",878142.6406453535
Albania,Wheat and products,35086.958270968134
Albania,Wine,5967.963942216829
Albania,Wool (Clean Eq.),2811.917248698537
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",576.6792336685909
Algeria,Apples and products,571618.8660769925
Algeria,Asses,0.0
Algeria,Bananas,249197.97797672954
Algeria,Barley and products,278398.35492247634
Algeria,Beans,9083.318127964489
Algeria,Beer,22989.313558426795
Algeria,"Beverages, Alcoholic",1958.7810017612003
Algeria,"Beverages, Fermented",0.0
Algeria,Bovine Meat,149965.6154149977
Algeria,Buffaloes,0.0
Algeria,"Butter, Ghee",13345.019969008026
Algeria,"Camelids, other",0.0
Algeria,Camels,37129.26081702581
Algeria,Cassava and products,1987.2321388709531
Algeria,Cattle,571262.4728078207
Algeria,"Cereals, Other",1496.5546799533543
Algeria,"Citrus, Other",1000.0
Algeria,Cloves,1999.9999999999995
Algeria,Cocoa Beans and products,1982.0354611558378
Algeria,Coconut Oil,1475.267290196525
Algeria,Coconuts - Incl Copra,736.6875911532402
Algeria,Coffee and products,84997.12199868556
Algeria,Copra Cake,12.836971181839672
Algeria,Cotton lint,1154.818536236953
Algeria,Cottonseed,54.0
Algeria,Cottonseed Cake,5.088080303539579
Algeria,Cottonseed Oil,0.0
Algeria,Dates,1152000.0
Algeria,Eggs,41870.60389867308
Algeria,"Fats, Animals, Raw",10955.833507995161
Algeria,"Fish, Seafood",74322.67464466368
Algeria,Fodder crops,4094070.5140631963
Algeria,"Fruits, Other",962684.9573375811
Algeria,Goats,1734431.6259638132
Algeria,Grapefruit and products,2000.0
Algeria,Grapes and products (excl wine),583026.3841906633
Algeria,Grazing,22232517.0
Algeria,Groundnut Cake,8060.407575577272
Algeria,Groundnut Oil,7203.223928129826
Algeria,Groundnuts,24715.71705940422
Algeria,"Hard Fibres, Other",0.0
Algeria,Hides and skins,66185.78515789018
Algeria,Honey,5000.0
Algeria,Hops,0.0
Algeria,Horses,2228.471157642045
Algeria,Jute,0.0
Algeria,Jute-Like Fibres,0.0
Algeria,"Lemons, Limes and products",85000.0
Algeria,Maize Germ Oil,69.74543624731896
Algeria,Maize and products,662009.647320038
Algeria,"Meat, Other",8531.529139931103
Algeria,Milk - Excluding Butter,2706706.375749557
Algeria,Millet and products,1623.4523092687539
Algeria,Mules,0.0
Algeria,Mutton & Goat Meat,333668.50242035184
Algeria,Nuts and products,80954.71830251926
Algeria,Oats,11828.34638434138
Algeria,"Offals, Edible",45037.75453842226
Algeria,"Oil, palm fruit",0.0
Algeria,"Oilcrops Oil, Other",87872.34166211693
Algeria,"Oilcrops, Other",1357.0329852014984
Algeria,"Oilseed Cakes, Other",0.0
Algeria,Olive Oil,122000.00000000001
Algeria,Olives (including preserved),1080000.0
Algeria,Onions,1666000.0
Algeria,"Oranges, Mandarines",1487919.877628948
Algeria,Palm Oil,98772.33248636265
Algeria,Palm kernels,0.0
Algeria,Palmkernel Cake,18.830539608863965
Algeria,Palmkernel Oil,0.0
Algeria,Peas,1842.7710836922897
Algeria,Pepper,2994.3587308041974
