area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",384.38006026257636
Afghanistan,Apples and products,273405.0271708664
Afghanistan,Asses,0.0
Afghanistan,Bananas,97000.99140984674
Afghanistan,Barley and products,18567.3698227549
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124926.70976929978
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",37829.64991844648
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,21054.96371894856
Afghanistan,Cassava and products,2896.508852720102
Afghanistan,Cattle,670666.5746077592
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",54795.954806212365
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,759.4172129885495
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,3429.5107155863852
Afghanistan,Cottonseed,6735.536593623014
Afghanistan,Cottonseed Cake,2948.363443191423
Afghanistan,Cottonseed Oil,2592.96967928901
Afghanistan,Dates,1000.9999997747392
Afghanistan,Eggs,13741.729913138799
Afghanistan,"Fats, Animals, Raw",11000.805276553936
Afghanistan,"Fish, Seafood",11688.153607784323
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99306134554
Afghanistan,Goats,3619115.6491486453
Afghanistan,Grapefruit and products,999.8967993732791
Afghanistan,Grapes and products (excl wine),993592.8901872534
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,3951.653934882884
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43559.659456929774
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5706481923569
Afghanistan,Maize Germ Oil,309.68501154259616
Afghanistan,Maize and products,48427.17623603009
Afghanistan,"Meat, Other",11989.182098161542
Afghanistan,Milk - Excluding Butter,2261970.19936453
Afghanistan,Millet and products,2734.764602415275
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157006.29814866796
Afghanistan,Nuts and products,76101.47174008009
Afghanistan,Oats,280.84305291283624
Afghanistan,"Offals, Edible",51318.82268752592
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",5022.400898873292
Afghanistan,"Oilcrops, Other",5744.562624485641
Afghanistan,"Oilseed Cakes, Other",3005.605004444474
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346052.99998901854
Afghanistan,"Oranges, Mandarines",144039.98537541242
Afghanistan,Palm Oil,155244.61514846337
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,3840.316861626453
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.076271259804
Afghanistan,Pineapples and products,944.0981293718169
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,131658.56866959596
Afghanistan,Poultry Birds,19050307.092181846
Afghanistan,Poultry Meat,15497.337743593198
Afghanistan,"Pulses, Other and products",10895.989135953514
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,131.56324660584622
Afghanistan,Rape and Mustard Oil,274.61041345811975
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,126459.01370973221
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,10392.652316602243
Afghanistan,Sesame seed,5893.594519420117
Afghanistan,Sesameseed Cake,474.57468249235336
Afghanistan,Sesameseed Oil,280.6473580676247
Afghanistan,Sheep,6941153.525611013
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,1484.5529243943497
Afghanistan,Soyabean Cake,5842.173555985718
Afghanistan,Soyabean Oil,798.7621513266162
Afghanistan,Soyabeans,7130309.014283599
Afghanistan,"Spices, Other",19975.248312394102
Afghanistan,Sugar (Raw Equivalent),263569.126136977
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,1383.9669696276328
Afghanistan,Sunflowerseed Cake,965.7744983213363
Afghanistan,Sunflowerseed Oil,14211.618138182916
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",7076.05089318864
Afghanistan,Tea (including mate),14977.241131044253
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,16998.999886196845
Afghanistan,"Vegetables, Other",3337921.996668262
Afghanistan,Wheat and products,1055624.1203085224
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13711.153082939087
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",139.0563975379409
Albania,Apples and products,108894.11003566516
