area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2899.6029030619657
Afghanistan,Apples and products,273347.0690576567
Afghanistan,Asses,0.0
Afghanistan,Bananas,96917.49934180563
Afghanistan,Barley and products,141263.01898952297
Afghanistan,Beans,0.0
Afghanistan,Beer,201.00535861962933
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,153019.63480799997
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",138211.51274773062
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,51988.73656122668
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,1404919.206050358
Afghanistan,"Cereals, Other",114.57094401647174
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.14292519704
Afghanistan,Cottonseed Oil,18480.987590163437
Afghanistan,Dates,525.8981056859675
Afghanistan,Eggs,105197.5988972876
Afghanistan,"Fats, Animals, Raw",12349.054588900548
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416136.79974323197
Afghanistan,Goats,4138527.818241376
Afghanistan,Grapefruit and products,994.9641500191985
Afghanistan,Grapes and products (excl wine),993569.326817295
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.22097620239
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,51578.46820729079
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1969.8835624442304
Afghanistan,Maize Germ Oil,1793.2308615403276
Afghanistan,Maize and products,403594.21412238164
Afghanistan,"Meat, Other",15912.047983205899
Afghanistan,Milk - Excluding Butter,8253712.867932308
Afghanistan,Millet and products,5962.558265038568
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,161829.25057189364
Afghanistan,Nuts and products,75942.8961282951
Afghanistan,Oats,1878.3632096705985
Afghanistan,"Offals, Edible",77472.37412200104
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13649.290398908146
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18006.376679944937
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,345387.28104349127
