area,item,combined_shocks
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",1997.1737511524784
Afghanistan,Apples and products,273492.7304546999
Afghanistan,Asses,0.0
Afghanistan,Bananas,97001.69729104238
Afghanistan,Barley and products,132254.72837541555
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,127010.64173417281
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",36000.000000000015
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20444.0
Afghanistan,Cassava and products,3143.0887841714566
Afghanistan,Cattle,655619.0
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",59141.96439058687
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2002.488870708509
Afghanistan,Coffee and products,1901.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,28804.000000000004
Afghanistan,Cottonseed,48000.0
Afghanistan,Cottonseed Cake,21024.999999999996
Afghanistan,Cottonseed Oil,19012.83180274248
Afghanistan,Dates,1001.0
Afghanistan,Eggs,45274.6696080535
Afghanistan,"Fats, Animals, Raw",11000.0
Afghanistan,"Fish, Seafood",14480.777030210342
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416173.5519949672
Afghanistan,Goats,3608368.0
Afghanistan,Grapefruit and products,1002.9669678959091
Afghanistan,Grapes and products (excl wine),993593.212461252
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15355.567649758976
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43557.0
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1999.182525434768
Afghanistan,Maize Germ Oil,2005.8390779741198
Afghanistan,Maize and products,343944.26043932233
Afghanistan,"Meat, Other",12000.0
Afghanistan,Milk - Excluding Butter,2153510.5563091803
Afghanistan,Millet and products,5997.531963329063
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157000.0
Afghanistan,Nuts and products,77272.51150418972
Afghanistan,Oats,2001.3866434302904
Afghanistan,"Offals, Edible",56275.00000000001
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",20000.56707775496
Afghanistan,"Oilcrops, Other",57293.283482322484
Afghanistan,"Oilseed Cakes, Other",29140.0
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346053.0
Afghanistan,"Oranges, Mandarines",144048.13408093224
Afghanistan,Palm Oil,164390.59526467926
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,31020.070105116632
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,3000.5963356780003
Afghanistan,Pineapples and products,1067.5082090224123
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,938101.6490253679
Afghanistan,Poultry Birds,34692000.00000001
Afghanistan,Poultry Meat,67957.30987323656
Afghanistan,"Pulses, Other and products",87417.96467941058
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,1618.9999999999995
Afghanistan,Rape and Mustard Oil,2026.9262662492674
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,473554.31097672874
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,74061.99999999999
Afghanistan,Sesame seed,41999.99999999998
Afghanistan,Sesameseed Cake,3381.9999999999995
Afghanistan,Sesameseed Oil,1999.9999999999995
Afghanistan,Sheep,6920888.875182566
Afghanistan,Silk,557.0
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,1053.544333281806
Afghanistan,Soyabean Cake,26379.000000000007
Afghanistan,Soyabean Oil,6062.307420039957
Afghanistan,Soyabeans,11464.302786307959
Afghanistan,"Spices, Other",19979.762643565537
Afghanistan,Sugar (Raw Equivalent),874755.7401176478
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,7554.005953330979
Afghanistan,Sunflowerseed Cake,5119.999999999999
Afghanistan,Sunflowerseed Oil,101385.15697231764
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",20585.977170515267
Afghanistan,Tea (including mate),15408.996482273718
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,17001.499286028953
Afghanistan,"Vegetables, Other",3338000.9253011514
Afghanistan,Wheat and products,7694339.028275182
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13712.000000000002
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",998.2971738987757
Albania,Apples and products,108912.39297897767
Albania,Asses,0.0
Albania,Bananas,27104.169483224367
Albania,Barley and products,23584.8402773223
Albania,Beans,24502.363620622615
Albania,Beer,85407.33780920782
Albania,"Beverages, Alcoholic",4008.36031144547
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,33998.15219210455
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",4000.0
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283436.9999999999
Albania,"Cereals, Other",1056.4052550686445
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,8010.971510055913
Albania,Copra Cake,18.000000000000004
Albania,Cotton lint,249.00000000000003
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.0
Albania,Cottonseed Oil,72.0
Albania,Dates,15000.0
Albania,Eggs,54000.0
Albania,"Fats, Animals, Raw",4008.1831223164554
Albania,"Fish, Seafood",33120.929000266115
Albania,Fodder crops,6408178.980831527
Albania,"Fruits, Other",166566.23421387665
Albania,Goats,748414.0
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203968.66380498477
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,1009.0071613322589
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,15496.000000000002
Albania,Honey,5000.0
Albania,Hops,1809.0000000000005
Albania,Horses,3.000000000000001
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9500.5493236111
Albania,Maize Germ Oil,2002.3465505027355
Albania,Maize and products,477247.4628177521
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1072408.3334597729
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,24000.0
Albania,Nuts and products,16884.30372894339
Albania,Oats,36000.0
Albania,"Offals, Edible",14453.0
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",5992.067822662591
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",982.0
Albania,Olive Oil,14100.043375218343
Albania,Olives (including preserved),139826.52473972036
Albania,Onions,106687.0
Albania,"Oranges, Mandarines",63457.960295902914
Albania,Palm Oil,2032.0556569840853
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,0.0
Albania,Pepper,0.0
Albania,Pigmeat,15013.591288465926
Albania,Pigs,182045.99999999994
Albania,Pimento,0.0
Albania,Pineapples and products,1005.755647870714
Albania,Plantains,0.0
Albania,Potatoes and products,263213.16440823843
Albania,Poultry Birds,11024200.608660422
Albania,Poultry Meat,40010.77769116465
Albania,"Pulses, Other and products",4058.035323648025
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,31703.54492313662
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,3000.0
Albania,Seed cotton,691.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,1219264.0000000007
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,21700.000000000007
Albania,Soyabean Oil,1064.863599372885
Albania,Soyabeans,441.0
Albania,"Spices, Other",343.0
Albania,Sugar (Raw Equivalent),64992.896404913845
Albania,Sugar beet,27000.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,1000.0
Albania,Sunflowerseed Cake,1744.0000000000002
Albania,Sunflowerseed Oil,23072.082297827204
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",61749.88658955323
Albania,Tea (including mate),0.0
Albania,Tobacco,4253.0
Albania,Tomatoes and products,318927.31343376706
Albania,"Vegetables, Other",878148.8179997331
Albania,Wheat and products,534393.462134509
Albania,Wine,6008.472909815331
Albania,Wool (Clean Eq.),2830.999999999999
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",2045.2574211130918
Algeria,Apples and products,571678.3088756489
Algeria,Asses,0.0
