area,item,ai_e_index,combined_shocks
Afghanistan,Abaca,,0.0
Afghanistan,"Alcohol, Non-Food",,1734.2051293082325
Afghanistan,Apples and products,,458083.5983465756
Afghanistan,Asses,,0.0
Afghanistan,Bananas,,96927.69138828714
Afghanistan,Barley and products,,103364.09434177305
Afghanistan,Beans,,7.730294154250369
Afghanistan,Beer,,2497.1155080611966
Afghanistan,"Beverages, Alcoholic",,263.20867734150823
Afghanistan,"Beverages, Fermented",,21.087761073169347
Afghanistan,Bovine Meat,,
Afghanistan,Buffaloes,,
Afghanistan,"Butter, Ghee",,
Afghanistan,"Camelids, other",,0.0
Afghanistan,Camels,,
Afghanistan,Cassava and products,,2891.1212488821325
Afghanistan,Cattle,,
Afghanistan,"Cereals, Other",,19.13724025870168
Afghanistan,"Citrus, Other",,56911.05482029773
Afghanistan,Cloves,,0.0
Afghanistan,Cocoa Beans and products,,0.0
Afghanistan,Coconut Oil,,0.0
Afghanistan,Coconuts - Incl Copra,,2000.97216094269
Afghanistan,Coffee and products,,31.491343386722477
Afghanistan,Copra Cake,,0.0
Afghanistan,Cotton lint,,-6402.76575333141
Afghanistan,Cottonseed,,-22208.93521568808
Afghanistan,Cottonseed Cake,,-6170.283923278784
Afghanistan,Cottonseed Oil,,-576.254138017209
Afghanistan,Dates,,1003.9998183937904
Afghanistan,Eggs,,
Afghanistan,"Fats, Animals, Raw",,
Afghanistan,"Fish, Seafood",,19078.809677715402
Afghanistan,Fodder crops,,0.0019200817007210488
Afghanistan,"Fruits, Other",,691400.723143723
Afghanistan,Goats,,
Afghanistan,Grapefruit and products,,998.9052371309978
Afghanistan,Grapes and products (excl wine),,4536.682655032154
Afghanistan,Grazing,,0.0
Afghanistan,Groundnut Cake,,0.0
Afghanistan,Groundnut Oil,,0.053403658120687
Afghanistan,Groundnuts,,10880.083275050298
Afghanistan,"Hard Fibres, Other",,0.0
Afghanistan,Hides and skins,,
Afghanistan,Honey,,3362.768294743958
Afghanistan,Hops,,0.0
Afghanistan,Horses,,
Afghanistan,Jute,,0.0
Afghanistan,Jute-Like Fibres,,0.0
Afghanistan,"Lemons, Limes and products",,1603.8039216179866
Afghanistan,Maize Germ Oil,,1425.5624469739585
Afghanistan,Maize and products,,803450.6982972432
Afghanistan,"Meat, Other",,
Afghanistan,Milk - Excluding Butter,,
Afghanistan,Millet and products,,7388.304455826666
Afghanistan,Mules,,0.0
Afghanistan,Mutton & Goat Meat,,
Afghanistan,Nuts and products,,117287.82030325284
Afghanistan,Oats,,1718.310615804259
Afghanistan,"Offals, Edible",,
Afghanistan,"Oil, palm fruit",,0.0
Afghanistan,"Oilcrops Oil, Other",,107124.44965012989
Afghanistan,"Oilcrops, Other",,270298.0584214601
Afghanistan,"Oilseed Cakes, Other",,190848.12547641646
Afghanistan,Olive Oil,,1246.8578180435527
Afghanistan,Olives (including preserved),,465.19855000073665
Afghanistan,Onions,,568196.7051958385
Afghanistan,"Oranges, Mandarines",,136868.66976117122
Afghanistan,Palm Oil,,156195.26842184184
Afghanistan,Palm kernels,,0.0
Afghanistan,Palmkernel Cake,,0.0
Afghanistan,Palmkernel Oil,,0.0
Afghanistan,Peas,,24079.434938754937
Afghanistan,Pepper,,0.0
Afghanistan,Pigmeat,,
Afghanistan,Pigs,,
Afghanistan,Pimento,,2995.015734284371
Afghanistan,Pineapples and products,,937.8357903853994
Afghanistan,Plantains,,0.0
Afghanistan,Potatoes and products,,928017.5794282102
Afghanistan,Poultry Birds,,
Afghanistan,Poultry Meat,,
Afghanistan,"Pulses, Other and products",,36865.91924222668
Afghanistan,Rabbits and hares,,
Afghanistan,Rape and Mustard Cake,,2777.7380405553654
Afghanistan,Rape and Mustard Oil,,13522.163906783777
Afghanistan,Rape and Mustardseed,,51.21641318356688
