,0
0,
1,
2,"  (0, 0)	271000.0"
3,
4,
5,"  (0, 0)	128000.00000000001"
6,
7,
8,
9,
10,"  (0, 0)	117996.99999999996"
11,
12,"  (0, 0)	36000.000000000015"
13,
14,"  (0, 0)	20444.0"
15,
16,"  (0, 0)	655619.0"
17,
18,"  (0, 0)	4453.0"
19,
20,
21,
22,
23,"  (0, 0)	1901.0"
24,
25,"  (0, 0)	28804.000000000004"
26,"  (0, 0)	48000.0"
27,"  (0, 0)	20693.984256088275"
28,"  (0, 0)	8075.000000000001"
29,
30,"  (0, 0)	20000.0"
31,"  (0, 0)	11000.0"
32,"  (0, 0)	10507.0"
33,
34,"  (0, 0)	404000.0"
35,"  (0, 0)	3608368.0"
36,
37,"  (0, 0)	993000.0"
38,"  (0, 0)	38066589.0"
39,
40,
41,
42,
43,"  (0, 0)	43544.0"
44,"  (0, 0)	2000.0"
45,
46,
47,
48,
49,
50,
51,"  (0, 0)	271999.99999999994"
52,"  (0, 0)	12000.0"
53,"  (0, 0)	2137000.0000000005"
54,"  (0, 0)	2000.0"
55,
56,"  (0, 0)	157000.0"
57,"  (0, 0)	61997.0"
58,
59,"  (0, 0)	53000.00000000001"
60,
61,"  (0, 0)	16045.999999999998"
62,"  (0, 0)	38915.821695571314"
63,"  (0, 0)	29121.999382271184"
64,"  (0, 0)	1000.0000000000002"
65,"  (0, 0)	9000.0"
66,"  (0, 0)	326000.0"
67,"  (0, 0)	3000.0"
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,"  (0, 0)	854999.9999999997"
80,"  (0, 0)	3351000.0000000005"
81,"  (0, 0)	31933.0"
82,"  (0, 0)	44000.00000000001"
83,
84,
85,
86,
87,"  (0, 0)	440000.0000000001"
88,
89,
90,
91,
92,
93,"  (0, 0)	74061.99999999999"
94,"  (0, 0)	41999.99999999998"
95,"  (0, 0)	3381.9999999999995"
96,"  (0, 0)	1999.9999999999995"
97,"  (0, 0)	6920888.875182566"
98,"  (0, 0)	550.0"
99,
100,
101,
102,
103,
104,
105,"  (0, 0)	18000.0"
106,"  (0, 0)	999.9999999999995"
107,"  (0, 0)	5000.0"
108,"  (0, 0)	40000.0"
109,
110,"  (0, 0)	419.0254103839522"
111,"  (0, 0)	5056.330540431188"
112,"  (0, 0)	3035.9999999999995"
113,
114,"  (0, 0)	387.17096604456145"
115,
116,
117,
118,"  (0, 0)	3280000.0"
119,"  (0, 0)	5185000.000000001"
120,
121,"  (0, 0)	13548.000000000002"
122,
123,
124,
125,"  (0, 0)	102000.0"
126,
127,"  (0, 0)	52.0"
128,"  (0, 0)	12999.999999999996"
129,"  (0, 0)	23000.000000000004"
130,"  (0, 0)	56538.999999999985"
131,"  (0, 0)	3000.000000000001"
132,
133,"  (0, 0)	33000.0"
134,
135,"  (0, 0)	4000.0"
136,
137,
138,
