,,is_producer
Afghanistan,Abaca,False
Afghanistan,"Alcohol, Non-Food",False
Afghanistan,Apples and products,True
Afghanistan,Asses,False
Afghanistan,Bananas,False
Afghanistan,Barley and products,True
Afghanistan,Beans,False
Afghanistan,Beer,False
Afghanistan,"Beverages, Alcoholic",False
Afghanistan,"Beverages, Fermented",False
Afghanistan,Bovine Meat,True
Afghanistan,Buffaloes,False
Afghanistan,"Butter, Ghee",True
Afghanistan,"Camelids, other",False
Afghanistan,Camels,True
Afghanistan,Cassava and products,False
Afghanistan,Cattle,True
Afghanistan,"Cereals, Other",False
Afghanistan,"Citrus, Other",True
Afghanistan,Cloves,False
Afghanistan,Cocoa Beans and products,False
Afghanistan,Coconut Oil,False
Afghanistan,Coconuts - Incl Copra,False
Afghanistan,Coffee and products,False
Afghanistan,Copra Cake,False
Afghanistan,Cotton lint,True
Afghanistan,Cottonseed,True
Afghanistan,Cottonseed Cake,True
Afghanistan,Cottonseed Oil,True
Afghanistan,Dates,False
Afghanistan,Eggs,True
Afghanistan,"Fats, Animals, Raw",True
Afghanistan,"Fish, Seafood",True
Afghanistan,Fodder crops,False
Afghanistan,"Fruits, Other",True
Afghanistan,Goats,True
Afghanistan,Grapefruit and products,False
Afghanistan,Grapes and products (excl wine),True
Afghanistan,Grazing,True
Afghanistan,Groundnut Cake,False
Afghanistan,Groundnut Oil,False
Afghanistan,Groundnuts,False
Afghanistan,"Hard Fibres, Other",False
Afghanistan,Hides and skins,True
Afghanistan,Honey,True
Afghanistan,Hops,False
Afghanistan,Horses,False
Afghanistan,Jute,False
Afghanistan,Jute-Like Fibres,False
Afghanistan,"Lemons, Limes and products",False
Afghanistan,Maize Germ Oil,False
Afghanistan,Maize and products,True
Afghanistan,"Meat, Other",True
Afghanistan,Milk - Excluding Butter,True
Afghanistan,Millet and products,True
Afghanistan,Mules,False
Afghanistan,Mutton & Goat Meat,True
Afghanistan,Nuts and products,True
Afghanistan,Oats,False
Afghanistan,"Offals, Edible",True
Afghanistan,"Oil, palm fruit",False
Afghanistan,"Oilcrops Oil, Other",True
Afghanistan,"Oilcrops, Other",True
Afghanistan,"Oilseed Cakes, Other",True
Afghanistan,Olive Oil,True
Afghanistan,Olives (including preserved),True
Afghanistan,Onions,True
Afghanistan,"Oranges, Mandarines",True
Afghanistan,Palm Oil,False
Afghanistan,Palm kernels,False
Afghanistan,Palmkernel Cake,False
Afghanistan,Palmkernel Oil,False
Afghanistan,Peas,False
Afghanistan,Pepper,False
Afghanistan,Pigmeat,False
Afghanistan,Pigs,False
Afghanistan,Pimento,False
Afghanistan,Pineapples and products,False
Afghanistan,Plantains,False
Afghanistan,Potatoes and products,True
Afghanistan,Poultry Birds,True
Afghanistan,Poultry Meat,True
Afghanistan,"Pulses, Other and products",True
Afghanistan,Rabbits and hares,False
Afghanistan,Rape and Mustard Cake,False
Afghanistan,Rape and Mustard Oil,False
Afghanistan,Rape and Mustardseed,False
Afghanistan,Rice and products,True
Afghanistan,Ricebran Oil,False
Afghanistan,"Rodents, other",False
Afghanistan,"Roots, Other",False
Afghanistan,Rubber,False
Afghanistan,Rye and products,False
Afghanistan,Seed cotton,True
Afghanistan,Sesame seed,True
Afghanistan,Sesameseed Cake,True
Afghanistan,Sesameseed Oil,True
Afghanistan,Sheep,True
Afghanistan,Silk,True
Afghanistan,Sisal,False
Afghanistan,"Soft-Fibres, Other",False
Afghanistan,Sorghum and products,False
Afghanistan,Soyabean Cake,False
Afghanistan,Soyabean Oil,False
Afghanistan,Soyabeans,False
Afghanistan,"Spices, Other",True
Afghanistan,Sugar (Raw Equivalent),True
Afghanistan,Sugar beet,True
Afghanistan,Sugar cane,True
Afghanistan,Sugar non-centrifugal,False
Afghanistan,Sunflower seed,True
Afghanistan,Sunflowerseed Cake,True
Afghanistan,Sunflowerseed Oil,True
Afghanistan,Sweet potatoes,False
Afghanistan,"Sweeteners, Other",True
Afghanistan,Tea (including mate),False
Afghanistan,Tobacco,False
Afghanistan,Tomatoes and products,False
Afghanistan,"Vegetables, Other",True
Afghanistan,Wheat and products,True
Afghanistan,Wine,False
Afghanistan,Wool (Clean Eq.),True
Afghanistan,Yams,False
Albania,Abaca,False
Albania,"Alcohol, Non-Food",False
Albania,Apples and products,True
Albania,Asses,False
Albania,Bananas,False
Albania,Barley and products,True
Albania,Beans,True
Albania,Beer,True
Albania,"Beverages, Alcoholic",True
Albania,"Beverages, Fermented",False
Albania,Bovine Meat,True
Albania,Buffaloes,False
Albania,"Butter, Ghee",True
Albania,"Camelids, other",False
Albania,Camels,False
Albania,Cassava and products,False
Albania,Cattle,True
Albania,"Cereals, Other",False
Albania,"Citrus, Other",True
Albania,Cloves,False
Albania,Cocoa Beans and products,False
Albania,Coconut Oil,False
Albania,Coconuts - Incl Copra,False
Albania,Coffee and products,False
Albania,Copra Cake,False
Albania,Cotton lint,True
Albania,Cottonseed,True
Albania,Cottonseed Cake,True
Albania,Cottonseed Oil,True
Albania,Dates,True
Albania,Eggs,True
Albania,"Fats, Animals, Raw",True
Albania,"Fish, Seafood",True
Albania,Fodder crops,True
Albania,"Fruits, Other",True
Albania,Goats,True
Albania,Grapefruit and products,False
Albania,Grapes and products (excl wine),True
Albania,Grazing,True
Albania,Groundnut Cake,True
Albania,Groundnut Oil,True
Albania,Groundnuts,False
Albania,"Hard Fibres, Other",False
Albania,Hides and skins,True
Albania,Honey,True
Albania,Hops,True
Albania,Horses,False
Albania,Jute,False
Albania,Jute-Like Fibres,False
Albania,"Lemons, Limes and products",True
Albania,Maize Germ Oil,False
Albania,Maize and products,True
Albania,"Meat, Other",False
Albania,Milk - Excluding Butter,True
Albania,Millet and products,False
Albania,Mules,False
Albania,Mutton & Goat Meat,True
Albania,Nuts and products,True
Albania,Oats,True
Albania,"Offals, Edible",True
Albania,"Oil, palm fruit",False
Albania,"Oilcrops Oil, Other",True
Albania,"Oilcrops, Other",False
Albania,"Oilseed Cakes, Other",False
Albania,Olive Oil,True
Albania,Olives (including preserved),True
Albania,Onions,True
Albania,"Oranges, Mandarines",True
Albania,Palm Oil,False
Albania,Palm kernels,False
Albania,Palmkernel Cake,False
Albania,Palmkernel Oil,False
Albania,Peas,False
Albania,Pepper,False
Albania,Pigmeat,True
Albania,Pigs,True
Albania,Pimento,False
Albania,Pineapples and products,False
Albania,Plantains,False
Albania,Potatoes and products,True
Albania,Poultry Birds,True
Albania,Poultry Meat,True
Albania,"Pulses, Other and products",True
Albania,Rabbits and hares,False
Albania,Rape and Mustard Cake,False
Albania,Rape and Mustard Oil,False
Albania,Rape and Mustardseed,False
Albania,Rice and products,False
Albania,Ricebran Oil,False
Albania,"Rodents, other",False
Albania,"Roots, Other",False
Albania,Rubber,False
Albania,Rye and products,True
Albania,Seed cotton,True
Albania,Sesame seed,False
Albania,Sesameseed Cake,False
Albania,Sesameseed Oil,False
Albania,Sheep,True
Albania,Silk,False
Albania,Sisal,False
Albania,"Soft-Fibres, Other",False
Albania,Sorghum and products,False
Albania,Soyabean Cake,True
Albania,Soyabean Oil,True
Albania,Soyabeans,True
Albania,"Spices, Other",True
Albania,Sugar (Raw Equivalent),True
Albania,Sugar beet,True
Albania,Sugar cane,False
Albania,Sugar non-centrifugal,False
Albania,Sunflower seed,True
Albania,Sunflowerseed Cake,True
Albania,Sunflowerseed Oil,True
Albania,Sweet potatoes,False
Albania,"Sweeteners, Other",True
Albania,Tea (including mate),False
Albania,Tobacco,True
