area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",88089.78000405805
Afghanistan,Apples and products,0.00011182585378913144
Afghanistan,Asses,
Afghanistan,Bananas,5.075274125718991e-07
Afghanistan,Barley and products,852.9825319541037
Afghanistan,Beans,62.615983274923664
Afghanistan,Beer,18087.476796922252
Afghanistan,"Beverages, Alcoholic",551.9524723685195
Afghanistan,"Beverages, Fermented",3626.144287113475
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,6.842833053294988e-10
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",57.935238751422474
Afghanistan,"Citrus, Other",4.6888299810142335
Afghanistan,Cloves,1.1066147244635645e-12
Afghanistan,Cocoa Beans and products,0.005840865041446338
Afghanistan,Coconut Oil,0.007510682114861472
Afghanistan,Coconuts - Incl Copra,7.968797144333106
Afghanistan,Coffee and products,5.800486399927986e-07
Afghanistan,Copra Cake,8.726306127453046e-05
Afghanistan,Cotton lint,2326.142270128901
Afghanistan,Cottonseed,5239.405662899047
Afghanistan,Cottonseed Cake,1660.236901891934
Afghanistan,Cottonseed Oil,776.7162284991954
Afghanistan,Dates,0.000598788017077541
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",86.70459425140766
Afghanistan,Fodder crops,1.052692078427237e-14
Afghanistan,"Fruits, Other",6.0060234474654236e-05
Afghanistan,Goats,
Afghanistan,Grapefruit and products,0.00512397185521032
Afghanistan,Grapes and products (excl wine),1.262027978153299e-09
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.010528881560373996
Afghanistan,Groundnut Oil,0.4781116537167211
Afghanistan,Groundnuts,2141.987717469773
Afghanistan,"Hard Fibres, Other",2.3552428403586635e-12
Afghanistan,Hides and skins,
Afghanistan,Honey,1.3999479910735477
Afghanistan,Hops,0.004326178883579407
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,
Afghanistan,"Lemons, Limes and products",1.6629740600827147e-09
Afghanistan,Maize Germ Oil,31.523757884166724
Afghanistan,Maize and products,11026.728198813054
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,1755921.5329169135
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,2.826638595189566e-05
Afghanistan,Oats,167.5929906213905
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",9132.52264837617
Afghanistan,"Oilcrops, Other",3127.585520010782
Afghanistan,"Oilseed Cakes, Other",1439.2842330983008
Afghanistan,Olive Oil,0.02783700625895075
Afghanistan,Olives (including preserved),6.242571669004068e-12
Afghanistan,Onions,0.00010355595073697588
Afghanistan,"Oranges, Mandarines",2.3563699839245186e-08
Afghanistan,Palm Oil,2.9239092630791183e-09
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0009595727213196875
Afghanistan,Palmkernel Oil,3.5936077630117086e-06
Afghanistan,Peas,4.997713769272374
Afghanistan,Pepper,0.00026337523014900987
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,0.7811592726491265
Afghanistan,Pineapples and products,1.6682634984435757e-10
Afghanistan,Plantains,1.2221911208278479e-20
Afghanistan,Potatoes and products,5716.06351897123
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",4332.051780922615
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,672.4881862576997
Afghanistan,Rape and Mustard Oil,404.1788792409146
Afghanistan,Rape and Mustardseed,1581.2084624898969
Afghanistan,Rice and products,2248.66077016401
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",1028.1163871493127
Afghanistan,Rubber,0.0011206235448461732
Afghanistan,Rye and products,63.03541398252204
Afghanistan,Seed cotton,8100.352402490409
Afghanistan,Sesame seed,12670.540353025328
Afghanistan,Sesameseed Cake,854.4091971200562
Afghanistan,Sesameseed Oil,421.5801289151549
Afghanistan,Sheep,
Afghanistan,Silk,549.0
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.02670124261034137
Afghanistan,Sorghum and products,306677277.50634485
Afghanistan,Soyabean Cake,17292902.216727752
Afghanistan,Soyabean Oil,11931789.75577348
Afghanistan,Soyabeans,18369799.104708727
Afghanistan,"Spices, Other",0.21008798975610654
Afghanistan,Sugar (Raw Equivalent),143790.8465739957
Afghanistan,Sugar beet,0.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,4205908.788798839
Afghanistan,Sunflowerseed Cake,638683.980460122
Afghanistan,Sunflowerseed Oil,2594971.2799413227
Afghanistan,Sweet potatoes,105.70579025750857
Afghanistan,"Sweeteners, Other",3616.827770979151
Afghanistan,Tea (including mate),4.758546020661913e-08
Afghanistan,Tobacco,0.10202032114341217
Afghanistan,Tomatoes and products,1.961661792517302e-09
Afghanistan,"Vegetables, Other",602.4379901680632
Afghanistan,Wheat and products,23236.00526149362
Afghanistan,Wine,1.8268360674022453e-05
Afghanistan,Wool (Clean Eq.),
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",21255.435201940898
Albania,Apples and products,0.00021340025118154007
Albania,Asses,
Albania,Bananas,1.342793580888094e-08
Albania,Barley and products,42.999815651777304
Albania,Beans,4902.690009507547
Albania,Beer,8624.373367024988
Albania,"Beverages, Alcoholic",5275.864268097705
Albania,"Beverages, Fermented",25.90632882875733
Albania,Bovine Meat,
Albania,Buffaloes,
Albania,"Butter, Ghee",
Albania,"Camelids, other",0.0
Albania,Camels,
Albania,Cassava and products,1.7015846555370065e-08
Albania,Cattle,
Albania,"Cereals, Other",267.3672314078529
Albania,"Citrus, Other",16.09360128239163
Albania,Cloves,6.23025479161611e-13
