,item,item_substitute,substitutitability index,comm_group,group
0,Apples and products,Bananas,0.080926664,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Beans,Bananas,0.059877064,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,"Fruits, Other",Bananas,0.08815776,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Grapefruit and products,Bananas,0.057110634,"Vegetables, fruit, nuts, pulses, spices",Primary crops
4,Grapes and products (excl wine),Bananas,0.07199566,"Vegetables, fruit, nuts, pulses, spices",Primary crops
5,Hops,Bananas,0.1575562,"Vegetables, fruit, nuts, pulses, spices",Primary crops
6,"Lemons, Limes and products",Bananas,0.07632188,"Vegetables, fruit, nuts, pulses, spices",Primary crops
7,Nuts and products,Bananas,0.063106425,"Vegetables, fruit, nuts, pulses, spices",Primary crops
8,Onions,Bananas,0.059186894,"Vegetables, fruit, nuts, pulses, spices",Primary crops
9,"Oranges, Mandarines",Bananas,0.06719214,"Vegetables, fruit, nuts, pulses, spices",Primary crops
10,Peas,Bananas,0.091071695,"Vegetables, fruit, nuts, pulses, spices",Primary crops
11,Pineapples and products,Bananas,0.07895816,"Vegetables, fruit, nuts, pulses, spices",Primary crops
12,"Pulses, Other and products",Bananas,0.04167384,"Vegetables, fruit, nuts, pulses, spices",Primary crops
13,"Spices, Other",Bananas,0.070083864,"Vegetables, fruit, nuts, pulses, spices",Primary crops
14,Tomatoes and products,Bananas,0.06380539,"Vegetables, fruit, nuts, pulses, spices",Primary crops
15,"Vegetables, Other",Bananas,0.039406616,"Vegetables, fruit, nuts, pulses, spices",Primary crops
16,Apples and products,Beans,0.08281381,"Vegetables, fruit, nuts, pulses, spices",Primary crops
17,Bananas,Beans,0.06338188,"Vegetables, fruit, nuts, pulses, spices",Primary crops
18,Cloves,Beans,0.2645667,"Vegetables, fruit, nuts, pulses, spices",Primary crops
19,Dates,Beans,0.06866306,"Vegetables, fruit, nuts, pulses, spices",Primary crops
20,"Fruits, Other",Beans,0.05703607,"Vegetables, fruit, nuts, pulses, spices",Primary crops
21,Grapefruit and products,Beans,0.08303209,"Vegetables, fruit, nuts, pulses, spices",Primary crops
22,Grapes and products (excl wine),Beans,0.07521515,"Vegetables, fruit, nuts, pulses, spices",Primary crops
23,"Lemons, Limes and products",Beans,0.08511009,"Vegetables, fruit, nuts, pulses, spices",Primary crops
24,Nuts and products,Beans,0.06300791,"Vegetables, fruit, nuts, pulses, spices",Primary crops
25,Onions,Beans,0.066016346,"Vegetables, fruit, nuts, pulses, spices",Primary crops
26,Peas,Beans,0.11855729,"Vegetables, fruit, nuts, pulses, spices",Primary crops
27,Pimento,Beans,0.096266985,"Vegetables, fruit, nuts, pulses, spices",Primary crops
28,Pineapples and products,Beans,0.07931591,"Vegetables, fruit, nuts, pulses, spices",Primary crops
29,"Pulses, Other and products",Beans,0.046670813,"Vegetables, fruit, nuts, pulses, spices",Primary crops
30,"Spices, Other",Beans,0.10307956,"Vegetables, fruit, nuts, pulses, spices",Primary crops
31,"Vegetables, Other",Beans,0.108250834,"Vegetables, fruit, nuts, pulses, spices",Primary crops
32,Apples and products,"Citrus, Other",0.059478816,"Vegetables, fruit, nuts, pulses, spices",Primary crops
33,Bananas,"Citrus, Other",0.122311234,"Vegetables, fruit, nuts, pulses, spices",Primary crops
34,Beans,"Citrus, Other",0.058344964,"Vegetables, fruit, nuts, pulses, spices",Primary crops
35,"Fruits, Other","Citrus, Other",0.09789403,"Vegetables, fruit, nuts, pulses, spices",Primary crops
36,Grapefruit and products,"Citrus, Other",0.09633738,"Vegetables, fruit, nuts, pulses, spices",Primary crops
37,"Lemons, Limes and products","Citrus, Other",0.10307672,"Vegetables, fruit, nuts, pulses, spices",Primary crops
38,Nuts and products,"Citrus, Other",0.055881806,"Vegetables, fruit, nuts, pulses, spices",Primary crops
39,Onions,"Citrus, Other",0.052369926,"Vegetables, fruit, nuts, pulses, spices",Primary crops
40,"Oranges, Mandarines","Citrus, Other",0.101493716,"Vegetables, fruit, nuts, pulses, spices",Primary crops
41,Pineapples and products,"Citrus, Other",0.08585808,"Vegetables, fruit, nuts, pulses, spices",Primary crops
42,"Pulses, Other and products","Citrus, Other",0.044352908,"Vegetables, fruit, nuts, pulses, spices",Primary crops
43,"Spices, Other","Citrus, Other",0.117042795,"Vegetables, fruit, nuts, pulses, spices",Primary crops
44,Tomatoes and products,"Citrus, Other",0.11368143,"Vegetables, fruit, nuts, pulses, spices",Primary crops
45,"Vegetables, Other","Citrus, Other",0.041516535,"Vegetables, fruit, nuts, pulses, spices",Primary crops
46,Apples and products,Cloves,0.031572793,"Vegetables, fruit, nuts, pulses, spices",Primary crops
47,Apples and products,Dates,0.07368816,"Vegetables, fruit, nuts, pulses, spices",Primary crops
48,Bananas,Dates,0.11590909,"Vegetables, fruit, nuts, pulses, spices",Primary crops
49,Beans,Dates,0.096375555,"Vegetables, fruit, nuts, pulses, spices",Primary crops
50,"Fruits, Other",Dates,0.0913197,"Vegetables, fruit, nuts, pulses, spices",Primary crops
51,Grapes and products (excl wine),Dates,0.08325924,"Vegetables, fruit, nuts, pulses, spices",Primary crops
52,"Lemons, Limes and products",Dates,0.06382963,"Vegetables, fruit, nuts, pulses, spices",Primary crops
53,Nuts and products,Dates,0.058862716,"Vegetables, fruit, nuts, pulses, spices",Primary crops
54,Onions,Dates,0.08918091,"Vegetables, fruit, nuts, pulses, spices",Primary crops
55,"Oranges, Mandarines",Dates,0.083970115,"Vegetables, fruit, nuts, pulses, spices",Primary crops
56,Pepper,Dates,0.12738606,"Vegetables, fruit, nuts, pulses, spices",Primary crops
57,Pineapples and products,Dates,0.13815403,"Vegetables, fruit, nuts, pulses, spices",Primary crops
58,"Pulses, Other and products",Dates,0.09668337,"Vegetables, fruit, nuts, pulses, spices",Primary crops
59,Tomatoes and products,Dates,0.11011532,"Vegetables, fruit, nuts, pulses, spices",Primary crops
60,"Vegetables, Other",Dates,0.06550155,"Vegetables, fruit, nuts, pulses, spices",Primary crops
61,Apples and products,"Fruits, Other",0.07536341,"Vegetables, fruit, nuts, pulses, spices",Primary crops
62,Bananas,"Fruits, Other",0.042459585,"Vegetables, fruit, nuts, pulses, spices",Primary crops
63,Beans,"Fruits, Other",0.06591272,"Vegetables, fruit, nuts, pulses, spices",Primary crops
64,"Citrus, Other","Fruits, Other",0.18741886,"Vegetables, fruit, nuts, pulses, spices",Primary crops
65,Dates,"Fruits, Other",0.06776988,"Vegetables, fruit, nuts, pulses, spices",Primary crops
66,Grapes and products (excl wine),"Fruits, Other",0.0356999,"Vegetables, fruit, nuts, pulses, spices",Primary crops
67,Hops,"Fruits, Other",0.0855949,"Vegetables, fruit, nuts, pulses, spices",Primary crops
68,"Lemons, Limes and products","Fruits, Other",0.055483975,"Vegetables, fruit, nuts, pulses, spices",Primary crops
69,Nuts and products,"Fruits, Other",0.040812027,"Vegetables, fruit, nuts, pulses, spices",Primary crops
70,Onions,"Fruits, Other",0.075117216,"Vegetables, fruit, nuts, pulses, spices",Primary crops
71,"Oranges, Mandarines","Fruits, Other",0.036671333,"Vegetables, fruit, nuts, pulses, spices",Primary crops
72,Pineapples and products,"Fruits, Other",0.064310655,"Vegetables, fruit, nuts, pulses, spices",Primary crops
73,"Pulses, Other and products","Fruits, Other",0.07339078,"Vegetables, fruit, nuts, pulses, spices",Primary crops
