scenario,time_step,total_prod,scaling,cap
RUS,0,114610731754.12968,1.0,inf
RUS,1,115309634386.57344,1.0,inf
RUS,2,114014021946.63824,1.0,inf
RUS,3,112763092915.40182,1.0,inf
RUS,4,111436352166.035,1.0,inf
RUS,5,110242880268.59325,1.0,inf
RUS,6,109157772117.05956,1.0,inf
RUS,7,108198566780.93738,1.0,inf
RUS,8,107318226233.54909,1.0,inf
RUS,9,106535368181.13023,1.0,inf
ALL,0,114597260734.07974,1.0,inf
ALL,1,115254797538.30428,1.0,inf
ALL,2,113950293885.12009,1.0,inf
ALL,3,112654007085.8225,1.0,inf
ALL,4,111340985156.33151,1.0,inf
ALL,5,110255446373.72426,1.0,inf
ALL,6,109687148971.00592,1.0,inf
ALL,7,111050464290.62904,1.0,inf
ALL,8,121003310347.40636,1.0,inf
ALL,9,170937163309.6889,1.0,inf
URU,0,114663288619.83876,1.0,inf
URU,1,116031998213.4404,1.0,inf
URU,2,115276339042.55148,1.0,inf
URU,3,114397348262.68529,1.0,inf
URU,4,113211125129.25427,1.0,inf
URU,5,112219439863.05753,1.0,inf
URU,6,111689653047.3408,1.0,inf
URU,7,113065748905.34348,1.0,inf
URU,8,122960810861.93076,1.0,inf
URU,9,172725405385.9425,1.0,inf
PAK,0,114661800504.5899,1.0,inf
PAK,1,116001904502.73875,1.0,inf
PAK,2,115257316117.60596,1.0,inf
PAK,3,114389912902.391,1.0,inf
PAK,4,113193145587.96053,1.0,inf
PAK,5,112082486966.59216,1.0,inf
PAK,6,111057701189.07738,1.0,inf
PAK,7,110128682719.5866,1.0,inf
PAK,8,109278749934.63023,1.0,inf
PAK,9,108504404659.92513,1.0,inf
HOA,0,114656967713.95148,1.0,inf
HOA,1,116024736156.77898,1.0,inf
HOA,2,115281824398.48221,1.0,inf
HOA,3,114438213190.56334,1.0,inf
HOA,4,113243456337.41222,1.0,inf
HOA,5,112151868233.41328,1.0,inf
HOA,6,111139712817.13527,1.0,inf
HOA,7,110254698994.70575,1.0,inf
HOA,8,109482793609.07166,1.0,inf
HOA,9,108913077487.86708,1.0,inf
